AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Excelsior,FC Twente,Fortuna Sittard,Go Ahead Eagles,Ajax Amsterdam,NEC Nijmegen,FC Groningen,Sparta Rotterdam,Heerenveen,PEC Zwolle,Telstar,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
863.0,7890.0,527.0,24.0,314.0,7.0,22.0,273.0,65.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2887.0,1379.0,2049.0,230.0,1436.0,59.0,143.0,1199.0,464.0,92.0,1.0,38.0,1.0,3.0,19.0,0.0,0.0,0.0
2087.0,443.0,2051.0,444.0,1708.0,154.0,341.0,1511.0,843.0,225.0,10.0,104.0,1.0,21.0,57.0,0.0,0.0,0.0
1516.0,175.0,1694.0,626.0,1675.0,279.0,556.0,1585.0,1079.0,410.0,18.0,228.0,7.0,47.0,105.0,0.0,0.0,0.0
987.0,60.0,1184.0,893.0,1472.0,426.0,845.0,1502.0,1333.0,608.0,46.0,340.0,20.0,84.0,200.0,0.0,0.0,0.0
631.0,27.0,913.0,1114.0,1121.0,696.0,1012.0,1157.0,1382.0,813.0,103.0,509.0,46.0,180.0,296.0,0.0,0.0,0.0
404.0,11.0,613.0,1178.0,853.0,912.0,1120.0,945.0,1235.0,1066.0,136.0,747.0,62.0,277.0,440.0,0.0,1.0,0.0
273.0,8.0,381.0,1259.0,529.0,1087.0,1213.0,641.0,1041.0,1156.0,256.0,979.0,128.0,399.0,648.0,1.0,0.0,1.0
176.0,6.0,267.0,1036.0,368.0,1254.0,1158.0,510.0,861.0,1156.0,390.0,1120.0,224.0,575.0,897.0,0.0,2.0,0.0
94.0,1.0,150.0,991.0,230.0,1240.0,1069.0,288.0,685.0,1192.0,594.0,1289.0,344.0,809.0,1014.0,2.0,8.0,0.0
43.0,0.0,98.0,801.0,155.0,1170.0,950.0,199.0,446.0,1101.0,862.0,1233.0,564.0,1079.0,1284.0,3.0,11.0,1.0
24.0,0.0,48.0,657.0,88.0,1016.0,692.0,111.0,298.0,871.0,1290.0,1180.0,866.0,1399.0,1414.0,12.0,30.0,4.0
11.0,0.0,20.0,410.0,34.0,828.0,463.0,49.0,165.0,633.0,1667.0,1034.0,1414.0,1664.0,1427.0,42.0,114.0,25.0
3.0,0.0,4.0,236.0,10.0,536.0,271.0,22.0,74.0,466.0,2150.0,754.0,2023.0,1726.0,1181.0,134.0,312.0,98.0
1.0,0.0,1.0,89.0,7.0,284.0,133.0,7.0,25.0,168.0,1854.0,377.0,3051.0,1384.0,808.0,529.0,925.0,357.0
0.0,0.0,0.0,9.0,0.0,46.0,12.0,1.0,4.0,31.0,482.0,58.0,913.0,280.0,174.0,2401.0,3841.0,1748.0
0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,123.0,6.0,259.0,65.0,30.0,3547.0,2863.0,3098.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,77.0,8.0,6.0,3329.0,1893.0,4668.0
