AS Roma,Internazionale,Lazio,Como,AC Milan,Juventus,Frosinone,Atalanta,Cagliari,Sassuolo,Udinese,Napoli,Torino,Lecce,Bologna,Parma,Monza,Venezia,Genoa,Fiorentina
2251.0,5023.0,76.0,1633.0,189.0,581.0,2.0,140.0,2.0,3.0,8.0,88.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2546.0,2400.0,235.0,2360.0,528.0,1184.0,14.0,345.0,12.0,14.0,29.0,320.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0
2011.0,1291.0,479.0,2138.0,842.0,1685.0,33.0,671.0,47.0,72.0,104.0,568.0,7.0,1.0,45.0,1.0,0.0,0.0,2.0,3.0
1298.0,634.0,785.0,1518.0,1293.0,1823.0,92.0,1091.0,95.0,144.0,221.0,891.0,22.0,6.0,70.0,5.0,0.0,0.0,6.0,6.0
805.0,332.0,1129.0,945.0,1475.0,1474.0,195.0,1293.0,209.0,278.0,360.0,1204.0,72.0,19.0,142.0,15.0,1.0,0.0,33.0,19.0
471.0,169.0,1270.0,579.0,1394.0,1153.0,347.0,1346.0,365.0,471.0,560.0,1318.0,115.0,33.0,266.0,22.0,1.0,0.0,64.0,56.0
282.0,92.0,1278.0,374.0,1278.0,794.0,479.0,1250.0,538.0,681.0,741.0,1290.0,213.0,69.0,411.0,33.0,1.0,0.0,108.0,88.0
177.0,34.0,1191.0,222.0,927.0,543.0,683.0,1104.0,691.0,857.0,892.0,1194.0,332.0,129.0,595.0,79.0,7.0,0.0,179.0,164.0
75.0,17.0,992.0,98.0,703.0,320.0,874.0,844.0,966.0,1022.0,1049.0,906.0,507.0,168.0,772.0,174.0,11.0,4.0,289.0,209.0
40.0,3.0,809.0,74.0,464.0,194.0,987.0,639.0,1026.0,1075.0,1129.0,710.0,627.0,304.0,927.0,211.0,23.0,5.0,414.0,339.0
22.0,3.0,592.0,30.0,325.0,129.0,1088.0,497.0,1161.0,1037.0,1044.0,526.0,719.0,440.0,991.0,361.0,50.0,8.0,517.0,460.0
16.0,0.0,444.0,19.0,241.0,62.0,1024.0,288.0,1079.0,965.0,981.0,372.0,962.0,568.0,1067.0,525.0,79.0,17.0,684.0,607.0
5.0,1.0,289.0,4.0,142.0,30.0,1026.0,198.0,946.0,922.0,818.0,267.0,1100.0,767.0,1120.0,631.0,114.0,30.0,800.0,790.0
0.0,1.0,205.0,4.0,102.0,16.0,888.0,133.0,841.0,792.0,709.0,146.0,1132.0,948.0,1007.0,807.0,227.0,50.0,1012.0,980.0
1.0,0.0,108.0,1.0,52.0,5.0,771.0,72.0,739.0,617.0,541.0,104.0,1079.0,1204.0,890.0,1080.0,338.0,113.0,1168.0,1117.0
0.0,0.0,65.0,0.0,25.0,4.0,600.0,51.0,556.0,454.0,395.0,51.0,1038.0,1378.0,701.0,1334.0,582.0,217.0,1207.0,1342.0
0.0,0.0,41.0,1.0,9.0,2.0,458.0,23.0,358.0,318.0,224.0,29.0,884.0,1517.0,499.0,1542.0,992.0,446.0,1336.0,1321.0
0.0,0.0,10.0,0.0,8.0,0.0,289.0,10.0,249.0,191.0,154.0,11.0,711.0,1324.0,314.0,1603.0,1711.0,958.0,1166.0,1291.0
0.0,0.0,2.0,0.0,2.0,1.0,120.0,3.0,104.0,75.0,34.0,4.0,359.0,856.0,132.0,1117.0,3292.0,2330.0,726.0,843.0
0.0,0.0,0.0,0.0,1.0,0.0,30.0,2.0,16.0,12.0,7.0,1.0,117.0,269.0,39.0,460.0,2571.0,5822.0,288.0,365.0
