West Bromwich Albion,West Ham United,Swansea City,Queens Park Rangers,Charlton Athletic,Middlesbrough,Bristol City,Millwall,Norwich City,Sheffield United,Wolverhampton Wanderers,Watford,Southampton,Wrexham,Birmingham City,Stoke City,Portsmouth,Blackburn Rovers,Lincoln City,Cardiff City,Bolton Wanderers,Derby County,Burnley,Preston North End
125.0,4279.0,147.0,30.0,8.0,928.0,120.0,429.0,191.0,72.0,2535.0,9.0,998.0,54.0,33.0,11.0,5.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0
241.0,2315.0,368.0,92.0,38.0,1318.0,253.0,754.0,376.0,152.0,2301.0,11.0,1394.0,146.0,117.0,25.0,14.0,5.0,0.0,0.0,0.0,36.0,41.0,3.0
401.0,1221.0,571.0,152.0,83.0,1379.0,457.0,977.0,613.0,285.0,1558.0,42.0,1523.0,251.0,196.0,55.0,32.0,14.0,0.0,0.0,0.0,81.0,103.0,6.0
554.0,764.0,706.0,278.0,149.0,1278.0,593.0,1075.0,721.0,391.0,1062.0,78.0,1255.0,346.0,303.0,100.0,54.0,22.0,0.0,1.0,0.0,123.0,139.0,8.0
631.0,495.0,805.0,352.0,203.0,1058.0,699.0,978.0,847.0,511.0,742.0,130.0,1054.0,435.0,383.0,139.0,90.0,31.0,2.0,3.0,0.0,193.0,196.0,23.0
736.0,336.0,794.0,428.0,237.0,898.0,774.0,914.0,852.0,542.0,529.0,157.0,824.0,568.0,473.0,206.0,116.0,52.0,2.0,2.0,0.0,240.0,287.0,33.0
781.0,189.0,842.0,479.0,330.0,688.0,779.0,804.0,826.0,610.0,359.0,244.0,672.0,598.0,527.0,258.0,164.0,110.0,1.0,2.0,1.0,356.0,325.0,55.0
772.0,132.0,790.0,573.0,407.0,551.0,749.0,728.0,815.0,618.0,271.0,297.0,537.0,692.0,593.0,303.0,219.0,143.0,8.0,5.0,1.0,349.0,387.0,60.0
750.0,81.0,755.0,580.0,455.0,446.0,726.0,657.0,728.0,682.0,203.0,329.0,403.0,648.0,666.0,380.0,279.0,151.0,13.0,7.0,1.0,455.0,503.0,102.0
708.0,70.0,677.0,635.0,530.0,314.0,710.0,499.0,675.0,734.0,153.0,349.0,340.0,745.0,700.0,467.0,329.0,215.0,16.0,13.0,1.0,513.0,516.0,91.0
689.0,46.0,594.0,648.0,554.0,306.0,697.0,474.0,596.0,687.0,76.0,469.0,284.0,702.0,733.0,511.0,356.0,265.0,28.0,22.0,3.0,539.0,548.0,173.0
607.0,25.0,585.0,716.0,621.0,235.0,620.0,393.0,543.0,652.0,69.0,517.0,214.0,663.0,724.0,622.0,429.0,347.0,33.0,22.0,6.0,585.0,587.0,185.0
567.0,22.0,508.0,682.0,657.0,176.0,604.0,330.0,483.0,640.0,45.0,614.0,135.0,688.0,693.0,620.0,476.0,397.0,54.0,48.0,9.0,631.0,637.0,284.0
522.0,14.0,411.0,675.0,770.0,137.0,448.0,272.0,407.0,636.0,34.0,607.0,106.0,678.0,642.0,713.0,585.0,478.0,80.0,56.0,15.0,692.0,686.0,336.0
454.0,5.0,372.0,659.0,758.0,94.0,426.0,209.0,332.0,558.0,28.0,733.0,88.0,571.0,631.0,659.0,738.0,553.0,118.0,85.0,24.0,742.0,724.0,439.0
378.0,3.0,301.0,617.0,740.0,70.0,361.0,158.0,306.0,536.0,18.0,810.0,59.0,528.0,580.0,773.0,738.0,692.0,176.0,124.0,43.0,723.0,718.0,548.0
332.0,2.0,251.0,602.0,793.0,59.0,290.0,126.0,214.0,453.0,7.0,831.0,45.0,470.0,503.0,773.0,810.0,818.0,253.0,242.0,70.0,697.0,715.0,644.0
264.0,0.0,187.0,509.0,723.0,29.0,254.0,94.0,169.0,397.0,4.0,886.0,31.0,391.0,455.0,773.0,853.0,951.0,390.0,244.0,104.0,727.0,689.0,876.0
196.0,1.0,147.0,466.0,647.0,16.0,193.0,64.0,135.0,339.0,4.0,829.0,19.0,315.0,370.0,759.0,946.0,999.0,564.0,420.0,203.0,717.0,692.0,959.0
142.0,0.0,102.0,360.0,506.0,9.0,109.0,34.0,82.0,232.0,2.0,782.0,13.0,211.0,321.0,724.0,927.0,1130.0,907.0,664.0,364.0,629.0,590.0,1160.0
95.0,0.0,55.0,260.0,402.0,9.0,94.0,18.0,49.0,150.0,0.0,590.0,3.0,159.0,206.0,528.0,860.0,1089.0,1323.0,1193.0,614.0,454.0,445.0,1404.0
33.0,0.0,23.0,135.0,237.0,2.0,32.0,11.0,31.0,76.0,0.0,411.0,1.0,93.0,93.0,368.0,589.0,857.0,2056.0,1893.0,1222.0,316.0,267.0,1254.0
18.0,0.0,5.0,59.0,122.0,0.0,11.0,2.0,8.0,34.0,0.0,204.0,1.0,39.0,44.0,181.0,288.0,475.0,2355.0,2581.0,2417.0,139.0,140.0,877.0
4.0,0.0,4.0,13.0,30.0,0.0,1.0,0.0,1.0,13.0,0.0,71.0,1.0,9.0,14.0,52.0,103.0,206.0,1621.0,2373.0,4902.0,49.0,53.0,480.0
