AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
283.0,136.0,31.0,1.0,712.0,7302.0,717.0,44.0,3.0,399.0,0.0,364.0,2.0,6.0,0.0,0.0,0.0,0.0
981.0,600.0,188.0,2.0,1879.0,1582.0,1989.0,198.0,22.0,1202.0,0.0,1261.0,12.0,84.0,0.0,0.0,0.0,0.0
1226.0,869.0,365.0,12.0,1701.0,598.0,1765.0,390.0,59.0,1374.0,0.0,1464.0,29.0,148.0,0.0,0.0,0.0,0.0
1303.0,1032.0,511.0,33.0,1504.0,267.0,1521.0,553.0,100.0,1393.0,3.0,1444.0,81.0,255.0,0.0,0.0,0.0,0.0
1329.0,1197.0,629.0,51.0,1223.0,132.0,1198.0,738.0,177.0,1370.0,3.0,1384.0,157.0,411.0,0.0,0.0,0.0,1.0
1238.0,1284.0,892.0,105.0,919.0,56.0,943.0,1015.0,299.0,1211.0,14.0,1182.0,262.0,576.0,0.0,3.0,0.0,1.0
1144.0,1243.0,1085.0,187.0,772.0,37.0,685.0,1123.0,446.0,1002.0,24.0,1002.0,458.0,781.0,2.0,4.0,3.0,2.0
922.0,1135.0,1261.0,296.0,535.0,20.0,496.0,1354.0,649.0,813.0,60.0,748.0,584.0,1112.0,1.0,10.0,2.0,2.0
691.0,968.0,1344.0,575.0,360.0,4.0,328.0,1325.0,951.0,566.0,120.0,525.0,879.0,1302.0,3.0,26.0,23.0,10.0
443.0,665.0,1318.0,854.0,221.0,1.0,200.0,1180.0,1346.0,343.0,235.0,306.0,1269.0,1447.0,23.0,74.0,46.0,29.0
223.0,431.0,986.0,1247.0,105.0,1.0,103.0,905.0,1640.0,190.0,532.0,180.0,1580.0,1424.0,53.0,185.0,135.0,80.0
131.0,276.0,706.0,1682.0,51.0,0.0,44.0,607.0,1608.0,90.0,887.0,91.0,1652.0,1124.0,168.0,368.0,321.0,194.0
59.0,113.0,388.0,1959.0,16.0,0.0,9.0,343.0,1261.0,36.0,1478.0,35.0,1434.0,749.0,411.0,725.0,603.0,381.0
17.0,40.0,188.0,1339.0,2.0,0.0,2.0,145.0,786.0,9.0,2148.0,11.0,833.0,333.0,819.0,1341.0,1101.0,886.0
10.0,9.0,74.0,787.0,0.0,0.0,0.0,61.0,356.0,1.0,1838.0,1.0,462.0,158.0,1335.0,1858.0,1721.0,1329.0
0.0,1.0,24.0,502.0,0.0,0.0,0.0,10.0,197.0,1.0,1335.0,2.0,201.0,57.0,1873.0,1975.0,1972.0,1850.0
0.0,1.0,7.0,258.0,0.0,0.0,0.0,7.0,72.0,0.0,836.0,0.0,79.0,27.0,2367.0,1931.0,2071.0,2344.0
0.0,0.0,3.0,110.0,0.0,0.0,0.0,2.0,28.0,0.0,487.0,0.0,26.0,6.0,2945.0,1500.0,2002.0,2891.0
