Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3308.0,6669.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6402.0,3224.0,227.0,92.0,44.0,2.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263.0,98.0,4469.0,2898.0,1257.0,165.0,80.0,287.0,50.0,23.0,387.0,1.0,17.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
25.0,9.0,2528.0,2941.0,1860.0,456.0,292.0,644.0,253.0,56.0,854.0,6.0,57.0,6.0,4.0,1.0,8.0,0.0,0.0,0.0
2.0,0.0,1304.0,1795.0,2035.0,958.0,619.0,1137.0,465.0,155.0,1302.0,21.0,152.0,10.0,23.0,4.0,17.0,0.0,1.0,0.0
0.0,0.0,732.0,999.0,1595.0,1213.0,896.0,1344.0,813.0,322.0,1582.0,78.0,286.0,41.0,46.0,10.0,40.0,1.0,2.0,0.0
0.0,0.0,380.0,584.0,1179.0,1412.0,1097.0,1428.0,1047.0,495.0,1473.0,134.0,468.0,85.0,79.0,23.0,100.0,6.0,10.0,0.0
0.0,0.0,188.0,338.0,782.0,1396.0,1295.0,1365.0,1280.0,732.0,1199.0,186.0,691.0,128.0,153.0,51.0,183.0,14.0,19.0,0.0
0.0,0.0,88.0,171.0,553.0,1256.0,1288.0,1151.0,1367.0,930.0,1016.0,350.0,888.0,224.0,268.0,90.0,298.0,20.0,42.0,0.0
0.0,0.0,43.0,99.0,342.0,1010.0,1227.0,922.0,1322.0,1147.0,789.0,465.0,1166.0,344.0,392.0,190.0,420.0,58.0,64.0,0.0
0.0,0.0,18.0,39.0,168.0,769.0,1041.0,684.0,1098.0,1402.0,572.0,707.0,1303.0,505.0,595.0,300.0,592.0,100.0,107.0,0.0
0.0,0.0,7.0,22.0,87.0,549.0,820.0,453.0,813.0,1349.0,366.0,930.0,1342.0,745.0,883.0,449.0,800.0,178.0,207.0,0.0
0.0,0.0,2.0,8.0,49.0,348.0,519.0,254.0,622.0,1123.0,229.0,1168.0,1133.0,1006.0,1113.0,754.0,1003.0,338.0,331.0,0.0
0.0,0.0,0.0,6.0,31.0,231.0,359.0,166.0,394.0,842.0,131.0,1324.0,854.0,1190.0,1321.0,968.0,1185.0,514.0,484.0,0.0
0.0,0.0,0.0,2.0,13.0,124.0,223.0,81.0,237.0,585.0,62.0,1346.0,639.0,1290.0,1350.0,1226.0,1291.0,781.0,750.0,0.0
0.0,0.0,0.0,0.0,3.0,66.0,132.0,53.0,148.0,395.0,17.0,1229.0,434.0,1371.0,1273.0,1393.0,1354.0,1102.0,1025.0,5.0
0.0,0.0,0.0,0.0,0.0,27.0,69.0,20.0,56.0,265.0,8.0,991.0,285.0,1265.0,1105.0,1567.0,1166.0,1683.0,1484.0,9.0
0.0,0.0,0.0,0.0,0.0,12.0,35.0,6.0,29.0,136.0,6.0,717.0,199.0,1039.0,842.0,1593.0,947.0,2243.0,2148.0,48.0
0.0,0.0,0.0,0.0,0.0,6.0,7.0,2.0,6.0,43.0,1.0,345.0,85.0,743.0,545.0,1336.0,590.0,2865.0,3226.0,200.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,6.0,44.0,5.0,97.0,100.0,9738.0
