Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
19.0,2471.0,175.0,27.0,399.0,3.0,3359.0,6.0,1.0,105.0,101.0,109.0,167.0,98.0,94.0,169.0,301.0,27.0,6.0,347.0,5.0,2.0,16.0,1993.0
80.0,1992.0,336.0,88.0,571.0,17.0,2116.0,18.0,8.0,254.0,197.0,203.0,366.0,165.0,227.0,302.0,522.0,41.0,12.0,599.0,15.0,3.0,38.0,1830.0
133.0,1438.0,518.0,135.0,719.0,30.0,1435.0,36.0,22.0,364.0,301.0,353.0,452.0,232.0,330.0,413.0,615.0,91.0,31.0,713.0,22.0,12.0,80.0,1525.0
194.0,1013.0,550.0,188.0,819.0,42.0,860.0,59.0,38.0,466.0,426.0,414.0,572.0,374.0,445.0,551.0,712.0,165.0,39.0,806.0,45.0,13.0,140.0,1069.0
261.0,764.0,620.0,244.0,820.0,87.0,619.0,88.0,44.0,539.0,456.0,468.0,632.0,451.0,462.0,590.0,752.0,182.0,56.0,766.0,60.0,22.0,175.0,842.0
295.0,568.0,658.0,289.0,765.0,109.0,444.0,116.0,71.0,533.0,515.0,588.0,675.0,501.0,496.0,596.0,744.0,245.0,90.0,743.0,88.0,29.0,235.0,607.0
330.0,404.0,682.0,349.0,737.0,116.0,291.0,186.0,75.0,588.0,527.0,521.0,662.0,526.0,575.0,672.0,698.0,295.0,116.0,748.0,111.0,44.0,265.0,482.0
390.0,341.0,638.0,409.0,633.0,169.0,252.0,172.0,121.0,606.0,562.0,567.0,613.0,564.0,602.0,628.0,664.0,335.0,152.0,666.0,155.0,67.0,315.0,379.0
429.0,239.0,665.0,442.0,616.0,201.0,159.0,209.0,155.0,626.0,590.0,528.0,632.0,571.0,590.0,608.0,637.0,383.0,158.0,621.0,170.0,79.0,391.0,301.0
458.0,212.0,604.0,454.0,633.0,225.0,130.0,265.0,189.0,606.0,585.0,566.0,593.0,543.0,588.0,579.0,577.0,446.0,216.0,579.0,200.0,119.0,409.0,224.0
459.0,142.0,605.0,542.0,498.0,243.0,86.0,322.0,236.0,583.0,577.0,593.0,593.0,553.0,605.0,636.0,558.0,472.0,231.0,503.0,231.0,133.0,423.0,176.0
508.0,112.0,502.0,521.0,470.0,328.0,71.0,383.0,262.0,582.0,575.0,568.0,545.0,601.0,570.0,547.0,499.0,519.0,287.0,487.0,283.0,162.0,476.0,142.0
557.0,73.0,526.0,563.0,436.0,376.0,55.0,406.0,295.0,576.0,556.0,589.0,511.0,566.0,544.0,521.0,401.0,543.0,369.0,379.0,321.0,214.0,512.0,111.0
548.0,58.0,494.0,561.0,365.0,407.0,40.0,453.0,356.0,516.0,583.0,551.0,472.0,547.0,510.0,482.0,413.0,567.0,392.0,384.0,398.0,249.0,577.0,77.0
624.0,51.0,448.0,615.0,292.0,471.0,25.0,489.0,439.0,490.0,523.0,508.0,425.0,547.0,569.0,417.0,362.0,569.0,486.0,331.0,392.0,302.0,544.0,81.0
609.0,44.0,406.0,620.0,254.0,563.0,14.0,559.0,505.0,449.0,492.0,484.0,385.0,520.0,521.0,392.0,331.0,593.0,490.0,306.0,491.0,345.0,571.0,56.0
609.0,33.0,348.0,578.0,235.0,630.0,16.0,588.0,572.0,405.0,461.0,475.0,347.0,508.0,457.0,388.0,290.0,591.0,552.0,231.0,530.0,481.0,644.0,31.0
638.0,12.0,303.0,593.0,192.0,713.0,13.0,626.0,609.0,389.0,409.0,404.0,284.0,415.0,375.0,328.0,251.0,642.0,686.0,225.0,704.0,521.0,640.0,28.0
589.0,12.0,237.0,562.0,168.0,748.0,3.0,736.0,712.0,357.0,373.0,352.0,287.0,407.0,384.0,315.0,190.0,614.0,711.0,172.0,726.0,694.0,634.0,17.0
525.0,12.0,212.0,573.0,137.0,746.0,3.0,818.0,841.0,288.0,327.0,361.0,244.0,396.0,293.0,277.0,147.0,604.0,833.0,127.0,820.0,791.0,608.0,17.0
494.0,5.0,189.0,511.0,104.0,878.0,5.0,827.0,939.0,246.0,309.0,263.0,247.0,312.0,271.0,197.0,139.0,590.0,853.0,123.0,937.0,910.0,645.0,6.0
504.0,3.0,137.0,452.0,68.0,978.0,2.0,862.0,1045.0,178.0,226.0,238.0,139.0,281.0,224.0,177.0,92.0,547.0,985.0,79.0,948.0,1214.0,615.0,6.0
438.0,1.0,92.0,391.0,44.0,983.0,1.0,869.0,1154.0,167.0,190.0,178.0,101.0,208.0,148.0,130.0,76.0,497.0,1099.0,45.0,1146.0,1473.0,569.0,0.0
309.0,0.0,55.0,293.0,25.0,937.0,1.0,907.0,1311.0,87.0,139.0,119.0,56.0,114.0,120.0,85.0,29.0,442.0,1150.0,20.0,1202.0,2121.0,478.0,0.0
