Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Osasuna,Rayo Vallecano,Sevilla,Mallorca,Espanyol,Elche,Valencia,Girona,Alavés,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9902.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,98.0,9902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8943.0,1054.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1053.0,8533.0,186.0,64.0,119.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,329.0,3240.0,2707.0,1762.0,763.0,1132.0,1.0,10.0,3.0,3.0,34.0,12.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,78.0,2264.0,2546.0,2211.0,1204.0,1431.0,4.0,66.0,39.0,19.0,90.0,48.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,1735.0,2076.0,2067.0,1647.0,1804.0,18.0,179.0,126.0,55.0,154.0,130.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1258.0,1362.0,1786.0,2183.0,1985.0,53.0,358.0,214.0,191.0,287.0,298.0,25.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,890.0,696.0,1172.0,2239.0,1786.0,195.0,842.0,490.0,538.0,600.0,483.0,66.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,276.0,291.0,483.0,946.0,883.0,531.0,1820.0,1022.0,1449.0,1008.0,1047.0,214.0,30.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,107.0,171.0,274.0,499.0,466.0,931.0,1911.0,1085.0,1471.0,1276.0,1295.0,434.0,80.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,35.0,65.0,94.0,288.0,266.0,1327.0,1633.0,1340.0,1494.0,1498.0,1123.0,696.0,141.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,31.0,150.0,128.0,1497.0,1254.0,1677.0,1378.0,1498.0,1156.0,945.0,265.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,58.0,58.0,2035.0,902.0,1329.0,1298.0,1316.0,1354.0,1195.0,447.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,2184.0,579.0,1230.0,1128.0,1188.0,1313.0,1790.0,549.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1114.0,338.0,1155.0,799.0,854.0,1269.0,2853.0,1615.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,108.0,290.0,177.0,197.0,471.0,1775.0,6834.0,38.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,36.0,9959.0
