Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Coritiba,Vitória,Cruzeiro,Internacional,Botafogo,Atlético-MG,Vasco da Gama,Grêmio,Santos,Corinthians,Mirassol,Remo,Chapecoense
7476.0,1919.0,456.0,89.0,45.0,3.0,4.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916.0,5089.0,1787.0,656.0,344.0,57.0,35.0,63.0,5.0,20.0,19.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
460.0,1941.0,3387.0,1851.0,1176.0,260.0,205.0,308.0,73.0,88.0,147.0,6.0,19.0,33.0,37.0,9.0,0.0,0.0,0.0,0.0
116.0,674.0,2009.0,2526.0,1886.0,590.0,504.0,671.0,167.0,222.0,357.0,38.0,45.0,86.0,86.0,16.0,6.0,1.0,0.0,0.0
23.0,235.0,1133.0,1757.0,2037.0,965.0,853.0,949.0,346.0,387.0,617.0,119.0,119.0,209.0,190.0,44.0,16.0,0.0,1.0,0.0
7.0,82.0,551.0,1143.0,1359.0,1306.0,1193.0,1254.0,511.0,530.0,884.0,201.0,211.0,333.0,313.0,77.0,40.0,3.0,2.0,0.0
1.0,32.0,307.0,712.0,997.0,1258.0,1267.0,1184.0,711.0,696.0,1004.0,351.0,329.0,473.0,474.0,142.0,59.0,1.0,2.0,0.0
0.0,17.0,159.0,465.0,695.0,1110.0,1217.0,1136.0,843.0,749.0,1095.0,472.0,421.0,637.0,625.0,205.0,129.0,16.0,9.0,0.0
1.0,5.0,93.0,285.0,489.0,993.0,1000.0,997.0,997.0,875.0,1073.0,576.0,567.0,787.0,739.0,313.0,177.0,18.0,15.0,0.0
0.0,2.0,51.0,203.0,309.0,879.0,942.0,868.0,1000.0,882.0,990.0,797.0,748.0,924.0,723.0,375.0,237.0,34.0,36.0,0.0
0.0,2.0,39.0,141.0,223.0,745.0,755.0,729.0,947.0,879.0,887.0,907.0,842.0,957.0,958.0,533.0,324.0,76.0,56.0,0.0
0.0,2.0,11.0,83.0,168.0,573.0,627.0,548.0,988.0,923.0,776.0,975.0,953.0,1040.0,1008.0,668.0,485.0,102.0,70.0,0.0
0.0,0.0,9.0,49.0,105.0,432.0,500.0,449.0,902.0,874.0,633.0,1156.0,1026.0,1021.0,1067.0,834.0,628.0,182.0,133.0,0.0
0.0,0.0,6.0,21.0,87.0,348.0,354.0,340.0,800.0,769.0,532.0,1126.0,1189.0,990.0,1017.0,1065.0,867.0,276.0,212.0,1.0
0.0,0.0,2.0,11.0,46.0,244.0,265.0,229.0,654.0,753.0,416.0,1076.0,1165.0,862.0,998.0,1260.0,1177.0,472.0,367.0,3.0
0.0,0.0,0.0,8.0,20.0,146.0,162.0,159.0,519.0,625.0,281.0,942.0,1100.0,753.0,817.0,1451.0,1616.0,814.0,578.0,9.0
0.0,0.0,0.0,0.0,11.0,61.0,84.0,77.0,336.0,434.0,186.0,747.0,790.0,513.0,586.0,1466.0,2069.0,1424.0,1194.0,22.0
0.0,0.0,0.0,0.0,2.0,25.0,27.0,26.0,157.0,229.0,77.0,379.0,353.0,295.0,272.0,1067.0,1458.0,3039.0,2481.0,113.0
0.0,0.0,0.0,0.0,1.0,5.0,6.0,9.0,44.0,64.0,22.0,127.0,118.0,81.0,86.0,446.0,670.0,3251.0,4381.0,689.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,29.0,42.0,291.0,463.0,9163.0
