Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9821.0,118.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,154.0,5045.0,2660.0,1870.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,2718.0,3886.0,2559.0,812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1603.0,2494.0,3712.0,2191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,515.0,925.0,1825.0,6643.0,64.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,4.0,4.0,79.0,6024.0,3340.0,235.0,114.0,104.0,56.0,33.0,2.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,2829.0,4815.0,897.0,377.0,522.0,288.0,227.0,13.0,28.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,736.0,1269.0,2526.0,1316.0,1902.0,1006.0,937.0,122.0,164.0,21.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,233.0,393.0,2058.0,1709.0,2074.0,1471.0,1261.0,354.0,398.0,47.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,89.0,112.0,1600.0,1669.0,1823.0,1757.0,1528.0,590.0,715.0,113.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,37.0,1185.0,1582.0,1473.0,1697.0,1600.0,1012.0,1139.0,245.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,780.0,1413.0,1028.0,1576.0,1679.0,1431.0,1608.0,429.0,44.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,449.0,1141.0,648.0,1223.0,1480.0,2043.0,2055.0,853.0,107.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,567.0,324.0,713.0,918.0,2895.0,2231.0,1770.0,356.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,110.0,97.0,207.0,301.0,1398.0,1433.0,4800.0,1596.0,16.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,36.0,139.0,224.0,1694.0,7496.0,397.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,384.0,9586.0
