Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9764.0,164.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215.0,5790.0,2714.0,1168.0,97.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2605.0,3736.0,2951.0,518.0,166.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1104.0,2358.0,3913.0,1824.0,764.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,295.0,885.0,1457.0,4593.0,2461.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,39.0,240.0,467.0,2563.0,5446.0,1234.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,5.0,34.0,403.0,1124.0,8002.0,291.0,104.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,22.0,374.0,6052.0,1875.0,908.0,748.0,2.0,6.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,36.0,2199.0,3850.0,2125.0,1653.0,17.0,51.0,59.0,1.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,1042.0,2592.0,3100.0,2696.0,65.0,241.0,201.0,20.0,34.0,3.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.0,1354.0,2839.0,3582.0,255.0,771.0,564.0,77.0,165.0,8.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,187.0,660.0,920.0,1192.0,3204.0,2143.0,523.0,994.0,54.0,88.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,241.0,275.0,1964.0,2382.0,2267.0,1027.0,1459.0,165.0,187.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,79.0,84.0,2348.0,1553.0,1913.0,1449.0,1836.0,343.0,391.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,22.0,2100.0,1013.0,1415.0,1961.0,2033.0,694.0,733.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1499.0,540.0,958.0,2430.0,1837.0,1382.0,1345.0,0.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,193.0,371.0,1731.0,1092.0,3214.0,2885.0,2.0,36.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,46.0,100.0,773.0,533.0,3980.0,4217.0,33.0,236.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,152.0,135.0,3320.0,6378.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6645.0,3345.0
