SC Freiburg,Borussia Dortmund,FC Augsburg,Bayern Munich,RB Leipzig,SV Elversberg,Bayer Leverkusen,Mainz,Eintracht Frankfurt,Werder Bremen,Schalke 04,FC Cologne,TSG Hoffenheim,VfB Stuttgart,SC Paderborn 07,1. FC Union Berlin,Borussia Mönchengladbach,Hamburg SV
70.0,1792.0,3.0,7745.0,207.0,0.0,86.0,5.0,7.0,1.0,0.0,1.0,13.0,70.0,0.0,0.0,0.0,0.0
552.0,4777.0,123.0,1804.0,1159.0,12.0,714.0,56.0,47.0,3.0,0.0,12.0,171.0,568.0,0.0,0.0,1.0,1.0
1298.0,1735.0,407.0,308.0,2182.0,45.0,1667.0,180.0,214.0,22.0,2.0,43.0,584.0,1285.0,0.0,8.0,17.0,3.0
1425.0,835.0,651.0,93.0,1794.0,144.0,1747.0,362.0,377.0,88.0,10.0,113.0,793.0,1506.0,0.0,26.0,24.0,12.0
1381.0,417.0,856.0,32.0,1378.0,223.0,1609.0,528.0,568.0,155.0,28.0,203.0,1037.0,1447.0,0.0,58.0,55.0,25.0
1285.0,216.0,1033.0,12.0,1071.0,345.0,1169.0,754.0,812.0,243.0,56.0,348.0,1095.0,1280.0,0.0,102.0,120.0,59.0
1146.0,117.0,1088.0,2.0,792.0,493.0,933.0,903.0,921.0,389.0,107.0,463.0,1195.0,1023.0,2.0,168.0,169.0,89.0
814.0,55.0,1172.0,3.0,528.0,683.0,691.0,1020.0,1068.0,510.0,173.0,598.0,1144.0,844.0,6.0,252.0,276.0,163.0
693.0,20.0,1053.0,1.0,341.0,814.0,490.0,1069.0,1093.0,660.0,263.0,761.0,1049.0,630.0,8.0,396.0,401.0,258.0
458.0,17.0,945.0,0.0,209.0,1011.0,349.0,1094.0,1107.0,836.0,319.0,893.0,834.0,486.0,15.0,538.0,540.0,349.0
320.0,11.0,809.0,0.0,162.0,1145.0,234.0,1007.0,989.0,962.0,507.0,1052.0,647.0,310.0,37.0,651.0,709.0,448.0
229.0,5.0,643.0,0.0,92.0,1115.0,145.0,874.0,810.0,1129.0,701.0,1063.0,499.0,244.0,65.0,901.0,821.0,664.0
161.0,0.0,447.0,0.0,42.0,1024.0,97.0,733.0,722.0,1176.0,924.0,1123.0,401.0,138.0,144.0,1034.0,1010.0,824.0
86.0,2.0,340.0,0.0,31.0,947.0,37.0,561.0,528.0,1091.0,1197.0,1081.0,248.0,87.0,225.0,1298.0,1178.0,1063.0
51.0,1.0,209.0,0.0,8.0,822.0,16.0,386.0,344.0,1071.0,1466.0,915.0,159.0,48.0,396.0,1332.0,1359.0,1417.0
21.0,0.0,137.0,0.0,2.0,626.0,11.0,289.0,236.0,889.0,1688.0,691.0,97.0,27.0,838.0,1404.0,1387.0,1657.0
9.0,0.0,69.0,0.0,2.0,422.0,4.0,145.0,122.0,577.0,1762.0,498.0,28.0,7.0,1927.0,1199.0,1298.0,1931.0
1.0,0.0,15.0,0.0,0.0,129.0,1.0,34.0,35.0,198.0,797.0,142.0,6.0,0.0,6337.0,633.0,635.0,1037.0
