FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Estrela,Académico de Viseu,Braga,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Moreirense,Rio Ave,Estoril,Casa Pia
3788.0,3528.0,2651.0,2.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3233.0,3301.0,3313.0,14.0,2.0,0.0,0.0,130.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2705.0,2838.0,3657.0,145.0,17.0,11.0,0.0,557.0,50.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0
249.0,297.0,335.0,2097.0,524.0,352.0,29.0,4746.0,796.0,14.0,34.0,31.0,417.0,27.0,15.0,4.0,33.0,0.0
20.0,30.0,33.0,2612.0,1063.0,852.0,97.0,2164.0,1592.0,64.0,109.0,81.0,890.0,120.0,91.0,27.0,155.0,0.0
4.0,6.0,9.0,1795.0,1390.0,1133.0,264.0,1018.0,1685.0,147.0,296.0,171.0,1338.0,241.0,168.0,59.0,274.0,2.0
1.0,0.0,1.0,1185.0,1371.0,1345.0,407.0,584.0,1475.0,246.0,426.0,304.0,1422.0,388.0,279.0,118.0,446.0,2.0
0.0,0.0,1.0,780.0,1299.0,1244.0,548.0,333.0,1174.0,334.0,625.0,417.0,1392.0,604.0,441.0,184.0,612.0,12.0
0.0,0.0,0.0,517.0,1167.0,1149.0,708.0,210.0,977.0,512.0,734.0,588.0,1138.0,693.0,588.0,285.0,710.0,24.0
0.0,0.0,0.0,347.0,849.0,1025.0,860.0,112.0,742.0,643.0,871.0,706.0,933.0,914.0,744.0,346.0,863.0,45.0
0.0,0.0,0.0,196.0,712.0,787.0,992.0,61.0,489.0,807.0,1034.0,837.0,745.0,950.0,834.0,503.0,973.0,80.0
0.0,0.0,0.0,138.0,527.0,654.0,1006.0,31.0,379.0,891.0,1029.0,993.0,539.0,1050.0,941.0,674.0,1029.0,119.0
0.0,0.0,0.0,74.0,405.0,525.0,1112.0,12.0,259.0,1041.0,1028.0,1025.0,413.0,1045.0,1066.0,817.0,975.0,203.0
0.0,0.0,0.0,59.0,259.0,393.0,1023.0,8.0,164.0,1145.0,1020.0,1140.0,317.0,1073.0,1046.0,1033.0,990.0,330.0
0.0,0.0,0.0,22.0,205.0,247.0,1002.0,2.0,105.0,1185.0,1003.0,1176.0,198.0,923.0,1140.0,1255.0,1033.0,504.0
0.0,0.0,0.0,12.0,126.0,158.0,905.0,1.0,67.0,1217.0,825.0,1115.0,144.0,941.0,1192.0,1531.0,850.0,916.0
0.0,0.0,0.0,5.0,61.0,89.0,728.0,0.0,35.0,1158.0,638.0,979.0,77.0,722.0,1027.0,1931.0,737.0,1813.0
0.0,0.0,0.0,0.0,23.0,36.0,319.0,0.0,5.0,596.0,327.0,437.0,19.0,309.0,428.0,1233.0,318.0,5950.0
