Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Coritiba,Red Bull Bragantino,Santos,São Paulo,Vitória,Corinthians,Botafogo,Mirassol,Grêmio,Vasco da Gama,Internacional,Remo,Chapecoense
7127.0,2868.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2851.0,7048.0,66.0,23.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,80.0,5235.0,2421.0,1001.0,955.0,233.0,6.0,16.0,8.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2484.0,3112.0,1759.0,1774.0,645.0,49.0,70.0,19.0,28.0,4.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1259.0,2141.0,2383.0,2102.0,1390.0,149.0,213.0,82.0,83.0,1.0,6.0,184.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,566.0,1318.0,2120.0,2231.0,1965.0,368.0,461.0,194.0,234.0,11.0,20.0,494.0,14.0,1.0,3.0,0.0,0.0,0.0
0.0,0.0,280.0,609.0,1310.0,1554.0,2286.0,812.0,971.0,462.0,565.0,62.0,86.0,939.0,37.0,5.0,14.0,8.0,0.0,0.0
0.0,0.0,67.0,241.0,741.0,736.0,1455.0,1329.0,1516.0,859.0,1045.0,154.0,243.0,1389.0,140.0,25.0,48.0,12.0,0.0,0.0
0.0,0.0,29.0,86.0,365.0,348.0,887.0,1570.0,1698.0,1102.0,1318.0,262.0,443.0,1451.0,272.0,55.0,79.0,35.0,0.0,0.0
0.0,0.0,5.0,30.0,160.0,184.0,508.0,1573.0,1497.0,1237.0,1504.0,446.0,678.0,1386.0,422.0,129.0,170.0,70.0,1.0,0.0
0.0,0.0,4.0,12.0,86.0,66.0,297.0,1387.0,1184.0,1338.0,1419.0,629.0,970.0,1304.0,693.0,209.0,257.0,141.0,4.0,0.0
0.0,0.0,0.0,3.0,48.0,25.0,183.0,1072.0,943.0,1381.0,1164.0,963.0,1245.0,967.0,887.0,370.0,442.0,290.0,17.0,0.0
0.0,0.0,0.0,3.0,14.0,14.0,87.0,754.0,640.0,1201.0,966.0,1189.0,1446.0,764.0,1142.0,598.0,703.0,447.0,32.0,0.0
0.0,0.0,0.0,1.0,4.0,8.0,35.0,466.0,380.0,894.0,697.0,1443.0,1430.0,507.0,1407.0,881.0,973.0,775.0,99.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,22.0,271.0,232.0,552.0,464.0,1575.0,1290.0,274.0,1492.0,1234.0,1257.0,1155.0,181.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,131.0,115.0,382.0,289.0,1417.0,977.0,163.0,1385.0,1564.0,1728.0,1470.0,372.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,46.0,217.0,152.0,1060.0,688.0,83.0,1127.0,1956.0,1837.0,2005.0,772.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,59.0,57.0,666.0,385.0,23.0,754.0,1986.0,1813.0,2475.0,1728.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,5.0,117.0,93.0,7.0,217.0,982.0,666.0,1102.0,6440.0,355.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,10.0,15.0,354.0,9611.0
