Lille,AS Monaco,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1914.0,1180.0,891.0,779.0,242.0,423.0,9.0,3385.0,40.0,961.0,1.0,0.0,166.0,0.0,0.0,2.0,7.0,0.0
1770.0,1237.0,1103.0,1104.0,422.0,616.0,36.0,2160.0,103.0,1099.0,1.0,0.0,304.0,0.0,6.0,2.0,37.0,0.0
1474.0,1385.0,1186.0,1152.0,606.0,777.0,71.0,1383.0,199.0,1202.0,15.0,0.0,446.0,3.0,17.0,8.0,76.0,0.0
1217.0,1285.0,1244.0,1185.0,768.0,908.0,108.0,966.0,267.0,1218.0,22.0,3.0,628.0,5.0,40.0,12.0,121.0,3.0
1021.0,1114.0,1126.0,1176.0,927.0,1073.0,200.0,743.0,343.0,1157.0,46.0,1.0,738.0,7.0,74.0,47.0,199.0,8.0
828.0,973.0,1012.0,1125.0,1053.0,1178.0,268.0,465.0,559.0,1062.0,75.0,0.0,901.0,26.0,120.0,77.0,267.0,11.0
607.0,858.0,959.0,1020.0,1082.0,1055.0,384.0,364.0,745.0,974.0,115.0,4.0,1049.0,29.0,187.0,139.0,400.0,29.0
415.0,698.0,824.0,770.0,1143.0,1080.0,557.0,240.0,942.0,788.0,189.0,11.0,1165.0,67.0,279.0,215.0,567.0,50.0
290.0,464.0,638.0,607.0,1057.0,915.0,786.0,141.0,1129.0,599.0,337.0,23.0,1198.0,176.0,459.0,313.0,768.0,100.0
223.0,338.0,411.0,447.0,844.0,690.0,1075.0,90.0,1257.0,382.0,567.0,54.0,977.0,272.0,687.0,543.0,968.0,175.0
119.0,212.0,264.0,266.0,656.0,506.0,1241.0,34.0,1182.0,260.0,760.0,92.0,856.0,413.0,891.0,724.0,1196.0,328.0
70.0,117.0,158.0,187.0,463.0,330.0,1190.0,21.0,1030.0,144.0,1017.0,191.0,609.0,656.0,1057.0,989.0,1243.0,528.0
32.0,66.0,84.0,85.0,322.0,218.0,1186.0,7.0,799.0,92.0,1195.0,308.0,423.0,878.0,1243.0,1225.0,1153.0,684.0
15.0,38.0,55.0,49.0,218.0,129.0,965.0,1.0,599.0,37.0,1367.0,513.0,266.0,1174.0,1209.0,1347.0,1022.0,996.0
4.0,22.0,31.0,32.0,114.0,54.0,810.0,0.0,375.0,13.0,1410.0,871.0,158.0,1407.0,1290.0,1362.0,774.0,1273.0
1.0,12.0,11.0,9.0,50.0,29.0,590.0,0.0,253.0,6.0,1212.0,1268.0,68.0,1748.0,1082.0,1348.0,626.0,1687.0
0.0,0.0,3.0,5.0,29.0,14.0,376.0,0.0,138.0,4.0,1047.0,2133.0,40.0,1728.0,854.0,1035.0,388.0,2206.0
0.0,1.0,0.0,2.0,4.0,5.0,148.0,0.0,40.0,2.0,624.0,4528.0,8.0,1411.0,505.0,612.0,188.0,1922.0
