West Ham United,Swansea City,West Bromwich Albion,Middlesbrough,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Southampton,Birmingham City,Stoke City,Bristol City,Norwich City,Millwall,Sheffield United,Blackburn Rovers,Lincoln City,Watford,Portsmouth,Wrexham,Bolton Wanderers,Cardiff City,Derby County,Preston North End,Burnley
6838.0,106.0,17.0,534.0,5.0,0.0,1714.0,622.0,23.0,0.0,15.0,27.0,94.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1978.0,412.0,137.0,1511.0,53.0,26.0,3314.0,1724.0,114.0,19.0,92.0,178.0,323.0,58.0,7.0,0.0,5.0,3.0,29.0,0.0,0.0,9.0,0.0,8.0
675.0,770.0,300.0,1900.0,120.0,58.0,2071.0,2121.0,274.0,96.0,234.0,402.0,622.0,157.0,20.0,1.0,11.0,24.0,82.0,0.0,0.0,42.0,2.0,18.0
266.0,1028.0,527.0,1657.0,265.0,102.0,1172.0,1656.0,465.0,176.0,405.0,657.0,870.0,293.0,63.0,4.0,38.0,44.0,179.0,0.0,0.0,72.0,4.0,57.0
122.0,1155.0,661.0,1160.0,370.0,202.0,669.0,1108.0,665.0,318.0,538.0,838.0,1039.0,367.0,96.0,5.0,83.0,106.0,260.0,0.0,0.0,141.0,10.0,87.0
63.0,1054.0,770.0,898.0,434.0,254.0,418.0,797.0,789.0,381.0,669.0,873.0,1066.0,487.0,145.0,13.0,117.0,117.0,326.0,3.0,0.0,162.0,15.0,149.0
29.0,992.0,792.0,638.0,545.0,335.0,230.0,578.0,859.0,452.0,716.0,855.0,974.0,572.0,205.0,23.0,157.0,178.0,426.0,2.0,1.0,238.0,26.0,177.0
12.0,778.0,798.0,488.0,607.0,406.0,140.0,426.0,843.0,527.0,746.0,857.0,851.0,630.0,267.0,48.0,247.0,250.0,539.0,4.0,1.0,294.0,42.0,199.0
6.0,701.0,804.0,335.0,605.0,474.0,98.0,294.0,810.0,579.0,769.0,828.0,734.0,655.0,342.0,55.0,295.0,294.0,537.0,11.0,1.0,388.0,73.0,312.0
4.0,616.0,765.0,244.0,715.0,566.0,70.0,201.0,747.0,617.0,742.0,721.0,641.0,711.0,431.0,76.0,331.0,361.0,577.0,13.0,9.0,433.0,82.0,327.0
4.0,501.0,697.0,193.0,656.0,612.0,38.0,129.0,686.0,639.0,732.0,664.0,573.0,764.0,488.0,116.0,387.0,394.0,633.0,11.0,10.0,536.0,115.0,422.0
1.0,430.0,630.0,151.0,751.0,665.0,23.0,113.0,622.0,702.0,685.0,595.0,491.0,694.0,555.0,139.0,455.0,489.0,634.0,19.0,16.0,546.0,144.0,450.0
0.0,372.0,596.0,100.0,733.0,680.0,11.0,76.0,580.0,706.0,661.0,506.0,381.0,722.0,600.0,198.0,501.0,512.0,696.0,42.0,26.0,599.0,190.0,512.0
2.0,259.0,563.0,68.0,677.0,705.0,11.0,57.0,561.0,726.0,534.0,454.0,287.0,624.0,664.0,267.0,645.0,616.0,695.0,55.0,21.0,645.0,278.0,586.0
0.0,258.0,446.0,50.0,669.0,689.0,7.0,28.0,443.0,698.0,515.0,371.0,275.0,637.0,740.0,313.0,680.0,632.0,714.0,81.0,60.0,700.0,339.0,655.0
0.0,174.0,378.0,24.0,635.0,755.0,9.0,29.0,402.0,638.0,456.0,303.0,225.0,605.0,729.0,429.0,725.0,768.0,635.0,106.0,87.0,758.0,434.0,696.0
0.0,137.0,346.0,24.0,538.0,744.0,2.0,18.0,337.0,570.0,376.0,275.0,184.0,524.0,837.0,521.0,772.0,828.0,667.0,177.0,111.0,760.0,500.0,752.0
0.0,101.0,252.0,15.0,484.0,699.0,2.0,11.0,247.0,569.0,372.0,202.0,133.0,425.0,838.0,652.0,832.0,842.0,575.0,235.0,198.0,812.0,672.0,832.0
0.0,53.0,205.0,4.0,395.0,655.0,0.0,5.0,194.0,544.0,283.0,155.0,93.0,385.0,795.0,885.0,896.0,840.0,546.0,373.0,263.0,736.0,821.0,874.0
0.0,53.0,142.0,4.0,291.0,500.0,1.0,7.0,155.0,410.0,193.0,117.0,83.0,300.0,739.0,1070.0,916.0,858.0,465.0,584.0,448.0,701.0,1080.0,883.0
0.0,28.0,93.0,1.0,241.0,414.0,0.0,0.0,105.0,320.0,139.0,63.0,38.0,196.0,636.0,1423.0,768.0,736.0,377.0,947.0,763.0,614.0,1316.0,782.0
0.0,17.0,51.0,0.0,138.0,260.0,0.0,0.0,51.0,186.0,70.0,39.0,16.0,125.0,452.0,1541.0,624.0,587.0,260.0,1550.0,1446.0,419.0,1539.0,629.0
0.0,4.0,24.0,1.0,54.0,144.0,0.0,0.0,22.0,93.0,50.0,19.0,5.0,51.0,244.0,1415.0,359.0,357.0,114.0,2552.0,2438.0,284.0,1365.0,405.0
0.0,1.0,6.0,0.0,19.0,55.0,0.0,0.0,6.0,34.0,8.0,1.0,2.0,16.0,106.0,806.0,156.0,163.0,34.0,3235.0,4101.0,110.0,953.0,188.0
