Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6666.0,2181.0,372.0,226.0,403.0,129.0,8.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2131.0,3856.0,1207.0,923.0,1260.0,432.0,53.0,68.0,11.0,6.0,9.0,9.0,13.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0
727.0,1870.0,2065.0,1704.0,2122.0,880.0,158.0,212.0,53.0,42.0,43.0,42.0,19.0,42.0,16.0,2.0,3.0,0.0,0.0,0.0
292.0,1044.0,1948.0,1821.0,2018.0,1370.0,328.0,419.0,125.0,95.0,131.0,122.0,71.0,137.0,59.0,11.0,8.0,0.0,0.0,1.0
101.0,548.0,1556.0,1755.0,1575.0,1675.0,580.0,793.0,252.0,142.0,215.0,245.0,150.0,251.0,123.0,21.0,16.0,1.0,0.0,1.0
56.0,255.0,1056.0,1304.0,1039.0,1672.0,907.0,997.0,459.0,320.0,418.0,434.0,291.0,469.0,238.0,49.0,30.0,6.0,0.0,0.0
12.0,135.0,700.0,847.0,638.0,1223.0,1201.0,1279.0,678.0,417.0,584.0,631.0,476.0,640.0,367.0,109.0,49.0,9.0,2.0,3.0
9.0,62.0,433.0,528.0,398.0,887.0,1180.0,1247.0,820.0,600.0,734.0,790.0,630.0,839.0,542.0,178.0,87.0,22.0,1.0,13.0
2.0,20.0,282.0,345.0,209.0,561.0,1142.0,1166.0,952.0,743.0,872.0,953.0,778.0,906.0,639.0,234.0,151.0,30.0,2.0,13.0
3.0,13.0,164.0,221.0,161.0,412.0,995.0,938.0,1018.0,887.0,900.0,982.0,894.0,977.0,811.0,328.0,196.0,59.0,3.0,38.0
0.0,5.0,101.0,139.0,92.0,262.0,904.0,819.0,1094.0,939.0,942.0,976.0,953.0,1026.0,873.0,458.0,268.0,82.0,11.0,56.0
1.0,6.0,52.0,81.0,35.0,199.0,728.0,602.0,1028.0,972.0,963.0,1048.0,1051.0,1002.0,967.0,563.0,445.0,142.0,27.0,88.0
0.0,5.0,26.0,49.0,27.0,129.0,626.0,516.0,894.0,1023.0,922.0,937.0,1077.0,939.0,1053.0,778.0,612.0,208.0,42.0,137.0
0.0,0.0,20.0,39.0,15.0,72.0,457.0,363.0,782.0,1032.0,928.0,873.0,1023.0,863.0,1081.0,981.0,774.0,349.0,66.0,282.0
0.0,0.0,9.0,7.0,5.0,54.0,322.0,235.0,709.0,936.0,839.0,693.0,924.0,730.0,1079.0,1212.0,1086.0,574.0,164.0,422.0
0.0,0.0,6.0,9.0,1.0,25.0,222.0,169.0,500.0,810.0,686.0,569.0,737.0,529.0,898.0,1542.0,1434.0,852.0,287.0,724.0
0.0,0.0,3.0,0.0,2.0,13.0,116.0,108.0,365.0,589.0,465.0,377.0,506.0,353.0,628.0,1563.0,1750.0,1393.0,543.0,1226.0
0.0,0.0,0.0,2.0,0.0,4.0,55.0,45.0,172.0,277.0,234.0,213.0,250.0,182.0,421.0,1124.0,1577.0,2138.0,1195.0,2111.0
0.0,0.0,0.0,0.0,0.0,1.0,14.0,11.0,79.0,136.0,87.0,87.0,131.0,87.0,155.0,637.0,1054.0,2492.0,2362.0,2667.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,34.0,28.0,18.0,26.0,13.0,42.0,210.0,460.0,1643.0,5295.0,2218.0
