Internazionale,Napoli,AC Milan,Juventus,Como,AS Roma,Atalanta,Bologna,Sassuolo,Lazio,Udinese,Torino,Genoa,Parma,Fiorentina,Cagliari,Cremonese,Lecce,Hellas Verona,Pisa
9987.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,6909.0,1852.0,1164.0,44.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2258.0,3503.0,3580.0,454.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,636.0,3018.0,3382.0,1984.0,933.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,153.0,1209.0,1394.0,4243.0,2705.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,31.0,387.0,460.0,2936.0,4938.0,1245.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,31.0,20.0,339.0,1195.0,8072.0,273.0,28.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,310.0,4925.0,1622.0,1700.0,1421.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,28.0,2652.0,2538.0,2697.0,1995.0,78.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,1511.0,3032.0,2679.0,2479.0,219.0,51.0,5.0,21.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,2384.0,2559.0,3379.0,706.0,185.0,51.0,113.0,15.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,343.0,304.0,610.0,3690.0,2556.0,523.0,1712.0,233.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,37.0,78.0,2819.0,2837.0,1307.0,2318.0,546.0,4.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,16.0,1522.0,2185.0,2490.0,2620.0,1118.0,14.0,27.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.0,1545.0,3365.0,2153.0,2103.0,56.0,90.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,576.0,2171.0,966.0,5208.0,407.0,415.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,55.0,85.0,88.0,700.0,5035.0,3997.0,0.0,32.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,76.0,4380.0,5368.0,11.0,158.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,98.0,3378.0,6421.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6611.0,3389.0
