Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Brighton & Hove Albion,Sunderland,AFC Bournemouth,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
8123.0,1877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877.0,8112.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,4832.0,3505.0,1436.0,177.0,5.0,10.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3113.0,3768.0,2253.0,577.0,63.0,63.0,127.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1478.0,1963.0,3331.0,1716.0,348.0,348.0,567.0,131.0,73.0,29.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,409.0,570.0,1701.0,2771.0,981.0,993.0,1640.0,363.0,327.0,159.0,33.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,113.0,142.0,736.0,1795.0,1665.0,1568.0,1955.0,737.0,670.0,371.0,98.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,41.0,32.0,308.0,1231.0,1819.0,1767.0,1684.0,1001.0,970.0,638.0,202.0,300.0,7.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,13.0,142.0,741.0,1624.0,1689.0,1392.0,1290.0,1308.0,935.0,313.0,532.0,14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0,63.0,515.0,1332.0,1382.0,1090.0,1530.0,1609.0,1225.0,475.0,748.0,28.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,24.0,287.0,1029.0,1028.0,765.0,1724.0,1674.0,1466.0,797.0,1134.0,68.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,151.0,649.0,670.0,450.0,1588.0,1478.0,1808.0,1359.0,1635.0,198.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,32.0,345.0,366.0,225.0,1023.0,1065.0,1804.0,2292.0,2269.0,517.0,46.0,16.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,124.0,104.0,71.0,527.0,678.0,1285.0,3093.0,2351.0,1550.0,155.0,45.0,10.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,13.0,51.0,140.0,270.0,1206.0,735.0,5727.0,1200.0,422.0,209.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,7.0,120.0,76.0,1406.0,5065.0,1868.0,1451.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,407.0,2495.0,3990.0,3094.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1027.0,3657.0,5233.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7509.0,2486.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2489.0,7511.0
