Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Real Sociedad,Espanyol,Getafe,Athletic Club,Osasuna,Girona,Rayo Vallecano,Valencia,Sevilla,Mallorca,Alavés,Elche,Levante,Real Oviedo
8650.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1344.0,8555.0,79.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,93.0,6032.0,3868.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,3870.0,6072.0,31.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.0,35.0,6184.0,2640.0,983.0,45.0,20.0,13.0,52.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,2527.0,4606.0,2090.0,205.0,139.0,84.0,252.0,42.0,34.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,966.0,1994.0,4007.0,769.0,569.0,268.0,843.0,249.0,245.0,50.0,26.0,8.0,2.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,210.0,525.0,1533.0,1816.0,1242.0,855.0,2097.0,630.0,718.0,201.0,89.0,58.0,13.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,55.0,137.0,678.0,1889.0,1513.0,1145.0,1788.0,1016.0,1042.0,339.0,192.0,131.0,23.0,51.0,1.0,0.0
0.0,0.0,0.0,0.0,18.0,54.0,357.0,1563.0,1574.0,1344.0,1372.0,1283.0,1230.0,509.0,314.0,219.0,72.0,91.0,0.0,0.0
0.0,0.0,0.0,0.0,9.0,16.0,160.0,1268.0,1383.0,1485.0,1129.0,1406.0,1214.0,762.0,525.0,343.0,124.0,169.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,107.0,959.0,1195.0,1326.0,863.0,1378.0,1353.0,964.0,795.0,531.0,215.0,301.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,52.0,698.0,959.0,1232.0,645.0,1318.0,1212.0,1212.0,1011.0,770.0,384.0,469.0,35.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,17.0,427.0,641.0,958.0,444.0,1086.0,1074.0,1496.0,1332.0,1086.0,592.0,780.0,65.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,241.0,406.0,650.0,278.0,742.0,793.0,1456.0,1726.0,1433.0,990.0,1119.0,145.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,220.0,401.0,153.0,502.0,556.0,1352.0,1680.0,1744.0,1483.0,1455.0,332.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,110.0,182.0,62.0,241.0,353.0,987.0,1322.0,1717.0,2127.0,2078.0,698.0,97.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,53.0,20.0,92.0,145.0,557.0,709.0,1364.0,2732.0,2249.0,1690.0,357.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,9.0,27.0,103.0,255.0,538.0,1115.0,1047.0,5358.0,1539.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,17.0,58.0,128.0,173.0,1659.0,7962.0
