Bayern Munich,Borussia Dortmund,TSG Hoffenheim,VfB Stuttgart,RB Leipzig,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Mainz,FC Cologne,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9999.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9691.0,216.0,68.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,281.0,5202.0,2706.0,1321.0,488.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,22.0,2452.0,3517.0,2414.0,1594.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1558.0,2459.0,3203.0,2762.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,566.0,1229.0,2993.0,5000.0,208.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,21.0,48.0,149.0,7708.0,1339.0,319.0,211.0,106.0,25.0,60.0,7.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,1489.0,4738.0,1697.0,864.0,485.0,212.0,406.0,88.0,6.0,11.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,398.0,2215.0,2693.0,1546.0,1136.0,654.0,967.0,315.0,37.0,36.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,132.0,975.0,1990.0,1907.0,1706.0,1088.0,1336.0,650.0,101.0,108.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,35.0,447.0,1396.0,1762.0,1850.0,1427.0,1564.0,1044.0,218.0,231.0,26.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,182.0,896.0,1473.0,1742.0,1582.0,1672.0,1411.0,427.0,540.0,63.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,72.0,604.0,1140.0,1413.0,1785.0,1513.0,1720.0,744.0,849.0,158.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,282.0,744.0,896.0,1714.0,1309.0,1929.0,1382.0,1357.0,360.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,93.0,279.0,485.0,1011.0,801.0,1540.0,2661.0,2308.0,817.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,68.0,169.0,431.0,330.0,1014.0,3053.0,3126.0,1743.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,12.0,71.0,42.0,280.0,1359.0,1411.0,6578.0,238.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,23.0,245.0,9719.0
