Arsenal,Manchester City,Manchester United,Aston Villa,Liverpool,Chelsea,Brentford,Everton,Newcastle United,AFC Bournemouth,Fulham,Brighton & Hove Albion,Sunderland,Crystal Palace,Leeds United,Tottenham Hotspur,Nottingham Forest,West Ham United,Burnley,Wolverhampton Wanderers
9782.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.0,9472.0,278.0,16.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,289.0,6852.0,1014.0,779.0,1023.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,20.0,1794.0,2981.0,2286.0,2609.0,216.0,43.0,32.0,0.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,752.0,2827.0,2545.0,2825.0,633.0,157.0,121.0,22.0,36.0,66.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,265.0,2072.0,2592.0,2115.0,1413.0,413.0,490.0,121.0,176.0,284.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,51.0,779.0,1029.0,874.0,2913.0,1076.0,1344.0,369.0,532.0,778.0,178.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,232.0,444.0,321.0,1883.0,1567.0,1998.0,702.0,931.0,1366.0,361.0,182.0,4.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,54.0,187.0,142.0,1234.0,1817.0,1718.0,1095.0,1272.0,1525.0,603.0,334.0,19.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,19.0,90.0,50.0,810.0,1630.0,1389.0,1364.0,1485.0,1672.0,890.0,542.0,52.0,5.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,6.0,29.0,27.0,464.0,1366.0,1138.0,1587.0,1664.0,1523.0,1200.0,875.0,103.0,14.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,9.0,3.0,249.0,949.0,820.0,1765.0,1614.0,1217.0,1733.0,1351.0,233.0,46.0,9.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,112.0,598.0,582.0,1512.0,1310.0,888.0,2192.0,2136.0,454.0,149.0,41.0,22.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,31.0,324.0,314.0,1052.0,805.0,496.0,2060.0,2996.0,1206.0,463.0,139.0,113.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,49.0,363.0,157.0,147.0,603.0,1182.0,4025.0,2230.0,668.0,521.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,42.0,13.0,24.0,107.0,258.0,2445.0,3347.0,2152.0,1601.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,18.0,42.0,1053.0,2316.0,3560.0,2986.0,15.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,402.0,1418.0,3354.0,4686.0,124.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,73.0,66.0,7645.0,2201.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2213.0,7786.0
