Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Lorient,Brest,Toulouse,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
8745.0,1245.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1225.0,8102.0,610.0,55.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,604.0,7524.0,1130.0,280.0,224.0,204.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,48.0,1335.0,5001.0,1232.0,1256.0,1078.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,364.0,2098.0,2585.0,2476.0,2181.0,265.0,18.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,117.0,1082.0,2652.0,2392.0,2878.0,730.0,81.0,55.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,35.0,518.0,2281.0,2375.0,2550.0,1536.0,388.0,241.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,97.0,840.0,1023.0,926.0,3595.0,1692.0,1169.0,624.0,23.0,5.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,18.0,107.0,205.0,152.0,2053.0,3062.0,2479.0,1759.0,112.0,44.0,6.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,17.0,42.0,28.0,1119.0,2562.0,3019.0,2608.0,388.0,160.0,44.0,12.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,2.0,2.0,551.0,1793.0,2218.0,3402.0,1231.0,493.0,195.0,110.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,92.0,326.0,630.0,1130.0,4176.0,1987.0,1043.0,610.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,64.0,156.0,321.0,2551.0,3286.0,1962.0,1612.0,39.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,20.0,57.0,1131.0,2448.0,3094.0,3067.0,157.0,15.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,377.0,1471.0,3263.0,4116.0,684.0,75.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,106.0,384.0,456.0,7117.0,1791.0,136.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,1898.0,6840.0,1240.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1277.0,8623.0
