Bayern Munich,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,FC Augsburg,SC Freiburg,Schalke 04,Werder Bremen,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Borussia Mönchengladbach,VfB Stuttgart
9775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,43.0,1.0,0.0,0.0,0.0,0.0,152.0
205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,1572.0,2108.0,242.0,0.0,0.0,0.0,0.0,5053.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,2371.0,2828.0,644.0,0.0,0.0,0.0,0.0,2453.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2322.0,2611.0,2387.0,1277.0,0.0,0.0,0.0,0.0,1401.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2907.0,2130.0,1803.0,2475.0,0.0,0.0,0.0,0.0,684.0
0.0,1346.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1955.0,1217.0,789.0,4436.0,0.0,0.0,0.0,0.0,256.0
0.0,8653.0,1346.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8653.0,1346.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,8653.0,1346.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8653.0,319.0,0.0,0.0,0.0,244.0,60.0,37.0,686.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,9681.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9681.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9681.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9681.0,60.0,15.0,5.0,239.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
