Atlético Madrid,Alavés,Barcelona,Real Madrid,Sevilla,Real Betis,Osasuna,Levante,Racing Santander,Espanyol,Getafe,Real Sociedad,Deportivo La Coruña,Villarreal,Rayo Vallecano,Celta Vigo,Valencia,Málaga,Elche,Athletic Club
0.0,1.0,5734.0,4115.0,0.0,0.0,2.0,0.0,32.0,0.0,0.0,0.0,51.0,23.0,0.0,0.0,0.0,42.0,0.0,0.0
0.0,13.0,3972.0,5335.0,0.0,0.0,13.0,0.0,147.0,0.0,2.0,0.0,133.0,265.0,7.0,13.0,2.0,96.0,1.0,1.0
0.0,530.0,271.0,474.0,0.0,0.0,705.0,0.0,1127.0,0.0,115.0,0.0,1096.0,4027.0,277.0,444.0,119.0,768.0,25.0,22.0
0.0,1058.0,18.0,58.0,0.0,0.0,1257.0,0.0,1058.0,0.0,302.0,0.0,999.0,2486.0,588.0,949.0,345.0,761.0,69.0,52.0
0.0,1378.0,4.0,14.0,0.0,0.0,1413.0,0.0,914.0,0.0,498.0,0.0,794.0,1341.0,877.0,1261.0,540.0,663.0,173.0,130.0
0.0,1407.0,1.0,2.0,0.0,0.0,1382.0,0.0,735.0,0.0,681.0,0.0,754.0,796.0,1027.0,1363.0,699.0,657.0,293.0,203.0
0.0,1357.0,0.0,2.0,0.0,0.0,1244.0,0.0,723.0,0.0,892.0,0.0,683.0,465.0,1171.0,1258.0,926.0,559.0,420.0,300.0
0.0,1156.0,0.0,0.0,0.0,0.0,1028.0,0.0,686.0,0.0,1090.0,0.0,647.0,273.0,1202.0,1194.0,1081.0,612.0,550.0,481.0
0.0,965.0,0.0,0.0,0.0,0.0,930.0,0.0,702.0,0.0,1156.0,0.0,692.0,165.0,1130.0,1000.0,1135.0,657.0,826.0,642.0
0.0,775.0,0.0,0.0,0.0,0.0,707.0,0.0,670.0,0.0,1273.0,0.0,747.0,78.0,1081.0,884.0,1291.0,632.0,1026.0,836.0
0.0,593.0,0.0,0.0,0.0,0.0,583.0,0.0,736.0,0.0,1297.0,0.0,726.0,42.0,910.0,682.0,1235.0,734.0,1355.0,1107.0
0.0,422.0,0.0,0.0,0.0,0.0,378.0,0.0,752.0,0.0,1174.0,0.0,726.0,26.0,826.0,505.0,1149.0,873.0,1613.0,1556.0
0.0,246.0,0.0,0.0,0.0,0.0,243.0,0.0,769.0,0.0,953.0,0.0,860.0,12.0,577.0,297.0,922.0,1092.0,1924.0,2105.0
90.0,99.0,0.0,0.0,0.0,0.0,115.0,0.0,939.0,0.0,567.0,0.0,1075.0,1.0,327.0,150.0,556.0,1793.0,1724.0,2564.0
9910.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
0.0,0.0,0.0,0.0,9952.0,41.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9959.0,0.0,23.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9977.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9991.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9997.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
