Manchester City,Hull City,Newcastle United,Everton,Brighton & Hove Albion,Arsenal,Brentford,Chelsea,Ipswich Town,Leeds United,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Sunderland,Manchester United,Aston Villa,Coventry City,Crystal Palace,Tottenham Hotspur
4317.0,0.0,0.0,0.0,36.0,5279.0,46.0,8.0,244.0,5.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
4500.0,0.0,0.0,0.0,299.0,3865.0,245.0,98.0,526.0,61.0,0.0,0.0,0.0,5.0,4.0,382.0,15.0,0.0,0.0,0.0
874.0,0.0,0.0,0.0,1746.0,652.0,1697.0,712.0,1419.0,508.0,0.0,0.0,0.0,88.0,46.0,2032.0,221.0,0.0,5.0,0.0
201.0,0.0,0.0,0.0,1989.0,142.0,1867.0,1158.0,1002.0,859.0,0.0,0.0,0.0,172.0,131.0,1985.0,468.0,0.0,26.0,0.0
80.0,0.0,0.0,0.0,1723.0,44.0,1724.0,1403.0,881.0,1216.0,0.0,0.0,0.0,341.0,240.0,1628.0,663.0,0.0,57.0,0.0
18.0,0.0,0.0,0.0,1392.0,9.0,1432.0,1532.0,852.0,1351.0,0.0,0.0,0.0,556.0,430.0,1289.0,1041.0,0.0,98.0,0.0
7.0,0.0,0.0,0.0,1068.0,7.0,1122.0,1496.0,827.0,1451.0,0.0,0.0,0.0,837.0,647.0,1020.0,1281.0,0.0,237.0,0.0
3.0,0.0,0.0,0.0,783.0,2.0,812.0,1364.0,818.0,1483.0,0.0,0.0,0.0,1199.0,1058.0,678.0,1406.0,0.0,394.0,0.0
0.0,0.0,0.0,0.0,510.0,0.0,544.0,1016.0,852.0,1218.0,0.0,0.0,0.0,1562.0,1490.0,479.0,1633.0,0.0,696.0,0.0
0.0,0.0,0.0,0.0,277.0,0.0,323.0,653.0,874.0,937.0,0.0,0.0,0.0,1914.0,1923.0,282.0,1491.0,0.0,1326.0,0.0
0.0,0.0,0.0,0.0,144.0,0.0,137.0,393.0,801.0,624.0,0.0,0.0,0.0,1965.0,2244.0,118.0,1163.0,0.0,2411.0,0.0
0.0,72.0,0.0,0.0,33.0,0.0,51.0,167.0,887.0,287.0,0.0,0.0,0.0,1356.0,1782.0,42.0,618.0,0.0,4705.0,0.0
0.0,9928.0,11.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,38.0,0.0
0.0,0.0,9989.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,9989.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
