FC Porto,Sporting CP,Arouca,Santa Clara,Maritimo,Gil Vicente,Benfica,C.D. Nacional,Vitória de Guimaraes,Rio Ave,Estrela,Alverca,Académico de Viseu,Braga,FC Famalicao,Moreirense,Estoril,Casa Pia
0.0,6698.0,0.0,0.0,0.0,6.0,3242.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,0.0,0.0,0.0
0.0,3157.0,0.0,0.0,0.0,104.0,6298.0,4.0,0.0,0.0,2.0,0.0,0.0,392.0,43.0,0.0,0.0,0.0
0.0,135.0,0.0,0.0,0.0,2288.0,420.0,284.0,104.0,10.0,61.0,0.0,0.0,5355.0,1317.0,12.0,14.0,0.0
0.0,10.0,0.0,0.0,0.0,3378.0,36.0,809.0,381.0,23.0,277.0,0.0,0.0,2470.0,2432.0,83.0,100.0,1.0
0.0,0.0,0.0,0.0,0.0,2225.0,3.0,1576.0,930.0,109.0,679.0,0.0,0.0,1081.0,2755.0,284.0,350.0,8.0
0.0,0.0,0.0,0.0,0.0,1085.0,1.0,2456.0,1544.0,348.0,1188.0,0.0,0.0,404.0,1554.0,598.0,796.0,26.0
0.0,0.0,0.0,0.0,0.0,485.0,0.0,1836.0,1804.0,629.0,1657.0,0.0,0.0,171.0,969.0,1057.0,1303.0,89.0
0.0,0.0,0.0,0.0,0.0,265.0,0.0,1350.0,1738.0,1089.0,1722.0,0.0,0.0,53.0,505.0,1473.0,1637.0,168.0
0.0,0.0,0.0,0.0,0.0,121.0,0.0,871.0,1475.0,1502.0,1648.0,0.0,0.0,18.0,236.0,1846.0,1915.0,368.0
2.0,0.0,0.0,0.0,0.0,33.0,0.0,530.0,1102.0,2207.0,1392.0,0.0,0.0,5.0,128.0,1913.0,1875.0,813.0
283.0,0.0,0.0,0.0,0.0,9.0,0.0,231.0,697.0,2713.0,990.0,0.0,0.0,1.0,47.0,1873.0,1442.0,1714.0
4290.0,0.0,12.0,0.0,0.0,1.0,0.0,46.0,186.0,959.0,296.0,0.0,0.0,0.0,10.0,624.0,432.0,3144.0
5425.0,0.0,1695.0,2.0,0.0,0.0,0.0,5.0,32.0,329.0,78.0,0.0,0.0,0.0,0.0,199.0,123.0,2112.0
0.0,0.0,8293.0,1144.0,1.0,0.0,0.0,1.0,4.0,35.0,7.0,0.0,0.0,0.0,0.0,20.0,5.0,490.0
0.0,0.0,0.0,8854.0,722.0,0.0,0.0,1.0,3.0,25.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,380.0
0.0,0.0,0.0,0.0,9277.0,0.0,0.0,0.0,0.0,22.0,1.0,21.0,0.0,0.0,0.0,7.0,6.0,666.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9979.0,21.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9979.0,0.0,0.0,0.0,0.0,21.0
