AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Groningen,Ajax Amsterdam,Heerenveen,Sparta Rotterdam,FC Twente,Telstar,PEC Zwolle,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
0.0,6837.0,1930.0,0.0,3.0,0.0,0.0,10.0,636.0,24.0,0.0,465.0,13.0,0.0,32.0,32.0,14.0,4.0
0.0,2115.0,3886.0,0.0,35.0,0.0,0.0,77.0,1913.0,157.0,0.0,1435.0,75.0,0.0,154.0,81.0,52.0,20.0
0.0,685.0,2200.0,0.0,131.0,0.0,0.0,255.0,2761.0,489.0,0.0,2441.0,286.0,0.0,450.0,151.0,84.0,67.0
0.0,262.0,1102.0,0.0,337.0,0.0,0.0,652.0,2171.0,1043.0,0.0,2460.0,631.0,0.0,917.0,193.0,134.0,98.0
0.0,81.0,496.0,0.0,723.0,0.0,0.0,1231.0,1164.0,1701.0,0.0,1440.0,1087.0,0.0,1411.0,301.0,220.0,145.0
0.0,14.0,226.0,0.0,1149.0,0.0,0.0,1597.0,665.0,1757.0,0.0,826.0,1380.0,0.0,1608.0,311.0,253.0,214.0
0.0,4.0,101.0,0.0,1433.0,0.0,0.0,1741.0,377.0,1577.0,0.0,496.0,1575.0,0.0,1644.0,419.0,360.0,273.0
0.0,2.0,39.0,0.0,1814.0,0.0,0.0,1685.0,186.0,1340.0,0.0,243.0,1714.0,0.0,1481.0,595.0,489.0,412.0
0.0,0.0,18.0,0.0,2077.0,0.0,0.0,1520.0,90.0,1046.0,0.0,137.0,1631.0,0.0,1265.0,857.0,732.0,627.0
30.0,0.0,2.0,0.0,1522.0,0.0,0.0,876.0,27.0,595.0,0.0,42.0,1058.0,0.0,736.0,1847.0,1773.0,1492.0
1136.0,0.0,0.0,0.0,650.0,0.0,0.0,300.0,8.0,223.0,0.0,13.0,469.0,0.0,248.0,2177.0,2359.0,2417.0
5107.0,0.0,0.0,68.0,123.0,0.0,0.0,56.0,2.0,47.0,0.0,2.0,77.0,0.0,54.0,1238.0,1476.0,1750.0
3727.0,0.0,0.0,2409.0,3.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1080.0,1224.0,1515.0
0.0,0.0,0.0,7523.0,0.0,1811.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,202.0,251.0
0.0,0.0,0.0,0.0,0.0,8152.0,1811.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,14.0,11.0
0.0,0.0,0.0,0.0,0.0,0.0,8152.0,0.0,0.0,0.0,910.0,0.0,0.0,0.0,0.0,268.0,312.0,358.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9089.0,0.0,0.0,572.0,0.0,101.0,113.0,125.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9428.0,0.0,162.0,189.0,221.0
