Lille,Lyon,Troyes,Marseille,Lens,AS Monaco,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Stade Rennais,Nice,Paris FC,Lorient,Le Havre AC,Toulouse,AJ Auxerre
1889.0,0.0,0.0,2380.0,0.0,712.0,0.0,0.0,0.0,3983.0,687.0,220.0,3.0,126.0,0.0,0.0,0.0,0.0
2298.0,0.0,0.0,2327.0,0.0,1098.0,0.0,0.0,0.0,2729.0,684.0,533.0,7.0,324.0,0.0,0.0,0.0,0.0
2253.0,0.0,0.0,2011.0,0.0,1600.0,0.0,0.0,0.0,1730.0,833.0,944.0,31.0,598.0,0.0,0.0,0.0,0.0
1672.0,0.0,0.0,1522.0,0.0,2097.0,0.0,0.0,0.0,941.0,1035.0,1587.0,90.0,1056.0,0.0,0.0,0.0,0.0
1068.0,0.0,0.0,990.0,0.0,2025.0,0.0,0.0,0.0,407.0,1276.0,2286.0,294.0,1654.0,0.0,0.0,0.0,0.0
565.0,0.0,0.0,542.0,0.0,1472.0,0.0,0.0,0.0,153.0,1612.0,2362.0,732.0,2562.0,0.0,0.0,0.0,0.0
229.0,0.0,0.0,191.0,0.0,823.0,0.0,0.0,0.0,50.0,2148.0,1638.0,2323.0,2598.0,0.0,0.0,0.0,0.0
26.0,625.0,0.0,37.0,0.0,173.0,0.0,0.0,0.0,7.0,1552.0,428.0,6079.0,1073.0,0.0,0.0,0.0,0.0
0.0,9375.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9375.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,225.0,7.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,9671.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9671.0,136.0,0.0,0.0,51.0,2.0,139.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9864.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9864.0,0.0,58.0,0.0,77.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
