Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Vitória,Red Bull Bragantino,Botafogo,Atlético-MG,Grêmio,Vasco da Gama,Cruzeiro,Corinthians,Santos,Internacional,Remo,Mirassol,Chapecoense
8147.0,1549.0,169.0,73.0,54.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516.0,5760.0,1278.0,788.0,541.0,58.0,33.0,4.0,4.0,1.0,6.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
254.0,1738.0,3430.0,2134.0,1741.0,231.0,247.0,28.0,14.0,35.0,34.0,73.0,21.0,9.0,1.0,7.0,3.0,0.0,0.0,0.0
63.0,618.0,2429.0,2685.0,2327.0,587.0,524.0,83.0,68.0,132.0,141.0,167.0,102.0,20.0,2.0,43.0,8.0,1.0,0.0,0.0
15.0,226.0,1425.0,1946.0,2376.0,1112.0,968.0,253.0,197.0,266.0,263.0,408.0,309.0,95.0,18.0,92.0,27.0,4.0,0.0,0.0
3.0,75.0,646.0,1003.0,1213.0,1736.0,1464.0,495.0,401.0,581.0,492.0,770.0,571.0,223.0,56.0,197.0,69.0,5.0,0.0,0.0
1.0,21.0,299.0,590.0,714.0,1561.0,1476.0,703.0,621.0,757.0,700.0,904.0,758.0,268.0,137.0,329.0,140.0,21.0,0.0,0.0
0.0,10.0,154.0,317.0,382.0,1317.0,1207.0,834.0,784.0,971.0,827.0,1025.0,841.0,419.0,204.0,449.0,210.0,46.0,3.0,0.0
1.0,1.0,80.0,198.0,261.0,961.0,988.0,948.0,850.0,1015.0,948.0,1016.0,965.0,510.0,277.0,581.0,332.0,67.0,1.0,0.0
0.0,1.0,41.0,120.0,162.0,663.0,780.0,1007.0,957.0,1034.0,1086.0,971.0,996.0,623.0,363.0,647.0,450.0,90.0,9.0,0.0
0.0,1.0,22.0,57.0,96.0,539.0,635.0,985.0,1005.0,1009.0,937.0,957.0,980.0,715.0,539.0,798.0,597.0,117.0,11.0,0.0
0.0,0.0,18.0,37.0,62.0,439.0,522.0,1001.0,1011.0,940.0,954.0,842.0,948.0,770.0,631.0,881.0,724.0,194.0,24.0,2.0
0.0,0.0,8.0,25.0,29.0,309.0,391.0,913.0,974.0,834.0,863.0,765.0,893.0,903.0,842.0,1036.0,867.0,304.0,42.0,2.0
0.0,0.0,1.0,13.0,24.0,203.0,311.0,841.0,849.0,754.0,822.0,680.0,809.0,1006.0,1101.0,1022.0,1044.0,422.0,96.0,2.0
0.0,0.0,0.0,4.0,13.0,130.0,238.0,748.0,820.0,610.0,697.0,558.0,688.0,1113.0,1283.0,1046.0,1250.0,666.0,134.0,2.0
0.0,0.0,0.0,6.0,4.0,98.0,129.0,566.0,670.0,486.0,581.0,427.0,525.0,1153.0,1524.0,1077.0,1471.0,992.0,281.0,10.0
0.0,0.0,0.0,4.0,1.0,39.0,65.0,374.0,467.0,368.0,432.0,277.0,378.0,1182.0,1662.0,1005.0,1457.0,1527.0,719.0,43.0
0.0,0.0,0.0,0.0,0.0,11.0,19.0,180.0,249.0,173.0,182.0,130.0,162.0,746.0,1079.0,636.0,1038.0,3149.0,2054.0,192.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,59.0,33.0,33.0,20.0,49.0,233.0,252.0,146.0,294.0,2133.0,5426.0,1286.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,12.0,29.0,7.0,19.0,262.0,1200.0,8461.0
