Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,Mainz,1. FC Union Berlin,FC Augsburg,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9997.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9985.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,6169.0,2543.0,699.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2673.0,4099.0,1812.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,849.0,2130.0,3801.0,3219.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,298.0,1227.0,3684.0,4777.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,11.0,6163.0,2924.0,554.0,159.0,127.0,41.0,15.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2634.0,4498.0,1560.0,577.0,465.0,164.0,91.0,4.0,7.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,855.0,1720.0,3326.0,1689.0,1200.0,606.0,460.0,55.0,88.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,261.0,588.0,2234.0,2278.0,1995.0,1153.0,982.0,163.0,316.0,30.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,60.0,194.0,1217.0,2085.0,2013.0,1972.0,1252.0,414.0,715.0,76.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,59.0,670.0,1461.0,1632.0,2185.0,1757.0,818.0,1225.0,175.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,268.0,997.0,1344.0,1788.0,1989.0,1330.0,1750.0,495.0,26.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,136.0,564.0,825.0,1258.0,1895.0,2045.0,2197.0,1001.0,77.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,164.0,339.0,670.0,1138.0,3301.0,2067.0,2009.0,280.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,60.0,161.0,386.0,1736.0,1461.0,4913.0,1227.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,35.0,132.0,170.0,1272.0,7836.0,552.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,548.0,9420.0
