Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Athletic Club,Girona,Rayo Vallecano,Valencia,Alavés,Mallorca,Sevilla,Elche,Levante,Real Oviedo
9635.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365.0,9608.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,26.0,5807.0,4166.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,4168.0,5807.0,11.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,21.0,4925.0,3273.0,1176.0,452.0,101.0,17.0,10.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2811.0,3760.0,1814.0,1006.0,328.0,96.0,63.0,61.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1425.0,1858.0,2941.0,1968.0,914.0,305.0,180.0,175.0,156.0,69.0,5.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,568.0,717.0,1925.0,2558.0,1753.0,715.0,575.0,491.0,452.0,194.0,30.0,18.0,3.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,175.0,263.0,1021.0,1865.0,2055.0,1311.0,1068.0,841.0,883.0,390.0,60.0,52.0,9.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,63.0,88.0,530.0,1000.0,1652.0,1593.0,1415.0,1245.0,1314.0,717.0,164.0,157.0,31.0,31.0,0.0,0.0
0.0,0.0,0.0,0.0,15.0,22.0,307.0,598.0,1205.0,1671.0,1635.0,1480.0,1385.0,957.0,325.0,251.0,68.0,78.0,3.0,0.0
0.0,0.0,0.0,0.0,6.0,5.0,169.0,321.0,894.0,1432.0,1658.0,1499.0,1495.0,1283.0,511.0,446.0,113.0,166.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,75.0,145.0,588.0,1238.0,1413.0,1512.0,1400.0,1488.0,857.0,704.0,260.0,308.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,28.0,61.0,310.0,906.0,979.0,1202.0,1244.0,1695.0,1343.0,1112.0,498.0,585.0,34.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,121.0,457.0,617.0,804.0,847.0,1392.0,1911.0,1605.0,920.0,1165.0,119.0,12.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,61.0,177.0,284.0,436.0,489.0,1012.0,1941.0,2004.0,1685.0,1593.0,259.0,51.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,68.0,86.0,187.0,217.0,515.0,1540.0,1881.0,2546.0,2243.0,606.0,98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,16.0,55.0,55.0,249.0,1063.0,1356.0,2780.0,2574.0,1454.0,379.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,30.0,231.0,357.0,987.0,1013.0,5578.0,1800.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,54.0,99.0,236.0,1934.0,7658.0
