Paris Saint-Germain,Lens,Lille,Marseille,AS Monaco,Lyon,Stade Rennais,Strasbourg,Lorient,Toulouse,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9813.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.0,9629.0,57.0,102.0,15.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,158.0,2762.0,4854.0,1248.0,575.0,384.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,25.0,3121.0,2685.0,1882.0,1290.0,876.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1985.0,1322.0,2419.0,2273.0,1638.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1278.0,699.0,2297.0,2477.0,2500.0,747.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,640.0,285.0,1562.0,2606.0,3025.0,1839.0,26.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,157.0,52.0,570.0,743.0,1555.0,6065.0,421.0,357.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,7.0,28.0,19.0,637.0,4284.0,3625.0,1204.0,63.0,129.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,184.0,3405.0,3366.0,2388.0,236.0,391.0,25.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1566.0,2056.0,4227.0,876.0,1140.0,104.0,8.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,252.0,475.0,1475.0,2923.0,3908.0,705.0,242.0,17.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,101.0,552.0,3808.0,3011.0,1643.0,743.0,105.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,71.0,1686.0,1166.0,3979.0,2520.0,560.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,381.0,250.0,2899.0,4083.0,2329.0,51.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,635.0,2329.0,6451.0,522.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,70.0,527.0,8057.0,1339.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1364.0,8624.0
