Marseille,Lens,Lille,Lyon,AS Monaco,Brest,Le Mans,Paris Saint-Germain,Stade Rennais,Lorient,Nice,Paris FC,Troyes,Le Havre AC,Toulouse,Angers,AJ Auxerre,Strasbourg
403.0,2822.0,359.0,195.0,57.0,0.0,53.0,6046.0,32.0,2.0,0.0,1.0,18.0,0.0,3.0,0.0,0.0,9.0
1171.0,3833.0,1075.0,692.0,196.0,1.0,88.0,2597.0,191.0,16.0,0.0,16.0,42.0,0.0,6.0,0.0,1.0,75.0
2092.0,1720.0,2091.0,1406.0,542.0,4.0,159.0,857.0,618.0,103.0,0.0,78.0,93.0,1.0,27.0,0.0,11.0,198.0
1977.0,817.0,2004.0,1773.0,903.0,19.0,162.0,334.0,969.0,209.0,1.0,196.0,122.0,8.0,77.0,0.0,18.0,411.0
1461.0,441.0,1538.0,1803.0,1244.0,41.0,188.0,112.0,1314.0,376.0,2.0,390.0,135.0,11.0,169.0,1.0,53.0,721.0
1088.0,192.0,1138.0,1382.0,1516.0,92.0,245.0,35.0,1496.0,596.0,6.0,654.0,165.0,29.0,332.0,2.0,103.0,929.0
737.0,83.0,694.0,1012.0,1481.0,202.0,285.0,13.0,1459.0,900.0,11.0,882.0,220.0,79.0,527.0,3.0,210.0,1202.0
447.0,56.0,490.0,713.0,1248.0,314.0,384.0,5.0,1197.0,1185.0,31.0,1083.0,287.0,116.0,782.0,8.0,339.0,1315.0
283.0,16.0,307.0,445.0,990.0,536.0,380.0,1.0,950.0,1317.0,70.0,1240.0,333.0,271.0,1016.0,25.0,516.0,1304.0
171.0,10.0,146.0,273.0,696.0,738.0,483.0,0.0,717.0,1301.0,137.0,1358.0,385.0,442.0,1234.0,67.0,717.0,1125.0
102.0,7.0,87.0,152.0,494.0,1036.0,498.0,0.0,456.0,1169.0,239.0,1253.0,470.0,695.0,1362.0,113.0,965.0,902.0
47.0,1.0,46.0,91.0,301.0,1322.0,552.0,0.0,254.0,996.0,419.0,954.0,570.0,1044.0,1236.0,241.0,1248.0,678.0
12.0,1.0,16.0,41.0,170.0,1444.0,653.0,0.0,154.0,750.0,693.0,775.0,670.0,1267.0,1064.0,450.0,1324.0,516.0
9.0,0.0,6.0,13.0,92.0,1394.0,691.0,0.0,112.0,511.0,1068.0,532.0,744.0,1529.0,898.0,675.0,1430.0,296.0
0.0,0.0,2.0,7.0,48.0,1202.0,829.0,0.0,52.0,311.0,1515.0,305.0,864.0,1610.0,634.0,1210.0,1230.0,181.0
0.0,1.0,1.0,2.0,17.0,909.0,931.0,0.0,23.0,171.0,2002.0,194.0,1084.0,1359.0,374.0,1890.0,942.0,100.0
0.0,0.0,0.0,0.0,4.0,508.0,1240.0,0.0,4.0,63.0,2216.0,73.0,1423.0,1031.0,193.0,2615.0,600.0,30.0
0.0,0.0,0.0,0.0,1.0,238.0,2179.0,0.0,2.0,24.0,1590.0,16.0,2375.0,508.0,66.0,2700.0,293.0,8.0
