AZ Alkmaar,Go Ahead Eagles,PSV Eindhoven,Feyenoord Rotterdam,FC Groningen,Ajax Amsterdam,Sparta Rotterdam,Fortuna Sittard,Heerenveen,Excelsior,NEC Nijmegen,FC Twente,Telstar,PEC Zwolle,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
388.0,63.0,7796.0,726.0,25.0,447.0,0.0,0.0,9.0,0.0,245.0,296.0,2.0,0.0,1.0,1.0,1.0,0.0
1349.0,280.0,1428.0,2722.0,155.0,1764.0,0.0,1.0,57.0,13.0,1058.0,1101.0,13.0,0.0,48.0,5.0,3.0,3.0
1603.0,531.0,478.0,2041.0,310.0,1819.0,2.0,4.0,142.0,29.0,1354.0,1528.0,36.0,0.0,112.0,8.0,2.0,1.0
1575.0,751.0,176.0,1532.0,500.0,1643.0,3.0,10.0,260.0,97.0,1525.0,1575.0,77.0,0.0,252.0,13.0,5.0,6.0
1478.0,986.0,75.0,1122.0,729.0,1415.0,10.0,27.0,422.0,178.0,1453.0,1515.0,164.0,0.0,390.0,14.0,16.0,6.0
1222.0,1239.0,30.0,787.0,1020.0,1058.0,20.0,55.0,710.0,323.0,1331.0,1278.0,294.0,4.0,583.0,20.0,14.0,12.0
913.0,1343.0,11.0,495.0,1298.0,765.0,36.0,138.0,973.0,498.0,1101.0,983.0,509.0,11.0,853.0,22.0,35.0,16.0
639.0,1380.0,5.0,291.0,1428.0,481.0,91.0,237.0,1215.0,752.0,751.0,725.0,773.0,19.0,1085.0,57.0,36.0,35.0
404.0,1112.0,1.0,157.0,1351.0,304.0,176.0,399.0,1462.0,1052.0,509.0,444.0,1047.0,51.0,1367.0,69.0,50.0,45.0
241.0,915.0,0.0,66.0,1131.0,155.0,366.0,668.0,1390.0,1288.0,336.0,272.0,1289.0,112.0,1526.0,100.0,87.0,58.0
115.0,644.0,0.0,36.0,912.0,94.0,645.0,1006.0,1236.0,1541.0,200.0,147.0,1477.0,268.0,1358.0,125.0,99.0,97.0
50.0,409.0,0.0,20.0,563.0,31.0,1117.0,1477.0,971.0,1520.0,95.0,87.0,1539.0,541.0,1060.0,193.0,178.0,149.0
14.0,222.0,0.0,5.0,343.0,15.0,1722.0,1945.0,647.0,1218.0,32.0,36.0,1326.0,967.0,731.0,310.0,258.0,209.0
6.0,92.0,0.0,0.0,160.0,6.0,2388.0,1900.0,323.0,862.0,10.0,10.0,835.0,1779.0,391.0,468.0,423.0,347.0
3.0,27.0,0.0,0.0,55.0,1.0,1986.0,1344.0,143.0,458.0,0.0,2.0,404.0,3120.0,182.0,791.0,774.0,710.0
0.0,6.0,0.0,0.0,18.0,1.0,1079.0,607.0,31.0,149.0,0.0,1.0,178.0,2149.0,48.0,1979.0,1988.0,1766.0
0.0,0.0,0.0,0.0,2.0,1.0,319.0,157.0,9.0,19.0,0.0,0.0,34.0,834.0,12.0,2868.0,2890.0,2855.0
0.0,0.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,3.0,0.0,0.0,3.0,145.0,1.0,2957.0,3141.0,3685.0
