Brighton & Hove Albion,Arsenal,Brentford,Everton,Hull City,Chelsea,Ipswich Town,Manchester City,Leeds United,Liverpool,Newcastle United,Fulham,AFC Bournemouth,Sunderland,Nottingham Forest,Crystal Palace,Manchester United,Coventry City,Tottenham Hotspur,Aston Villa
45.0,6634.0,7.0,1.0,109.0,3.0,60.0,3056.0,1.0,20.0,0.0,0.0,9.0,0.0,0.0,0.0,50.0,4.0,0.0,1.0
290.0,2863.0,143.0,30.0,222.0,64.0,154.0,5599.0,10.0,122.0,13.0,3.0,40.0,1.0,17.0,0.0,399.0,18.0,0.0,12.0
1861.0,410.0,937.0,244.0,533.0,573.0,412.0,938.0,163.0,913.0,118.0,52.0,463.0,18.0,134.0,0.0,1978.0,62.0,6.0,185.0
1624.0,66.0,1157.0,392.0,420.0,782.0,342.0,255.0,363.0,1172.0,231.0,100.0,625.0,39.0,226.0,9.0,1793.0,59.0,11.0,334.0
1362.0,20.0,1152.0,540.0,399.0,857.0,304.0,89.0,480.0,1128.0,351.0,160.0,752.0,76.0,374.0,18.0,1411.0,65.0,21.0,441.0
1121.0,4.0,1123.0,626.0,371.0,978.0,296.0,37.0,580.0,1059.0,420.0,210.0,801.0,122.0,480.0,27.0,1060.0,68.0,43.0,574.0
890.0,1.0,973.0,763.0,370.0,926.0,284.0,13.0,684.0,1009.0,492.0,285.0,872.0,168.0,574.0,45.0,818.0,79.0,65.0,689.0
707.0,1.0,891.0,805.0,356.0,890.0,282.0,7.0,769.0,932.0,638.0,386.0,842.0,226.0,640.0,78.0,625.0,95.0,96.0,734.0
560.0,1.0,808.0,863.0,350.0,923.0,311.0,4.0,783.0,782.0,697.0,476.0,868.0,275.0,678.0,100.0,516.0,102.0,137.0,766.0
453.0,0.0,661.0,891.0,342.0,826.0,311.0,1.0,833.0,658.0,803.0,588.0,820.0,418.0,775.0,150.0,384.0,105.0,194.0,787.0
340.0,0.0,508.0,798.0,380.0,732.0,297.0,1.0,914.0,565.0,876.0,662.0,832.0,504.0,849.0,220.0,328.0,110.0,261.0,823.0
240.0,0.0,488.0,827.0,386.0,606.0,378.0,0.0,870.0,463.0,854.0,811.0,708.0,673.0,851.0,306.0,204.0,160.0,335.0,840.0
185.0,0.0,363.0,746.0,436.0,568.0,364.0,0.0,810.0,368.0,901.0,918.0,619.0,789.0,834.0,429.0,182.0,170.0,487.0,831.0
134.0,0.0,279.0,713.0,481.0,444.0,459.0,0.0,770.0,285.0,839.0,1032.0,535.0,912.0,850.0,571.0,89.0,220.0,635.0,752.0
78.0,0.0,189.0,596.0,519.0,313.0,479.0,0.0,622.0,228.0,822.0,1000.0,442.0,1115.0,824.0,872.0,73.0,254.0,870.0,704.0
59.0,0.0,150.0,479.0,549.0,247.0,581.0,0.0,561.0,147.0,722.0,1055.0,301.0,1209.0,726.0,1086.0,54.0,361.0,1147.0,566.0
31.0,0.0,91.0,349.0,658.0,162.0,725.0,0.0,384.0,81.0,556.0,930.0,250.0,1265.0,562.0,1519.0,22.0,467.0,1490.0,458.0
15.0,0.0,51.0,216.0,892.0,78.0,926.0,0.0,247.0,51.0,385.0,736.0,142.0,1120.0,376.0,1945.0,12.0,704.0,1797.0,307.0
4.0,0.0,24.0,102.0,1257.0,22.0,1563.0,0.0,119.0,15.0,219.0,450.0,71.0,781.0,185.0,1806.0,2.0,1586.0,1648.0,146.0
1.0,0.0,5.0,19.0,970.0,6.0,1472.0,0.0,37.0,2.0,63.0,146.0,8.0,289.0,45.0,819.0,0.0,5311.0,757.0,50.0
