Millwall,West Bromwich Albion,Charlton Athletic,Wolverhampton Wanderers,Queens Park Rangers,Blackburn Rovers,Watford,Swansea City,Bolton Wanderers,Portsmouth,Middlesbrough,Cardiff City,Wrexham,Birmingham City,Sheffield United,West Ham United,Derby County,Burnley,Bristol City,Lincoln City,Preston North End,Stoke City,Norwich City,Southampton
1630.0,30.0,2.0,3149.0,5.0,0.0,1.0,34.0,123.0,0.0,680.0,95.0,28.0,17.0,33.0,1606.0,57.0,1349.0,3.0,28.0,0.0,0.0,44.0,1086.0
2316.0,106.0,25.0,1356.0,18.0,10.0,2.0,135.0,160.0,8.0,1297.0,119.0,108.0,77.0,136.0,1082.0,181.0,976.0,15.0,45.0,0.0,3.0,113.0,1712.0
1965.0,186.0,41.0,909.0,53.0,24.0,16.0,242.0,173.0,14.0,1527.0,142.0,238.0,146.0,253.0,811.0,359.0,730.0,37.0,58.0,6.0,4.0,208.0,1858.0
1394.0,321.0,105.0,656.0,105.0,44.0,43.0,445.0,177.0,34.0,1514.0,147.0,367.0,267.0,397.0,689.0,512.0,638.0,125.0,66.0,13.0,9.0,388.0,1544.0
926.0,472.0,138.0,491.0,163.0,90.0,78.0,567.0,213.0,55.0,1313.0,177.0,547.0,437.0,551.0,576.0,647.0,569.0,164.0,83.0,28.0,30.0,514.0,1171.0
628.0,568.0,247.0,410.0,250.0,164.0,128.0,694.0,207.0,89.0,955.0,175.0,659.0,541.0,678.0,472.0,840.0,479.0,233.0,89.0,45.0,35.0,628.0,786.0
399.0,707.0,328.0,359.0,307.0,214.0,176.0,729.0,200.0,126.0,781.0,163.0,704.0,621.0,710.0,397.0,794.0,426.0,317.0,87.0,70.0,75.0,736.0,574.0
245.0,705.0,381.0,295.0,348.0,291.0,227.0,813.0,220.0,197.0,525.0,189.0,759.0,637.0,785.0,368.0,837.0,363.0,396.0,89.0,78.0,94.0,780.0,378.0
173.0,758.0,455.0,258.0,469.0,337.0,299.0,739.0,208.0,226.0,426.0,180.0,792.0,712.0,748.0,290.0,765.0,348.0,463.0,102.0,122.0,129.0,746.0,255.0
111.0,736.0,527.0,217.0,490.0,414.0,336.0,752.0,210.0,266.0,273.0,197.0,738.0,724.0,785.0,306.0,760.0,306.0,506.0,107.0,189.0,168.0,703.0,179.0
78.0,764.0,579.0,170.0,558.0,462.0,364.0,708.0,199.0,345.0,218.0,202.0,664.0,719.0,688.0,282.0,673.0,317.0,592.0,119.0,194.0,232.0,737.0,136.0
45.0,661.0,634.0,176.0,629.0,518.0,500.0,707.0,246.0,366.0,165.0,192.0,653.0,725.0,635.0,278.0,601.0,251.0,630.0,125.0,244.0,265.0,658.0,96.0
30.0,643.0,653.0,167.0,615.0,582.0,523.0,581.0,237.0,448.0,101.0,218.0,600.0,697.0,664.0,273.0,561.0,282.0,673.0,143.0,364.0,292.0,576.0,77.0
19.0,616.0,711.0,149.0,700.0,619.0,591.0,536.0,261.0,546.0,60.0,243.0,560.0,627.0,541.0,238.0,492.0,238.0,706.0,160.0,377.0,381.0,575.0,54.0
15.0,535.0,695.0,152.0,699.0,675.0,675.0,528.0,264.0,592.0,46.0,259.0,549.0,574.0,506.0,232.0,429.0,222.0,701.0,149.0,476.0,478.0,515.0,34.0
12.0,491.0,720.0,119.0,719.0,727.0,747.0,444.0,281.0,655.0,44.0,231.0,456.0,553.0,443.0,212.0,371.0,228.0,692.0,186.0,623.0,561.0,467.0,18.0
6.0,461.0,673.0,148.0,711.0,748.0,768.0,348.0,357.0,739.0,27.0,293.0,409.0,465.0,393.0,211.0,305.0,249.0,702.0,231.0,671.0,677.0,392.0,16.0
3.0,344.0,666.0,117.0,690.0,824.0,850.0,294.0,323.0,847.0,18.0,339.0,349.0,431.0,326.0,196.0,274.0,220.0,661.0,257.0,835.0,791.0,332.0,13.0
3.0,282.0,658.0,125.0,673.0,765.0,854.0,246.0,430.0,917.0,14.0,402.0,296.0,351.0,246.0,213.0,194.0,250.0,597.0,313.0,927.0,934.0,307.0,3.0
0.0,234.0,585.0,137.0,615.0,821.0,823.0,192.0,522.0,980.0,6.0,484.0,188.0,254.0,209.0,207.0,153.0,267.0,564.0,367.0,1099.0,1061.0,227.0,5.0
2.0,198.0,498.0,115.0,512.0,686.0,769.0,137.0,676.0,979.0,6.0,580.0,179.0,205.0,146.0,277.0,107.0,300.0,495.0,538.0,1217.0,1196.0,177.0,5.0
0.0,110.0,398.0,155.0,391.0,564.0,691.0,78.0,1012.0,857.0,4.0,966.0,99.0,145.0,85.0,298.0,60.0,348.0,434.0,827.0,1138.0,1221.0,119.0,0.0
0.0,53.0,212.0,111.0,216.0,320.0,422.0,41.0,1589.0,541.0,0.0,1730.0,45.0,55.0,31.0,282.0,26.0,393.0,228.0,1757.0,917.0,987.0,44.0,0.0
0.0,19.0,69.0,59.0,64.0,101.0,117.0,10.0,1712.0,173.0,0.0,2277.0,13.0,20.0,11.0,204.0,2.0,251.0,66.0,4074.0,367.0,377.0,14.0,0.0
