FC Porto,Sporting CP,Maritimo,Santa Clara,Arouca,Gil Vicente,Benfica,C.D. Nacional,Vitória de Guimaraes,Rio Ave,Estrela,Académico de Viseu,Braga,FC Famalicao,Moreirense,Estoril,Alverca,Casa Pia
4379.0,3202.0,4.0,0.0,0.0,1.0,2393.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0
3191.0,3538.0,13.0,0.0,0.0,8.0,3132.0,0.0,0.0,0.0,0.0,2.0,115.0,1.0,0.0,0.0,0.0,0.0
2245.0,3006.0,72.0,3.0,2.0,72.0,3975.0,1.0,0.0,0.0,0.0,14.0,600.0,10.0,0.0,0.0,0.0,0.0
175.0,232.0,484.0,190.0,216.0,1727.0,442.0,83.0,10.0,2.0,5.0,179.0,5813.0,430.0,2.0,10.0,0.0,0.0
10.0,18.0,705.0,662.0,816.0,3286.0,50.0,341.0,89.0,10.0,49.0,310.0,2169.0,1355.0,9.0,109.0,12.0,0.0
0.0,4.0,800.0,1213.0,1384.0,2010.0,7.0,717.0,243.0,41.0,136.0,363.0,772.0,2013.0,40.0,219.0,38.0,0.0
0.0,0.0,784.0,1516.0,1519.0,1224.0,1.0,1012.0,398.0,127.0,276.0,440.0,299.0,1768.0,143.0,406.0,85.0,2.0
0.0,0.0,722.0,1518.0,1500.0,722.0,0.0,1243.0,640.0,204.0,403.0,454.0,122.0,1437.0,242.0,608.0,183.0,2.0
0.0,0.0,741.0,1348.0,1214.0,428.0,0.0,1334.0,885.0,322.0,700.0,482.0,53.0,1000.0,366.0,824.0,299.0,4.0
0.0,0.0,658.0,1090.0,1061.0,230.0,0.0,1344.0,1011.0,506.0,886.0,530.0,21.0,753.0,506.0,998.0,394.0,12.0
0.0,0.0,605.0,830.0,782.0,142.0,0.0,1160.0,1190.0,671.0,1094.0,585.0,10.0,493.0,718.0,1127.0,568.0,25.0
0.0,0.0,647.0,629.0,573.0,72.0,0.0,921.0,1292.0,880.0,1099.0,603.0,3.0,336.0,874.0,1223.0,790.0,58.0
0.0,0.0,623.0,456.0,373.0,39.0,0.0,681.0,1225.0,1141.0,1237.0,639.0,3.0,190.0,1091.0,1213.0,985.0,104.0
0.0,0.0,616.0,279.0,279.0,22.0,0.0,505.0,1013.0,1387.0,1159.0,691.0,0.0,105.0,1312.0,1085.0,1311.0,236.0
0.0,0.0,615.0,146.0,153.0,12.0,0.0,347.0,876.0,1541.0,1110.0,820.0,0.0,67.0,1454.0,929.0,1475.0,455.0
0.0,0.0,709.0,86.0,93.0,5.0,0.0,186.0,656.0,1544.0,959.0,962.0,0.0,29.0,1481.0,693.0,1686.0,911.0
0.0,0.0,721.0,31.0,28.0,0.0,0.0,99.0,365.0,1184.0,668.0,1451.0,0.0,11.0,1267.0,455.0,1534.0,2186.0
0.0,0.0,481.0,3.0,7.0,0.0,0.0,26.0,107.0,440.0,219.0,1474.0,0.0,2.0,495.0,101.0,640.0,6005.0
