AS Roma,Internazionale,Lecce,Napoli,AC Milan,Atalanta,Cagliari,Juventus,Lazio,Como,Udinese,Sassuolo,Torino,Bologna,Frosinone,Parma,Genoa,Venezia,Monza,Fiorentina
1369.0,6636.0,0.0,254.0,53.0,62.0,0.0,492.0,1.0,1129.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2629.0,1983.0,0.0,954.0,236.0,264.0,0.0,1397.0,7.0,2515.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0
2339.0,862.0,0.0,1427.0,561.0,553.0,1.0,1815.0,36.0,2358.0,15.0,2.0,0.0,13.0,5.0,0.0,1.0,8.0,4.0,0.0
1600.0,334.0,0.0,1971.0,984.0,997.0,2.0,2067.0,99.0,1808.0,54.0,12.0,1.0,32.0,16.0,0.0,2.0,9.0,11.0,1.0
1104.0,129.0,4.0,2131.0,1498.0,1573.0,20.0,1825.0,251.0,1123.0,152.0,36.0,5.0,102.0,19.0,0.0,7.0,4.0,12.0,5.0
576.0,43.0,10.0,1607.0,2186.0,2088.0,66.0,1284.0,557.0,663.0,377.0,129.0,10.0,230.0,40.0,0.0,40.0,25.0,27.0,42.0
263.0,13.0,45.0,991.0,2052.0,2182.0,204.0,693.0,1128.0,282.0,783.0,361.0,39.0,558.0,84.0,8.0,91.0,49.0,74.0,100.0
78.0,0.0,98.0,382.0,1156.0,1167.0,524.0,263.0,1911.0,82.0,1522.0,720.0,142.0,1065.0,140.0,33.0,242.0,79.0,102.0,294.0
27.0,0.0,249.0,156.0,637.0,570.0,803.0,103.0,1670.0,23.0,1605.0,1005.0,251.0,1464.0,159.0,51.0,460.0,122.0,133.0,512.0
8.0,0.0,394.0,78.0,319.0,275.0,1002.0,37.0,1352.0,8.0,1395.0,1223.0,435.0,1534.0,194.0,126.0,692.0,144.0,140.0,644.0
5.0,0.0,569.0,30.0,158.0,151.0,1170.0,18.0,1020.0,8.0,1214.0,1286.0,581.0,1228.0,259.0,214.0,897.0,144.0,149.0,899.0
1.0,0.0,787.0,9.0,85.0,69.0,1186.0,4.0,723.0,1.0,882.0,1270.0,801.0,1063.0,260.0,364.0,1029.0,194.0,214.0,1058.0
1.0,0.0,921.0,6.0,44.0,23.0,1217.0,2.0,480.0,0.0,711.0,1087.0,1068.0,866.0,334.0,487.0,1174.0,215.0,252.0,1112.0
0.0,0.0,1138.0,2.0,15.0,22.0,1068.0,0.0,317.0,0.0,508.0,975.0,1187.0,692.0,407.0,740.0,1214.0,255.0,307.0,1153.0
0.0,0.0,1310.0,2.0,10.0,2.0,898.0,0.0,210.0,0.0,361.0,719.0,1270.0,494.0,480.0,1069.0,1173.0,384.0,369.0,1249.0
0.0,0.0,1438.0,0.0,5.0,1.0,764.0,0.0,135.0,0.0,235.0,550.0,1403.0,318.0,603.0,1398.0,1115.0,487.0,490.0,1058.0
0.0,0.0,1388.0,0.0,1.0,1.0,584.0,0.0,70.0,0.0,111.0,336.0,1272.0,194.0,899.0,1923.0,882.0,679.0,746.0,914.0
0.0,0.0,1049.0,0.0,0.0,0.0,335.0,0.0,24.0,0.0,51.0,205.0,925.0,114.0,1486.0,1980.0,622.0,1366.0,1244.0,599.0
0.0,0.0,485.0,0.0,0.0,0.0,124.0,0.0,7.0,0.0,16.0,76.0,494.0,27.0,2262.0,1219.0,280.0,2450.0,2272.0,288.0
0.0,0.0,115.0,0.0,0.0,0.0,32.0,0.0,2.0,0.0,1.0,7.0,116.0,5.0,2349.0,388.0,79.0,3383.0,3451.0,72.0
