Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
4096.0,4371.0,424.0,171.0,124.0,48.0,31.0,35.0,118.0,297.0,12.0,99.0,109.0,25.0,12.0,4.0,11.0,0.0,11.0,2.0
3029.0,3146.0,467.0,494.0,406.0,221.0,136.0,138.0,375.0,801.0,40.0,128.0,305.0,138.0,68.0,20.0,16.0,10.0,59.0,3.0
1319.0,1186.0,609.0,977.0,865.0,466.0,371.0,345.0,786.0,1324.0,116.0,173.0,637.0,314.0,179.0,80.0,24.0,11.0,191.0,27.0
653.0,554.0,491.0,1046.0,964.0,646.0,471.0,432.0,909.0,1419.0,199.0,164.0,751.0,497.0,303.0,119.0,29.0,28.0,284.0,41.0
373.0,305.0,417.0,1084.0,955.0,732.0,598.0,570.0,984.0,1123.0,266.0,164.0,810.0,561.0,361.0,143.0,56.0,69.0,353.0,76.0
196.0,190.0,411.0,942.0,932.0,761.0,662.0,629.0,876.0,991.0,366.0,163.0,919.0,616.0,463.0,203.0,42.0,104.0,419.0,115.0
128.0,95.0,398.0,885.0,798.0,810.0,721.0,676.0,848.0,773.0,424.0,189.0,849.0,715.0,558.0,294.0,40.0,137.0,507.0,155.0
81.0,62.0,366.0,764.0,796.0,754.0,733.0,764.0,802.0,674.0,500.0,186.0,777.0,727.0,603.0,355.0,45.0,172.0,631.0,208.0
50.0,47.0,344.0,713.0,711.0,830.0,768.0,731.0,696.0,611.0,549.0,179.0,732.0,729.0,640.0,450.0,51.0,243.0,674.0,252.0
30.0,13.0,376.0,593.0,666.0,766.0,776.0,710.0,711.0,481.0,629.0,208.0,755.0,759.0,717.0,464.0,61.0,280.0,673.0,332.0
19.0,13.0,399.0,534.0,562.0,696.0,747.0,782.0,634.0,381.0,702.0,209.0,642.0,784.0,776.0,606.0,80.0,335.0,689.0,410.0
13.0,8.0,408.0,446.0,507.0,627.0,777.0,743.0,545.0,290.0,712.0,260.0,588.0,786.0,764.0,729.0,87.0,484.0,750.0,476.0
8.0,4.0,404.0,371.0,454.0,645.0,670.0,738.0,449.0,248.0,889.0,262.0,522.0,670.0,806.0,751.0,104.0,563.0,858.0,584.0
3.0,2.0,434.0,301.0,375.0,532.0,645.0,663.0,386.0,204.0,906.0,323.0,460.0,649.0,831.0,892.0,152.0,725.0,774.0,743.0
1.0,1.0,451.0,249.0,311.0,445.0,587.0,633.0,300.0,151.0,917.0,406.0,392.0,618.0,745.0,972.0,206.0,944.0,777.0,894.0
0.0,1.0,523.0,183.0,255.0,404.0,502.0,523.0,245.0,109.0,865.0,501.0,311.0,550.0,667.0,1094.0,255.0,1092.0,799.0,1121.0
0.0,2.0,618.0,131.0,157.0,325.0,378.0,418.0,171.0,67.0,813.0,655.0,209.0,401.0,687.0,1079.0,410.0,1450.0,675.0,1354.0
1.0,0.0,880.0,77.0,108.0,191.0,261.0,308.0,119.0,41.0,667.0,1024.0,138.0,309.0,506.0,990.0,663.0,1618.0,502.0,1597.0
0.0,0.0,1043.0,31.0,46.0,81.0,137.0,128.0,36.0,14.0,352.0,2365.0,77.0,122.0,264.0,590.0,1891.0,1308.0,302.0,1213.0
0.0,0.0,537.0,8.0,8.0,20.0,29.0,34.0,10.0,1.0,76.0,2342.0,17.0,30.0,50.0,165.0,5777.0,427.0,72.0,397.0
