AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
771.0,174.0,843.0,612.0,353.0,250.0,2011.0,542.0,4.0,149.0,9.0,4100.0,133.0,21.0,5.0,19.0,0.0,4.0
1046.0,362.0,1226.0,913.0,639.0,231.0,1931.0,827.0,16.0,346.0,30.0,2108.0,129.0,88.0,32.0,60.0,2.0,14.0
1133.0,499.0,1304.0,1044.0,856.0,228.0,1409.0,1038.0,38.0,547.0,62.0,1342.0,127.0,146.0,33.0,152.0,9.0,33.0
1192.0,636.0,1213.0,1059.0,945.0,245.0,1219.0,1075.0,68.0,686.0,105.0,832.0,138.0,216.0,83.0,216.0,19.0,53.0
1078.0,779.0,1098.0,1054.0,987.0,248.0,982.0,1051.0,96.0,772.0,171.0,568.0,168.0,331.0,123.0,351.0,37.0,106.0
992.0,856.0,966.0,1026.0,1007.0,267.0,752.0,1081.0,138.0,849.0,262.0,411.0,162.0,403.0,187.0,459.0,43.0,139.0
882.0,981.0,798.0,954.0,1020.0,311.0,518.0,978.0,225.0,942.0,343.0,253.0,202.0,507.0,271.0,522.0,79.0,214.0
736.0,967.0,723.0,845.0,933.0,341.0,420.0,827.0,328.0,918.0,476.0,146.0,214.0,674.0,366.0,696.0,117.0,273.0
610.0,967.0,540.0,698.0,787.0,392.0,259.0,700.0,463.0,946.0,597.0,103.0,249.0,828.0,503.0,770.0,190.0,398.0
461.0,861.0,405.0,566.0,653.0,428.0,176.0,583.0,610.0,881.0,741.0,64.0,256.0,916.0,642.0,884.0,314.0,559.0
357.0,760.0,314.0,389.0,567.0,472.0,139.0,413.0,738.0,760.0,853.0,38.0,328.0,998.0,828.0,962.0,409.0,675.0
242.0,640.0,225.0,322.0,452.0,495.0,86.0,322.0,924.0,649.0,1027.0,18.0,369.0,963.0,891.0,981.0,590.0,804.0
195.0,506.0,161.0,211.0,317.0,588.0,44.0,222.0,1035.0,520.0,990.0,10.0,441.0,973.0,1089.0,1051.0,708.0,939.0
125.0,434.0,82.0,139.0,214.0,629.0,28.0,150.0,1176.0,402.0,1113.0,5.0,547.0,905.0,1140.0,864.0,951.0,1096.0
93.0,295.0,55.0,84.0,135.0,733.0,18.0,112.0,1211.0,324.0,1067.0,2.0,604.0,763.0,1220.0,748.0,1331.0,1205.0
50.0,162.0,26.0,55.0,86.0,899.0,5.0,44.0,1209.0,192.0,1001.0,0.0,830.0,638.0,1152.0,618.0,1661.0,1372.0
28.0,96.0,18.0,22.0,43.0,1358.0,3.0,29.0,1134.0,88.0,781.0,0.0,1346.0,442.0,882.0,436.0,1965.0,1329.0
9.0,25.0,3.0,7.0,6.0,1885.0,0.0,6.0,587.0,29.0,372.0,0.0,3757.0,188.0,553.0,211.0,1575.0,787.0
