Swansea City,Queens Park Rangers,Charlton Athletic,Wolverhampton Wanderers,Middlesbrough,Bristol City,West Bromwich Albion,Birmingham City,Sheffield United,Millwall,Wrexham,West Ham United,Blackburn Rovers,Watford,Bolton Wanderers,Derby County,Lincoln City,Southampton,Cardiff City,Norwich City,Portsmouth,Stoke City,Burnley,Preston North End
452.0,124.0,81.0,4005.0,675.0,112.0,50.0,116.0,98.0,303.0,121.0,2530.0,10.0,7.0,74.0,76.0,47.0,911.0,89.0,82.0,3.0,2.0,32.0,0.0
905.0,267.0,206.0,1493.0,1246.0,264.0,153.0,283.0,295.0,603.0,311.0,1568.0,31.0,34.0,106.0,223.0,71.0,1534.0,124.0,200.0,21.0,20.0,38.0,4.0
1055.0,403.0,367.0,713.0,1237.0,388.0,221.0,446.0,396.0,775.0,469.0,780.0,76.0,62.0,102.0,320.0,91.0,1507.0,125.0,308.0,34.0,53.0,55.0,17.0
976.0,524.0,453.0,479.0,1094.0,500.0,304.0,519.0,513.0,795.0,553.0,581.0,114.0,107.0,94.0,434.0,76.0,1168.0,123.0,389.0,51.0,75.0,58.0,20.0
908.0,551.0,438.0,397.0,968.0,570.0,354.0,569.0,592.0,820.0,553.0,403.0,174.0,175.0,103.0,533.0,75.0,939.0,144.0,460.0,79.0,104.0,61.0,30.0
787.0,646.0,548.0,305.0,819.0,585.0,423.0,637.0,592.0,833.0,672.0,364.0,175.0,198.0,95.0,519.0,73.0,746.0,111.0,530.0,86.0,149.0,55.0,52.0
765.0,641.0,611.0,269.0,674.0,642.0,490.0,599.0,630.0,746.0,628.0,340.0,251.0,226.0,118.0,586.0,111.0,620.0,138.0,517.0,108.0,180.0,64.0,46.0
677.0,596.0,600.0,234.0,638.0,652.0,543.0,656.0,640.0,694.0,659.0,302.0,293.0,264.0,122.0,585.0,116.0,533.0,142.0,550.0,151.0,211.0,64.0,78.0
585.0,624.0,626.0,212.0,521.0,684.0,579.0,657.0,647.0,643.0,646.0,295.0,350.0,299.0,157.0,616.0,117.0,399.0,143.0,594.0,183.0,230.0,80.0,113.0
530.0,652.0,658.0,199.0,418.0,640.0,527.0,673.0,646.0,588.0,624.0,259.0,405.0,380.0,150.0,631.0,119.0,361.0,160.0,637.0,220.0,288.0,85.0,150.0
450.0,591.0,651.0,203.0,372.0,587.0,639.0,620.0,655.0,552.0,587.0,260.0,477.0,416.0,175.0,644.0,121.0,300.0,196.0,598.0,291.0,346.0,92.0,177.0
384.0,609.0,673.0,160.0,308.0,595.0,635.0,606.0,613.0,462.0,591.0,199.0,553.0,493.0,175.0,630.0,150.0,240.0,179.0,624.0,350.0,442.0,113.0,216.0
341.0,540.0,592.0,153.0,243.0,587.0,656.0,595.0,606.0,435.0,567.0,228.0,563.0,542.0,197.0,612.0,157.0,185.0,232.0,657.0,432.0,474.0,126.0,280.0
298.0,584.0,590.0,134.0,197.0,569.0,648.0,560.0,556.0,376.0,505.0,227.0,663.0,603.0,232.0,549.0,191.0,163.0,235.0,626.0,491.0,557.0,108.0,338.0
261.0,536.0,585.0,119.0,167.0,496.0,644.0,512.0,501.0,324.0,515.0,199.0,698.0,666.0,258.0,561.0,200.0,113.0,250.0,602.0,596.0,645.0,153.0,399.0
181.0,489.0,535.0,147.0,152.0,484.0,605.0,490.0,472.0,282.0,464.0,192.0,745.0,749.0,257.0,536.0,227.0,87.0,301.0,541.0,625.0,735.0,196.0,508.0
151.0,429.0,494.0,123.0,87.0,411.0,613.0,377.0,427.0,245.0,401.0,204.0,786.0,852.0,348.0,494.0,292.0,69.0,317.0,496.0,768.0,775.0,215.0,626.0
116.0,381.0,371.0,134.0,77.0,395.0,497.0,328.0,348.0,196.0,362.0,175.0,823.0,811.0,412.0,442.0,327.0,64.0,435.0,461.0,900.0,862.0,268.0,815.0
76.0,323.0,331.0,111.0,35.0,334.0,502.0,258.0,285.0,127.0,303.0,178.0,774.0,881.0,452.0,394.0,443.0,29.0,446.0,390.0,970.0,955.0,363.0,1040.0
51.0,230.0,269.0,119.0,34.0,234.0,375.0,210.0,197.0,91.0,195.0,192.0,780.0,782.0,629.0,268.0,600.0,15.0,650.0,307.0,1092.0,948.0,474.0,1258.0
33.0,146.0,178.0,86.0,26.0,141.0,283.0,152.0,150.0,66.0,161.0,187.0,659.0,720.0,897.0,191.0,896.0,16.0,856.0,227.0,1042.0,832.0,699.0,1356.0
17.0,78.0,101.0,106.0,6.0,93.0,171.0,88.0,105.0,32.0,70.0,172.0,366.0,479.0,1333.0,99.0,1368.0,1.0,1217.0,139.0,846.0,685.0,1113.0,1315.0
1.0,30.0,33.0,67.0,3.0,31.0,73.0,45.0,28.0,9.0,37.0,100.0,183.0,190.0,1807.0,45.0,1953.0,0.0,1658.0,55.0,511.0,341.0,1950.0,850.0
0.0,6.0,9.0,32.0,3.0,6.0,15.0,4.0,8.0,3.0,6.0,65.0,51.0,64.0,1707.0,12.0,2179.0,0.0,1729.0,10.0,150.0,91.0,3538.0,312.0
