Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
8135.0,30.0,9.0,276.0,1045.0,192.0,7.0,13.0,2.0,3.0,56.0,89.0,34.0,1.0,0.0,0.0,9.0,99.0
1362.0,272.0,105.0,1675.0,3722.0,471.0,63.0,143.0,38.0,80.0,152.0,767.0,258.0,16.0,6.0,32.0,32.0,806.0
336.0,508.0,246.0,2014.0,2116.0,394.0,187.0,343.0,98.0,196.0,171.0,1237.0,621.0,65.0,23.0,128.0,59.0,1258.0
112.0,691.0,404.0,1642.0,1164.0,409.0,315.0,483.0,202.0,341.0,207.0,1407.0,820.0,151.0,50.0,209.0,85.0,1308.0
30.0,852.0,501.0,1192.0,722.0,411.0,411.0,633.0,335.0,446.0,192.0,1341.0,976.0,214.0,86.0,318.0,65.0,1275.0
14.0,943.0,618.0,888.0,470.0,402.0,596.0,757.0,428.0,573.0,224.0,1154.0,927.0,279.0,142.0,405.0,101.0,1079.0
5.0,970.0,731.0,632.0,280.0,375.0,683.0,875.0,552.0,692.0,242.0,942.0,979.0,362.0,181.0,481.0,88.0,930.0
4.0,990.0,784.0,513.0,178.0,361.0,733.0,906.0,586.0,772.0,273.0,687.0,915.0,542.0,263.0,592.0,118.0,783.0
2.0,886.0,834.0,381.0,126.0,375.0,837.0,855.0,781.0,813.0,267.0,597.0,849.0,611.0,339.0,729.0,120.0,598.0
0.0,794.0,850.0,287.0,86.0,391.0,905.0,860.0,791.0,930.0,313.0,496.0,779.0,717.0,434.0,746.0,135.0,486.0
0.0,696.0,901.0,194.0,36.0,427.0,879.0,804.0,929.0,884.0,328.0,402.0,741.0,779.0,557.0,829.0,168.0,446.0
0.0,643.0,885.0,112.0,22.0,443.0,886.0,835.0,932.0,928.0,348.0,317.0,612.0,921.0,724.0,911.0,178.0,303.0
0.0,549.0,834.0,93.0,19.0,496.0,875.0,757.0,961.0,855.0,432.0,218.0,505.0,1065.0,879.0,998.0,237.0,227.0
0.0,445.0,799.0,51.0,5.0,545.0,897.0,643.0,1003.0,783.0,498.0,152.0,391.0,1113.0,1182.0,1036.0,288.0,169.0
0.0,387.0,679.0,26.0,6.0,662.0,739.0,491.0,962.0,786.0,669.0,104.0,301.0,1141.0,1473.0,1031.0,427.0,116.0
0.0,214.0,510.0,14.0,1.0,1032.0,588.0,381.0,814.0,551.0,1149.0,66.0,179.0,1063.0,1716.0,863.0,774.0,85.0
0.0,102.0,251.0,8.0,2.0,1427.0,309.0,186.0,458.0,275.0,2268.0,20.0,89.0,759.0,1411.0,543.0,1871.0,21.0
0.0,28.0,59.0,2.0,0.0,1187.0,90.0,35.0,128.0,92.0,2211.0,4.0,24.0,201.0,534.0,149.0,5245.0,11.0
