FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3844.0,4127.0,4.0,3.0,1913.0,11.0,0.0,0.0,96.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3352.0,3282.0,17.0,10.0,2904.0,71.0,0.0,4.0,349.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
2202.0,2142.0,116.0,73.0,3862.0,357.0,5.0,15.0,1128.0,5.0,16.0,2.0,0.0,75.0,0.0,1.0,1.0,0.0
465.0,367.0,892.0,525.0,970.0,1756.0,81.0,180.0,3938.0,67.0,135.0,75.0,15.0,460.0,0.0,20.0,54.0,0.0
101.0,65.0,1510.0,1033.0,241.0,2322.0,230.0,459.0,1913.0,215.0,401.0,238.0,60.0,987.0,5.0,68.0,148.0,4.0
28.0,11.0,1554.0,1247.0,68.0,1668.0,363.0,793.0,1103.0,342.0,619.0,396.0,120.0,1223.0,5.0,153.0,305.0,2.0
4.0,2.0,1357.0,1345.0,27.0,1189.0,547.0,846.0,598.0,532.0,816.0,543.0,199.0,1275.0,22.0,250.0,435.0,13.0
4.0,2.0,1114.0,1294.0,14.0,822.0,681.0,1007.0,356.0,676.0,896.0,663.0,297.0,1163.0,48.0,358.0,582.0,23.0
0.0,0.0,926.0,1064.0,1.0,599.0,783.0,1048.0,233.0,775.0,1010.0,826.0,398.0,1066.0,61.0,488.0,686.0,36.0
0.0,1.0,766.0,851.0,0.0,405.0,922.0,1071.0,119.0,882.0,998.0,915.0,535.0,972.0,122.0,556.0,802.0,83.0
0.0,0.0,540.0,705.0,0.0,301.0,1004.0,943.0,64.0,1007.0,1054.0,1039.0,691.0,793.0,159.0,690.0,890.0,120.0
0.0,0.0,435.0,601.0,0.0,223.0,1001.0,907.0,50.0,1025.0,945.0,1031.0,824.0,627.0,281.0,899.0,975.0,176.0
0.0,0.0,311.0,442.0,0.0,107.0,1081.0,775.0,27.0,1041.0,932.0,995.0,1014.0,499.0,430.0,1017.0,1043.0,286.0
0.0,1.0,214.0,332.0,0.0,82.0,996.0,733.0,17.0,1056.0,722.0,974.0,1139.0,357.0,663.0,1144.0,1092.0,478.0
0.0,0.0,130.0,243.0,0.0,51.0,900.0,535.0,6.0,919.0,593.0,946.0,1347.0,240.0,1028.0,1274.0,1062.0,726.0
0.0,0.0,73.0,151.0,0.0,25.0,720.0,390.0,3.0,759.0,487.0,683.0,1427.0,160.0,1547.0,1316.0,935.0,1324.0
0.0,0.0,36.0,59.0,0.0,8.0,479.0,213.0,0.0,486.0,282.0,470.0,1193.0,72.0,2593.0,1097.0,642.0,2370.0
0.0,0.0,5.0,22.0,0.0,3.0,207.0,81.0,0.0,210.0,93.0,203.0,741.0,23.0,3036.0,669.0,348.0,4359.0
