AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
1008.0,6812.0,505.0,839.0,27.0,3.0,344.0,12.0,402.0,23.0,13.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0
2085.0,1807.0,1413.0,1989.0,162.0,27.0,1016.0,87.0,1137.0,145.0,73.0,3.0,17.0,0.0,22.0,0.0,17.0,0.0
1853.0,694.0,1661.0,1830.0,357.0,61.0,1347.0,188.0,1487.0,223.0,157.0,15.0,32.0,2.0,19.0,0.0,74.0,0.0
1500.0,347.0,1628.0,1612.0,515.0,130.0,1412.0,315.0,1547.0,422.0,284.0,33.0,90.0,7.0,22.0,0.0,136.0,0.0
1191.0,194.0,1430.0,1237.0,752.0,256.0,1433.0,470.0,1443.0,628.0,446.0,61.0,172.0,10.0,32.0,0.0,245.0,0.0
853.0,81.0,1123.0,963.0,941.0,398.0,1276.0,749.0,1235.0,841.0,690.0,104.0,286.0,32.0,48.0,0.0,380.0,0.0
574.0,35.0,780.0,586.0,1265.0,560.0,1063.0,891.0,980.0,1101.0,873.0,171.0,418.0,66.0,64.0,1.0,572.0,0.0
387.0,18.0,572.0,399.0,1231.0,836.0,743.0,1086.0,616.0,1211.0,1037.0,326.0,584.0,119.0,107.0,2.0,726.0,0.0
217.0,9.0,351.0,232.0,1136.0,1003.0,503.0,1150.0,453.0,1165.0,1195.0,471.0,828.0,220.0,132.0,6.0,929.0,0.0
147.0,2.0,245.0,130.0,1052.0,1151.0,332.0,1164.0,278.0,1085.0,1198.0,671.0,983.0,336.0,161.0,7.0,1057.0,1.0
97.0,1.0,141.0,93.0,828.0,1195.0,247.0,1127.0,179.0,982.0,1133.0,894.0,1142.0,530.0,205.0,21.0,1184.0,1.0
48.0,0.0,76.0,52.0,681.0,1225.0,151.0,998.0,136.0,769.0,1069.0,1164.0,1209.0,790.0,277.0,47.0,1305.0,3.0
26.0,0.0,41.0,23.0,508.0,1188.0,86.0,780.0,60.0,650.0,787.0,1508.0,1385.0,1154.0,390.0,159.0,1246.0,9.0
8.0,0.0,26.0,9.0,341.0,992.0,36.0,548.0,29.0,473.0,601.0,1864.0,1354.0,1778.0,583.0,283.0,1037.0,38.0
5.0,0.0,8.0,5.0,161.0,697.0,10.0,323.0,17.0,205.0,341.0,1693.0,1007.0,2749.0,897.0,978.0,751.0,153.0
1.0,0.0,0.0,1.0,39.0,234.0,1.0,96.0,1.0,64.0,88.0,782.0,400.0,1582.0,2207.0,3223.0,285.0,996.0
0.0,0.0,0.0,0.0,4.0,43.0,0.0,15.0,0.0,13.0,14.0,222.0,87.0,549.0,2321.0,3713.0,49.0,2970.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,18.0,5.0,76.0,2505.0,1560.0,4.0,5829.0
