Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
6955.0,2691.0,148.0,5.0,8.0,0.0,33.0,57.0,0.0,44.0,1.0,0.0,1.0,0.0,55.0,0.0,2.0,0.0,0.0,0.0
2496.0,5366.0,842.0,63.0,89.0,28.0,265.0,214.0,18.0,123.0,9.0,7.0,30.0,6.0,400.0,2.0,19.0,9.0,7.0,7.0
392.0,1200.0,2867.0,435.0,523.0,156.0,1103.0,466.0,145.0,305.0,80.0,50.0,250.0,92.0,1631.0,19.0,155.0,87.0,21.0,23.0
107.0,425.0,1958.0,723.0,746.0,381.0,1352.0,467.0,243.0,289.0,188.0,117.0,439.0,163.0,1770.0,85.0,282.0,171.0,60.0,34.0
34.0,171.0,1255.0,791.0,935.0,439.0,1421.0,412.0,404.0,265.0,287.0,179.0,626.0,286.0,1476.0,159.0,437.0,295.0,94.0,34.0
10.0,59.0,911.0,910.0,996.0,623.0,1141.0,386.0,473.0,315.0,339.0,283.0,702.0,371.0,1105.0,237.0,524.0,422.0,156.0,37.0
5.0,39.0,581.0,945.0,917.0,700.0,1008.0,364.0,552.0,274.0,448.0,357.0,798.0,478.0,860.0,287.0,614.0,489.0,222.0,62.0
1.0,24.0,410.0,838.0,903.0,715.0,766.0,373.0,665.0,306.0,545.0,431.0,845.0,523.0,695.0,345.0,690.0,560.0,301.0,64.0
0.0,10.0,299.0,846.0,808.0,758.0,670.0,392.0,676.0,285.0,608.0,502.0,811.0,622.0,490.0,448.0,715.0,643.0,349.0,68.0
0.0,7.0,226.0,793.0,727.0,810.0,546.0,334.0,760.0,310.0,643.0,581.0,755.0,654.0,382.0,527.0,770.0,691.0,411.0,73.0
0.0,3.0,169.0,696.0,690.0,765.0,418.0,363.0,776.0,316.0,749.0,667.0,719.0,655.0,328.0,589.0,794.0,712.0,493.0,98.0
0.0,2.0,114.0,589.0,576.0,748.0,341.0,394.0,810.0,329.0,788.0,712.0,765.0,791.0,218.0,662.0,758.0,724.0,581.0,98.0
0.0,3.0,74.0,536.0,508.0,736.0,288.0,351.0,807.0,365.0,764.0,782.0,680.0,759.0,182.0,748.0,749.0,819.0,738.0,111.0
0.0,0.0,60.0,487.0,457.0,708.0,217.0,430.0,767.0,386.0,833.0,836.0,587.0,848.0,140.0,834.0,725.0,706.0,825.0,154.0
0.0,0.0,37.0,447.0,366.0,625.0,177.0,459.0,712.0,502.0,815.0,887.0,530.0,854.0,103.0,944.0,674.0,819.0,868.0,181.0
0.0,0.0,22.0,337.0,282.0,598.0,109.0,552.0,698.0,523.0,815.0,925.0,488.0,837.0,64.0,981.0,628.0,812.0,1097.0,232.0
0.0,0.0,17.0,271.0,222.0,503.0,72.0,660.0,604.0,684.0,782.0,973.0,394.0,752.0,55.0,1046.0,609.0,801.0,1224.0,331.0
0.0,0.0,6.0,181.0,152.0,428.0,48.0,956.0,510.0,952.0,670.0,860.0,338.0,721.0,32.0,1049.0,505.0,677.0,1300.0,615.0
0.0,0.0,4.0,90.0,79.0,227.0,23.0,1450.0,312.0,1886.0,511.0,662.0,205.0,472.0,11.0,813.0,282.0,449.0,986.0,1538.0
0.0,0.0,0.0,17.0,16.0,52.0,2.0,920.0,68.0,1541.0,125.0,189.0,37.0,116.0,3.0,225.0,68.0,114.0,267.0,6240.0
