AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
1970.0,4814.0,281.0,994.0,252.0,47.0,17.0,1206.0,168.0,213.0,6.0,0.0,1.0,1.0,3.0,1.0,0.0,18.0,7.0,1.0
2182.0,2256.0,634.0,1563.0,587.0,140.0,75.0,1755.0,184.0,529.0,23.0,12.0,3.0,1.0,20.0,3.0,0.0,24.0,7.0,2.0
1781.0,1287.0,900.0,1668.0,936.0,284.0,158.0,1736.0,221.0,828.0,75.0,18.0,1.0,6.0,53.0,7.0,1.0,25.0,7.0,8.0
1387.0,673.0,1145.0,1601.0,1118.0,486.0,273.0,1635.0,262.0,1020.0,135.0,56.0,9.0,12.0,85.0,24.0,4.0,43.0,9.0,23.0
945.0,399.0,1353.0,1267.0,1317.0,671.0,434.0,1226.0,312.0,1287.0,248.0,124.0,18.0,36.0,173.0,58.0,9.0,62.0,18.0,43.0
677.0,268.0,1258.0,989.0,1387.0,913.0,649.0,882.0,344.0,1329.0,370.0,219.0,60.0,60.0,274.0,98.0,21.0,92.0,22.0,88.0
471.0,150.0,1192.0,710.0,1240.0,1088.0,859.0,581.0,381.0,1208.0,579.0,339.0,112.0,105.0,452.0,169.0,54.0,102.0,42.0,166.0
253.0,88.0,974.0,500.0,979.0,1214.0,1087.0,399.0,458.0,1062.0,792.0,447.0,207.0,188.0,585.0,264.0,92.0,102.0,62.0,247.0
149.0,34.0,745.0,283.0,738.0,1192.0,1112.0,238.0,534.0,791.0,963.0,716.0,280.0,295.0,797.0,407.0,181.0,128.0,71.0,346.0
103.0,15.0,530.0,171.0,516.0,1035.0,1114.0,150.0,495.0,578.0,1052.0,881.0,453.0,407.0,931.0,581.0,268.0,178.0,83.0,459.0
42.0,8.0,370.0,122.0,330.0,833.0,946.0,90.0,558.0,418.0,1137.0,976.0,559.0,583.0,1022.0,688.0,399.0,184.0,110.0,625.0
24.0,5.0,256.0,62.0,255.0,671.0,916.0,46.0,545.0,299.0,984.0,1033.0,726.0,703.0,1030.0,849.0,513.0,219.0,121.0,743.0
9.0,2.0,156.0,45.0,160.0,474.0,735.0,35.0,522.0,170.0,932.0,1027.0,932.0,825.0,1019.0,979.0,654.0,244.0,187.0,893.0
4.0,1.0,95.0,15.0,87.0,349.0,528.0,12.0,561.0,108.0,779.0,978.0,1014.0,1039.0,918.0,1071.0,876.0,322.0,188.0,1055.0
2.0,0.0,55.0,5.0,50.0,257.0,442.0,4.0,599.0,74.0,693.0,903.0,1123.0,1126.0,767.0,1125.0,1014.0,367.0,272.0,1122.0
1.0,0.0,26.0,3.0,30.0,163.0,302.0,4.0,617.0,43.0,526.0,832.0,1200.0,1210.0,717.0,1061.0,1297.0,451.0,338.0,1179.0
0.0,0.0,20.0,2.0,12.0,119.0,187.0,1.0,689.0,28.0,357.0,677.0,1304.0,1233.0,533.0,1024.0,1488.0,610.0,554.0,1162.0
0.0,0.0,5.0,0.0,5.0,51.0,119.0,0.0,931.0,11.0,226.0,463.0,1174.0,1132.0,382.0,957.0,1606.0,986.0,950.0,1002.0
0.0,0.0,4.0,0.0,1.0,11.0,42.0,0.0,1016.0,3.0,101.0,237.0,666.0,807.0,185.0,495.0,1123.0,2411.0,2242.0,656.0
0.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,603.0,1.0,22.0,62.0,158.0,231.0,54.0,139.0,400.0,3432.0,4710.0,180.0
