Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
4029.0,5919.0,45.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5578.0,3834.0,488.0,68.0,7.0,22.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355.0,223.0,6202.0,1878.0,235.0,801.0,56.0,186.0,40.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,24.0,2110.0,3863.0,842.0,1843.0,201.0,686.0,235.0,23.0,28.0,110.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,0.0,708.0,2079.0,1806.0,2446.0,521.0,1270.0,630.0,74.0,94.0,350.0,1.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,289.0,1071.0,2008.0,1810.0,882.0,1735.0,990.0,225.0,236.0,649.0,12.0,43.0,33.0,13.0,3.0,1.0,0.0,0.0
0.0,0.0,110.0,546.0,1673.0,1268.0,1290.0,1685.0,1305.0,431.0,417.0,1026.0,33.0,88.0,61.0,50.0,10.0,7.0,0.0,0.0
0.0,0.0,33.0,275.0,1278.0,793.0,1458.0,1523.0,1496.0,739.0,713.0,1227.0,63.0,162.0,106.0,92.0,24.0,17.0,1.0,0.0
0.0,0.0,10.0,115.0,912.0,510.0,1568.0,1088.0,1553.0,1021.0,937.0,1369.0,121.0,306.0,201.0,200.0,57.0,32.0,0.0,0.0
0.0,0.0,4.0,58.0,560.0,263.0,1357.0,734.0,1327.0,1325.0,1284.0,1453.0,227.0,474.0,371.0,358.0,108.0,90.0,7.0,0.0
0.0,0.0,1.0,20.0,351.0,142.0,1057.0,525.0,970.0,1494.0,1469.0,1301.0,382.0,722.0,551.0,639.0,209.0,157.0,10.0,0.0
0.0,0.0,0.0,17.0,175.0,60.0,728.0,306.0,636.0,1409.0,1572.0,963.0,633.0,1060.0,951.0,844.0,310.0,310.0,26.0,0.0
0.0,0.0,0.0,4.0,97.0,22.0,424.0,152.0,391.0,1187.0,1167.0,675.0,909.0,1406.0,1198.0,1168.0,582.0,536.0,82.0,0.0
0.0,0.0,0.0,0.0,38.0,13.0,266.0,76.0,223.0,852.0,819.0,409.0,1151.0,1512.0,1458.0,1366.0,854.0,785.0,178.0,0.0
0.0,0.0,0.0,1.0,11.0,2.0,117.0,25.0,124.0,546.0,542.0,241.0,1381.0,1332.0,1443.0,1471.0,1265.0,1124.0,375.0,0.0
0.0,0.0,0.0,0.0,7.0,2.0,53.0,3.0,50.0,363.0,378.0,118.0,1492.0,1171.0,1311.0,1405.0,1592.0,1467.0,588.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,19.0,3.0,22.0,195.0,218.0,52.0,1549.0,906.0,1114.0,1130.0,1822.0,1875.0,1093.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,86.0,97.0,30.0,1376.0,577.0,811.0,866.0,1901.0,2158.0,2080.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28.0,27.0,6.0,668.0,228.0,384.0,392.0,1252.0,1426.0,5432.0,154.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,11.0,15.0,128.0,9836.0
