Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
3921.0,4385.0,476.0,150.0,105.0,71.0,51.0,42.0,146.0,339.0,12.0,98.0,112.0,46.0,12.0,7.0,4.0,0.0,22.0,1.0
3047.0,3077.0,468.0,513.0,376.0,204.0,178.0,153.0,392.0,797.0,53.0,120.0,282.0,141.0,66.0,26.0,21.0,0.0,78.0,8.0
1354.0,1207.0,581.0,932.0,750.0,460.0,411.0,342.0,796.0,1403.0,138.0,177.0,582.0,334.0,206.0,74.0,29.0,19.0,185.0,20.0
699.0,576.0,479.0,1023.0,932.0,599.0,548.0,504.0,926.0,1250.0,257.0,159.0,732.0,478.0,327.0,141.0,28.0,35.0,273.0,34.0
339.0,280.0,433.0,982.0,912.0,679.0,664.0,600.0,997.0,1086.0,323.0,151.0,834.0,558.0,443.0,209.0,25.0,58.0,371.0,56.0
238.0,166.0,426.0,951.0,896.0,760.0,726.0,593.0,942.0,907.0,408.0,147.0,785.0,637.0,477.0,256.0,48.0,111.0,426.0,100.0
141.0,118.0,336.0,852.0,843.0,757.0,729.0,660.0,873.0,858.0,454.0,178.0,821.0,691.0,537.0,326.0,46.0,129.0,518.0,133.0
99.0,80.0,351.0,810.0,800.0,782.0,780.0,704.0,784.0,687.0,515.0,148.0,800.0,724.0,637.0,402.0,53.0,150.0,529.0,165.0
66.0,46.0,350.0,676.0,745.0,755.0,725.0,763.0,719.0,557.0,606.0,187.0,802.0,757.0,677.0,444.0,54.0,204.0,645.0,222.0
47.0,25.0,351.0,637.0,667.0,738.0,733.0,772.0,645.0,513.0,634.0,205.0,764.0,792.0,718.0,536.0,69.0,242.0,627.0,285.0
14.0,20.0,362.0,544.0,622.0,710.0,727.0,764.0,587.0,391.0,745.0,217.0,681.0,699.0,742.0,604.0,92.0,380.0,736.0,363.0
15.0,12.0,380.0,473.0,533.0,662.0,730.0,735.0,523.0,329.0,795.0,227.0,614.0,724.0,803.0,690.0,112.0,433.0,741.0,469.0
11.0,3.0,409.0,420.0,470.0,608.0,623.0,707.0,473.0,282.0,837.0,295.0,535.0,729.0,824.0,782.0,131.0,528.0,774.0,559.0
6.0,3.0,452.0,294.0,440.0,602.0,616.0,602.0,356.0,223.0,904.0,357.0,483.0,627.0,747.0,885.0,156.0,723.0,798.0,726.0
1.0,0.0,494.0,272.0,304.0,534.0,571.0,606.0,303.0,152.0,819.0,389.0,428.0,639.0,734.0,917.0,198.0,917.0,847.0,875.0
2.0,0.0,549.0,193.0,263.0,396.0,450.0,581.0,218.0,112.0,809.0,488.0,308.0,512.0,702.0,1059.0,255.0,1169.0,823.0,1111.0
0.0,1.0,641.0,156.0,176.0,335.0,349.0,434.0,167.0,64.0,775.0,700.0,227.0,434.0,581.0,1000.0,424.0,1419.0,694.0,1423.0
0.0,1.0,873.0,80.0,106.0,214.0,249.0,270.0,97.0,30.0,562.0,1047.0,126.0,311.0,471.0,905.0,664.0,1677.0,553.0,1764.0
0.0,0.0,1011.0,33.0,50.0,107.0,115.0,138.0,50.0,18.0,301.0,2362.0,70.0,142.0,235.0,579.0,1827.0,1357.0,292.0,1313.0
0.0,0.0,578.0,9.0,10.0,27.0,25.0,30.0,6.0,2.0,53.0,2348.0,14.0,25.0,61.0,158.0,5764.0,449.0,68.0,373.0
