AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
902.0,7043.0,395.0,785.0,45.0,6.0,396.0,16.0,363.0,27.0,8.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0
2029.0,1673.0,1323.0,2001.0,190.0,40.0,1183.0,100.0,1150.0,157.0,100.0,1.0,18.0,0.0,11.0,0.0,24.0,0.0
1913.0,692.0,1500.0,1858.0,348.0,82.0,1402.0,216.0,1362.0,285.0,192.0,13.0,46.0,2.0,21.0,0.0,68.0,0.0
1433.0,305.0,1487.0,1570.0,563.0,205.0,1502.0,354.0,1488.0,408.0,348.0,34.0,134.0,7.0,31.0,0.0,131.0,0.0
1184.0,153.0,1406.0,1208.0,753.0,297.0,1374.0,539.0,1347.0,644.0,567.0,56.0,219.0,17.0,29.0,0.0,207.0,0.0
836.0,77.0,1141.0,966.0,930.0,492.0,1172.0,753.0,1272.0,798.0,688.0,104.0,311.0,36.0,55.0,0.0,369.0,0.0
596.0,35.0,846.0,598.0,1157.0,615.0,1002.0,946.0,925.0,1017.0,971.0,191.0,480.0,59.0,67.0,1.0,494.0,0.0
412.0,14.0,661.0,403.0,1179.0,861.0,659.0,1044.0,734.0,1137.0,1048.0,301.0,610.0,131.0,98.0,3.0,705.0,0.0
276.0,5.0,497.0,240.0,1162.0,989.0,464.0,1110.0,526.0,1163.0,1117.0,499.0,782.0,196.0,133.0,2.0,839.0,0.0
184.0,2.0,307.0,169.0,931.0,1153.0,370.0,1178.0,331.0,1119.0,1150.0,639.0,977.0,313.0,166.0,5.0,1006.0,0.0
104.0,1.0,207.0,96.0,921.0,1224.0,207.0,1099.0,227.0,999.0,1079.0,838.0,1165.0,521.0,189.0,14.0,1109.0,0.0
80.0,0.0,122.0,65.0,708.0,1185.0,123.0,919.0,139.0,804.0,953.0,1206.0,1254.0,817.0,276.0,43.0,1305.0,1.0
38.0,0.0,61.0,23.0,557.0,1100.0,89.0,758.0,72.0,682.0,809.0,1485.0,1337.0,1192.0,359.0,112.0,1321.0,5.0
8.0,0.0,30.0,10.0,338.0,908.0,46.0,540.0,42.0,463.0,583.0,1876.0,1299.0,1800.0,594.0,287.0,1143.0,33.0
5.0,0.0,13.0,7.0,180.0,614.0,11.0,307.0,19.0,226.0,300.0,1745.0,963.0,2821.0,931.0,867.0,866.0,125.0
0.0,0.0,3.0,1.0,34.0,196.0,0.0,105.0,3.0,67.0,75.0,799.0,341.0,1576.0,2428.0,3206.0,335.0,831.0
0.0,0.0,1.0,0.0,4.0,31.0,0.0,16.0,0.0,4.0,12.0,193.0,56.0,460.0,2370.0,3965.0,68.0,2820.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,52.0,2236.0,1495.0,4.0,6185.0
