AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
768.0,229.0,861.0,650.0,345.0,284.0,1988.0,598.0,6.0,211.0,12.0,3826.0,124.0,46.0,8.0,38.0,2.0,4.0
1064.0,394.0,1182.0,878.0,641.0,231.0,1930.0,811.0,27.0,403.0,32.0,2080.0,112.0,83.0,24.0,93.0,2.0,13.0
1119.0,522.0,1217.0,1034.0,796.0,255.0,1494.0,1007.0,37.0,552.0,73.0,1357.0,145.0,159.0,48.0,153.0,5.0,27.0
1153.0,644.0,1217.0,1028.0,952.0,245.0,1168.0,1023.0,71.0,700.0,133.0,883.0,132.0,257.0,100.0,231.0,7.0,56.0
1061.0,814.0,1052.0,1021.0,990.0,252.0,898.0,1073.0,102.0,854.0,194.0,608.0,141.0,348.0,140.0,309.0,25.0,118.0
965.0,850.0,944.0,1017.0,960.0,286.0,738.0,1027.0,158.0,882.0,257.0,424.0,174.0,454.0,209.0,454.0,35.0,166.0
910.0,929.0,804.0,912.0,949.0,331.0,536.0,911.0,261.0,916.0,376.0,291.0,199.0,529.0,252.0,594.0,73.0,227.0
720.0,885.0,726.0,847.0,904.0,347.0,420.0,810.0,384.0,933.0,496.0,219.0,194.0,681.0,399.0,638.0,109.0,288.0
602.0,902.0,557.0,693.0,794.0,362.0,301.0,723.0,463.0,893.0,610.0,122.0,251.0,836.0,496.0,836.0,151.0,408.0
486.0,866.0,416.0,558.0,687.0,424.0,205.0,585.0,545.0,908.0,717.0,81.0,285.0,905.0,679.0,863.0,243.0,547.0
371.0,768.0,383.0,435.0,573.0,477.0,114.0,437.0,760.0,693.0,864.0,58.0,337.0,960.0,808.0,929.0,350.0,683.0
291.0,637.0,235.0,321.0,470.0,491.0,75.0,319.0,929.0,593.0,960.0,27.0,398.0,942.0,937.0,977.0,552.0,846.0
199.0,509.0,171.0,244.0,366.0,551.0,66.0,274.0,1022.0,506.0,1017.0,16.0,443.0,973.0,1056.0,934.0,670.0,983.0
136.0,436.0,120.0,171.0,253.0,611.0,36.0,190.0,1160.0,380.0,1125.0,3.0,491.0,875.0,1090.0,851.0,954.0,1118.0
87.0,289.0,70.0,104.0,159.0,755.0,19.0,99.0,1204.0,274.0,1040.0,5.0,587.0,767.0,1210.0,784.0,1282.0,1265.0
40.0,187.0,30.0,54.0,97.0,961.0,9.0,66.0,1219.0,176.0,944.0,0.0,865.0,569.0,1118.0,637.0,1666.0,1362.0
20.0,103.0,11.0,27.0,53.0,1302.0,3.0,37.0,1064.0,96.0,770.0,0.0,1342.0,438.0,936.0,447.0,2157.0,1194.0
8.0,36.0,4.0,6.0,11.0,1835.0,0.0,10.0,588.0,30.0,380.0,0.0,3780.0,178.0,490.0,232.0,1717.0,695.0
