Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Coritiba,Atlético-MG,Red Bull Bragantino,Corinthians,São Paulo,Botafogo,Vitória,Santos,Grêmio,Mirassol,Vasco da Gama,Internacional,Remo,Chapecoense
3592.0,6375.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6068.0,3470.0,385.0,55.0,2.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317.0,147.0,6335.0,2069.0,240.0,619.0,54.0,151.0,33.0,2.0,5.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
21.0,7.0,2108.0,4096.0,939.0,1631.0,209.0,611.0,189.0,15.0,21.0,145.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,711.0,1921.0,1876.0,2369.0,547.0,1421.0,525.0,68.0,76.0,452.0,2.0,16.0,8.0,4.0,0.0,1.0,0.0,0.0
0.0,0.0,278.0,927.0,1991.0,2003.0,942.0,1693.0,879.0,179.0,212.0,796.0,5.0,51.0,26.0,17.0,0.0,1.0,0.0,0.0
0.0,0.0,100.0,508.0,1664.0,1333.0,1320.0,1762.0,1206.0,362.0,363.0,1143.0,14.0,96.0,67.0,46.0,7.0,9.0,0.0,0.0
0.0,0.0,31.0,222.0,1265.0,889.0,1504.0,1450.0,1452.0,657.0,656.0,1387.0,41.0,187.0,140.0,86.0,20.0,12.0,1.0,0.0
0.0,0.0,14.0,113.0,864.0,546.0,1519.0,1070.0,1609.0,990.0,921.0,1453.0,98.0,329.0,257.0,143.0,38.0,35.0,1.0,0.0
0.0,0.0,6.0,53.0,575.0,323.0,1406.0,810.0,1445.0,1272.0,1206.0,1336.0,197.0,507.0,445.0,255.0,77.0,80.0,7.0,0.0
0.0,0.0,1.0,22.0,309.0,141.0,1024.0,492.0,1055.0,1621.0,1485.0,1161.0,362.0,771.0,707.0,507.0,178.0,149.0,15.0,0.0
0.0,0.0,0.0,9.0,157.0,85.0,730.0,301.0,678.0,1563.0,1515.0,851.0,610.0,1157.0,959.0,764.0,308.0,278.0,35.0,0.0
0.0,0.0,0.0,3.0,77.0,27.0,381.0,147.0,468.0,1207.0,1275.0,578.0,814.0,1445.0,1397.0,1083.0,494.0,537.0,67.0,0.0
0.0,0.0,0.0,0.0,27.0,13.0,206.0,56.0,263.0,857.0,906.0,343.0,1078.0,1544.0,1517.0,1440.0,785.0,803.0,162.0,0.0
0.0,0.0,0.0,0.0,13.0,3.0,112.0,22.0,115.0,594.0,605.0,175.0,1519.0,1283.0,1406.0,1536.0,1097.0,1186.0,334.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,33.0,11.0,61.0,330.0,393.0,98.0,1590.0,1079.0,1263.0,1494.0,1498.0,1547.0,600.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,19.0,177.0,229.0,41.0,1569.0,833.0,960.0,1276.0,1916.0,1872.0,1094.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,88.0,99.0,13.0,1369.0,480.0,555.0,923.0,2109.0,2141.0,2201.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,33.0,2.0,730.0,214.0,290.0,422.0,1453.0,1326.0,5338.0,173.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,20.0,23.0,145.0,9805.0
