AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
2013.0,4705.0,323.0,903.0,303.0,48.0,29.0,1214.0,152.0,269.0,10.0,4.0,1.0,0.0,3.0,3.0,0.0,19.0,1.0,0.0
2197.0,2271.0,636.0,1463.0,641.0,176.0,90.0,1782.0,160.0,490.0,32.0,7.0,1.0,3.0,12.0,4.0,0.0,29.0,3.0,3.0
1767.0,1320.0,897.0,1672.0,933.0,318.0,175.0,1716.0,225.0,757.0,79.0,27.0,3.0,3.0,47.0,17.0,1.0,28.0,7.0,8.0
1302.0,744.0,1245.0,1537.0,1114.0,473.0,324.0,1478.0,277.0,1039.0,172.0,69.0,12.0,15.0,89.0,24.0,9.0,44.0,13.0,20.0
969.0,411.0,1272.0,1286.0,1308.0,704.0,449.0,1225.0,331.0,1231.0,293.0,111.0,26.0,30.0,178.0,54.0,14.0,47.0,19.0,42.0
668.0,268.0,1252.0,1039.0,1279.0,916.0,700.0,917.0,351.0,1293.0,439.0,218.0,60.0,59.0,262.0,84.0,28.0,70.0,30.0,67.0
442.0,136.0,1149.0,703.0,1275.0,1118.0,874.0,638.0,388.0,1225.0,604.0,330.0,122.0,81.0,423.0,181.0,65.0,86.0,34.0,126.0
263.0,65.0,960.0,549.0,957.0,1208.0,1061.0,424.0,413.0,1023.0,834.0,473.0,185.0,189.0,594.0,300.0,113.0,111.0,55.0,223.0
158.0,38.0,724.0,335.0,726.0,1165.0,1085.0,251.0,498.0,860.0,930.0,682.0,298.0,293.0,812.0,424.0,191.0,132.0,70.0,328.0
117.0,19.0,500.0,223.0,515.0,998.0,1107.0,153.0,509.0,617.0,1123.0,848.0,420.0,418.0,917.0,541.0,276.0,150.0,77.0,472.0
61.0,9.0,386.0,113.0,337.0,796.0,969.0,87.0,558.0,423.0,1083.0,1030.0,584.0,564.0,964.0,682.0,413.0,185.0,124.0,632.0
21.0,9.0,271.0,78.0,220.0,666.0,834.0,63.0,562.0,312.0,989.0,1029.0,732.0,730.0,1041.0,832.0,500.0,200.0,142.0,769.0
14.0,3.0,151.0,51.0,169.0,459.0,711.0,24.0,514.0,197.0,870.0,1043.0,931.0,888.0,1037.0,958.0,678.0,260.0,174.0,868.0
5.0,0.0,102.0,23.0,114.0,332.0,491.0,16.0,528.0,122.0,765.0,1036.0,1082.0,1076.0,922.0,1037.0,864.0,311.0,196.0,978.0
3.0,1.0,61.0,17.0,55.0,287.0,455.0,5.0,620.0,81.0,625.0,908.0,1147.0,1087.0,811.0,1167.0,1032.0,307.0,254.0,1077.0
0.0,1.0,39.0,5.0,25.0,159.0,299.0,5.0,651.0,34.0,491.0,768.0,1199.0,1259.0,684.0,1091.0,1330.0,477.0,355.0,1128.0
0.0,0.0,19.0,2.0,18.0,96.0,192.0,2.0,734.0,18.0,344.0,682.0,1257.0,1253.0,547.0,1048.0,1450.0,564.0,513.0,1261.0
0.0,0.0,11.0,1.0,7.0,59.0,117.0,0.0,948.0,7.0,190.0,451.0,1098.0,1110.0,410.0,918.0,1634.0,1054.0,891.0,1094.0
0.0,0.0,2.0,0.0,4.0,17.0,35.0,0.0,991.0,2.0,110.0,228.0,665.0,721.0,196.0,509.0,1069.0,2478.0,2255.0,718.0
0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,590.0,0.0,17.0,56.0,177.0,221.0,51.0,126.0,333.0,3448.0,4787.0,186.0
