Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
8226.0,31.0,13.0,266.0,940.0,201.0,4.0,10.0,5.0,0.0,40.0,104.0,27.0,1.0,0.0,4.0,9.0,119.0
1319.0,309.0,115.0,1661.0,3710.0,479.0,90.0,137.0,43.0,66.0,156.0,675.0,331.0,33.0,6.0,39.0,42.0,789.0
299.0,546.0,278.0,1999.0,2120.0,448.0,213.0,294.0,119.0,201.0,171.0,1160.0,659.0,87.0,19.0,103.0,61.0,1223.0
94.0,738.0,420.0,1560.0,1226.0,415.0,336.0,539.0,209.0,339.0,187.0,1287.0,949.0,143.0,59.0,190.0,71.0,1238.0
43.0,878.0,531.0,1213.0,730.0,383.0,439.0,625.0,301.0,476.0,208.0,1225.0,986.0,241.0,85.0,298.0,67.0,1271.0
8.0,898.0,669.0,897.0,498.0,365.0,593.0,725.0,442.0,498.0,202.0,1135.0,1026.0,327.0,144.0,404.0,87.0,1082.0
4.0,936.0,806.0,652.0,305.0,370.0,679.0,849.0,511.0,665.0,217.0,952.0,970.0,450.0,192.0,480.0,82.0,880.0
2.0,897.0,790.0,538.0,189.0,354.0,802.0,837.0,644.0,786.0,258.0,804.0,922.0,480.0,252.0,587.0,99.0,759.0
2.0,853.0,864.0,375.0,116.0,359.0,828.0,904.0,711.0,827.0,297.0,644.0,817.0,631.0,333.0,686.0,127.0,626.0
3.0,800.0,885.0,268.0,71.0,364.0,860.0,879.0,798.0,909.0,264.0,526.0,754.0,746.0,453.0,741.0,147.0,532.0
0.0,798.0,848.0,204.0,39.0,420.0,860.0,854.0,871.0,878.0,306.0,449.0,668.0,890.0,531.0,818.0,146.0,420.0
0.0,624.0,847.0,144.0,18.0,418.0,871.0,817.0,962.0,869.0,381.0,334.0,550.0,946.0,751.0,917.0,190.0,361.0
0.0,588.0,809.0,88.0,22.0,450.0,903.0,728.0,955.0,856.0,409.0,252.0,436.0,1039.0,922.0,1055.0,221.0,267.0
0.0,401.0,719.0,75.0,7.0,562.0,879.0,660.0,1013.0,885.0,492.0,226.0,375.0,1073.0,1109.0,1036.0,309.0,179.0
0.0,363.0,669.0,33.0,7.0,743.0,697.0,514.0,986.0,731.0,700.0,126.0,265.0,1113.0,1499.0,999.0,418.0,137.0
0.0,232.0,451.0,17.0,0.0,1036.0,571.0,401.0,813.0,650.0,1128.0,78.0,184.0,960.0,1748.0,879.0,776.0,76.0
0.0,99.0,232.0,9.0,2.0,1440.0,306.0,176.0,496.0,304.0,2239.0,16.0,66.0,659.0,1418.0,596.0,1906.0,36.0
0.0,9.0,54.0,1.0,0.0,1193.0,69.0,51.0,121.0,60.0,2345.0,7.0,15.0,181.0,479.0,168.0,5242.0,5.0
