Marseille,Lens,Lille,Lyon,AS Monaco,Brest,Le Mans,Paris Saint-Germain,Stade Rennais,Lorient,Nice,Paris FC,Troyes,Le Havre AC,Toulouse,Angers,AJ Auxerre,Strasbourg
392.0,2913.0,373.0,231.0,39.0,0.0,63.0,5883.0,62.0,3.0,0.0,4.0,25.0,0.0,1.0,0.0,0.0,11.0
1188.0,3703.0,1088.0,700.0,232.0,1.0,86.0,2614.0,245.0,18.0,0.0,19.0,41.0,0.0,9.0,0.0,1.0,55.0
2008.0,1738.0,1987.0,1448.0,586.0,5.0,142.0,932.0,649.0,80.0,0.0,73.0,84.0,2.0,40.0,0.0,3.0,223.0
1918.0,866.0,1920.0,1758.0,933.0,15.0,177.0,354.0,958.0,191.0,0.0,205.0,140.0,5.0,96.0,0.0,19.0,445.0
1483.0,421.0,1569.0,1717.0,1266.0,45.0,197.0,128.0,1287.0,398.0,0.0,358.0,131.0,17.0,210.0,2.0,47.0,724.0
1093.0,200.0,1180.0,1384.0,1430.0,81.0,235.0,59.0,1454.0,631.0,2.0,582.0,178.0,33.0,348.0,2.0,109.0,999.0
747.0,79.0,777.0,1048.0,1436.0,209.0,279.0,22.0,1497.0,877.0,11.0,838.0,240.0,61.0,542.0,7.0,181.0,1149.0
516.0,53.0,473.0,689.0,1206.0,317.0,323.0,4.0,1242.0,1170.0,22.0,1174.0,270.0,143.0,795.0,9.0,319.0,1275.0
312.0,16.0,288.0,481.0,1028.0,521.0,404.0,2.0,943.0,1249.0,69.0,1289.0,301.0,282.0,1002.0,22.0,512.0,1279.0
163.0,7.0,183.0,258.0,684.0,764.0,471.0,2.0,663.0,1355.0,140.0,1329.0,403.0,437.0,1198.0,55.0,741.0,1147.0
98.0,4.0,86.0,152.0,506.0,1012.0,466.0,0.0,442.0,1201.0,250.0,1232.0,466.0,686.0,1313.0,136.0,1022.0,928.0
48.0,0.0,43.0,71.0,326.0,1236.0,541.0,0.0,260.0,994.0,424.0,1062.0,572.0,1015.0,1256.0,254.0,1201.0,697.0
20.0,0.0,18.0,37.0,170.0,1470.0,663.0,0.0,153.0,752.0,691.0,767.0,678.0,1230.0,1085.0,446.0,1376.0,444.0
6.0,0.0,8.0,18.0,100.0,1463.0,740.0,0.0,89.0,494.0,1061.0,503.0,694.0,1487.0,880.0,740.0,1401.0,316.0
6.0,0.0,5.0,5.0,38.0,1214.0,851.0,0.0,33.0,325.0,1564.0,312.0,888.0,1605.0,573.0,1189.0,1214.0,178.0
2.0,0.0,2.0,3.0,8.0,876.0,979.0,0.0,19.0,173.0,2026.0,164.0,1077.0,1397.0,381.0,1878.0,918.0,97.0
0.0,0.0,0.0,0.0,10.0,539.0,1213.0,0.0,4.0,72.0,2138.0,64.0,1451.0,1077.0,202.0,2565.0,637.0,28.0
0.0,0.0,0.0,0.0,2.0,232.0,2170.0,0.0,0.0,17.0,1602.0,25.0,2361.0,523.0,69.0,2695.0,299.0,5.0
