Brighton & Hove Albion,Arsenal,Brentford,Everton,Hull City,Ipswich Town,Manchester City,Leeds United,Liverpool,Newcastle United,Chelsea,Fulham,AFC Bournemouth,Sunderland,Nottingham Forest,Crystal Palace,Manchester United,Coventry City,Tottenham Hotspur,Aston Villa
36.0,6568.0,10.0,2.0,91.0,66.0,3158.0,0.0,9.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,48.0,3.0,0.0,1.0
355.0,2976.0,104.0,24.0,221.0,163.0,5525.0,24.0,114.0,13.0,26.0,4.0,49.0,0.0,9.0,0.0,370.0,11.0,0.0,12.0
1776.0,373.0,952.0,242.0,564.0,389.0,914.0,223.0,1021.0,124.0,335.0,88.0,477.0,25.0,148.0,2.0,2111.0,45.0,2.0,189.0
1713.0,71.0,1142.0,412.0,418.0,342.0,258.0,367.0,1197.0,246.0,489.0,193.0,631.0,51.0,259.0,3.0,1772.0,62.0,9.0,365.0
1384.0,7.0,1168.0,592.0,398.0,334.0,88.0,491.0,1145.0,349.0,591.0,288.0,806.0,69.0,397.0,10.0,1326.0,68.0,19.0,470.0
1113.0,4.0,1129.0,666.0,385.0,307.0,35.0,625.0,1076.0,448.0,701.0,357.0,895.0,89.0,414.0,28.0,1090.0,59.0,30.0,549.0
853.0,1.0,938.0,767.0,336.0,296.0,11.0,655.0,1057.0,543.0,812.0,480.0,861.0,183.0,584.0,37.0,765.0,73.0,65.0,683.0
688.0,0.0,875.0,838.0,333.0,268.0,5.0,750.0,872.0,577.0,841.0,570.0,859.0,235.0,620.0,81.0,661.0,90.0,92.0,745.0
550.0,0.0,781.0,791.0,340.0,301.0,4.0,825.0,749.0,683.0,847.0,629.0,863.0,264.0,738.0,114.0,532.0,94.0,126.0,769.0
442.0,0.0,683.0,860.0,334.0,303.0,2.0,885.0,592.0,805.0,827.0,707.0,816.0,373.0,748.0,141.0,397.0,122.0,163.0,800.0
349.0,0.0,572.0,806.0,388.0,356.0,0.0,822.0,532.0,827.0,798.0,813.0,749.0,484.0,789.0,199.0,293.0,104.0,269.0,850.0
227.0,0.0,454.0,808.0,378.0,338.0,0.0,790.0,489.0,916.0,763.0,836.0,690.0,622.0,875.0,331.0,223.0,120.0,339.0,801.0
165.0,0.0,349.0,740.0,428.0,393.0,0.0,798.0,361.0,862.0,673.0,931.0,634.0,741.0,874.0,439.0,174.0,178.0,470.0,790.0
150.0,0.0,284.0,684.0,468.0,401.0,0.0,732.0,289.0,869.0,641.0,873.0,517.0,954.0,838.0,574.0,92.0,216.0,628.0,790.0
96.0,0.0,212.0,561.0,453.0,461.0,0.0,689.0,209.0,823.0,566.0,955.0,383.0,1074.0,785.0,811.0,72.0,263.0,881.0,706.0
59.0,0.0,178.0,488.0,605.0,544.0,0.0,499.0,127.0,703.0,430.0,793.0,352.0,1272.0,723.0,1192.0,32.0,355.0,1122.0,526.0
23.0,0.0,98.0,361.0,681.0,718.0,0.0,402.0,85.0,550.0,312.0,648.0,202.0,1338.0,547.0,1595.0,24.0,484.0,1501.0,431.0
12.0,0.0,53.0,226.0,902.0,959.0,0.0,264.0,50.0,384.0,216.0,490.0,130.0,1157.0,385.0,1923.0,12.0,793.0,1740.0,304.0
8.0,0.0,15.0,99.0,1268.0,1558.0,0.0,125.0,23.0,229.0,104.0,266.0,64.0,791.0,204.0,1779.0,5.0,1532.0,1759.0,171.0
1.0,0.0,3.0,33.0,1009.0,1503.0,0.0,34.0,3.0,49.0,26.0,78.0,17.0,278.0,63.0,741.0,1.0,5328.0,785.0,48.0
