AZ Alkmaar,Go Ahead Eagles,PSV Eindhoven,Feyenoord Rotterdam,FC Groningen,Ajax Amsterdam,Sparta Rotterdam,Fortuna Sittard,Heerenveen,Excelsior,NEC Nijmegen,FC Twente,Telstar,PEC Zwolle,FC Utrecht,Willem II,ADO Den Haag,SC Cambuur
386.0,36.0,7879.0,758.0,16.0,476.0,0.0,0.0,6.0,1.0,226.0,210.0,0.0,0.0,3.0,2.0,0.0,1.0
1448.0,283.0,1351.0,2680.0,155.0,1738.0,0.0,0.0,64.0,13.0,1057.0,1146.0,17.0,0.0,41.0,5.0,1.0,1.0
1605.0,522.0,446.0,2034.0,281.0,1862.0,2.0,3.0,157.0,53.0,1410.0,1454.0,41.0,1.0,108.0,9.0,7.0,5.0
1581.0,723.0,203.0,1616.0,519.0,1603.0,5.0,6.0,262.0,66.0,1500.0,1572.0,104.0,0.0,216.0,10.0,10.0,4.0
1428.0,990.0,66.0,1097.0,757.0,1414.0,5.0,21.0,443.0,163.0,1484.0,1540.0,186.0,2.0,357.0,22.0,13.0,12.0
1221.0,1263.0,38.0,758.0,1031.0,1049.0,22.0,66.0,668.0,289.0,1337.0,1331.0,266.0,10.0,596.0,27.0,13.0,15.0
922.0,1406.0,9.0,493.0,1287.0,746.0,44.0,105.0,961.0,468.0,1066.0,1040.0,511.0,15.0,834.0,35.0,28.0,30.0
625.0,1366.0,5.0,287.0,1425.0,523.0,91.0,259.0,1227.0,709.0,751.0,712.0,737.0,20.0,1156.0,41.0,36.0,30.0
375.0,1101.0,3.0,159.0,1341.0,295.0,184.0,442.0,1432.0,1052.0,508.0,460.0,1046.0,67.0,1364.0,81.0,48.0,42.0
217.0,876.0,0.0,73.0,1157.0,165.0,347.0,722.0,1368.0,1352.0,345.0,260.0,1294.0,124.0,1480.0,105.0,61.0,54.0
113.0,647.0,0.0,29.0,892.0,75.0,668.0,1007.0,1274.0,1524.0,181.0,166.0,1489.0,253.0,1336.0,130.0,125.0,91.0
52.0,439.0,0.0,10.0,555.0,37.0,1125.0,1419.0,998.0,1545.0,90.0,72.0,1516.0,520.0,1104.0,204.0,178.0,136.0
22.0,200.0,0.0,3.0,327.0,11.0,1686.0,1896.0,623.0,1313.0,30.0,27.0,1287.0,1056.0,725.0,309.0,285.0,200.0
5.0,108.0,0.0,3.0,177.0,5.0,2327.0,1906.0,325.0,837.0,11.0,7.0,871.0,1752.0,433.0,451.0,442.0,340.0
0.0,30.0,0.0,0.0,55.0,0.0,2040.0,1393.0,144.0,450.0,3.0,1.0,435.0,3011.0,180.0,823.0,795.0,640.0
0.0,8.0,0.0,0.0,19.0,1.0,1081.0,588.0,42.0,135.0,1.0,2.0,167.0,2161.0,60.0,2035.0,1919.0,1781.0
0.0,1.0,0.0,0.0,5.0,0.0,323.0,145.0,6.0,29.0,0.0,0.0,31.0,836.0,7.0,2768.0,2910.0,2939.0
0.0,1.0,0.0,0.0,1.0,0.0,50.0,22.0,0.0,1.0,0.0,0.0,2.0,172.0,0.0,2943.0,3129.0,3679.0
