Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Coritiba,Atlético-MG,Corinthians,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
5680.0,4310.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4216.0,5552.0,66.0,97.0,58.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,122.0,2534.0,3742.0,2335.0,379.0,134.0,9.0,243.0,26.0,378.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,14.0,2417.0,2597.0,2364.0,852.0,320.0,48.0,570.0,67.0,720.0,3.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,1960.0,1727.0,1912.0,1309.0,645.0,107.0,925.0,173.0,1177.0,5.0,42.0,4.0,2.0,0.0,11.0,0.0,0.0,0.0
1.0,1.0,1250.0,937.0,1365.0,1760.0,1079.0,230.0,1260.0,392.0,1533.0,12.0,110.0,23.0,10.0,4.0,32.0,0.0,1.0,0.0
0.0,1.0,802.0,446.0,926.0,1725.0,1374.0,421.0,1523.0,688.0,1613.0,34.0,236.0,37.0,49.0,14.0,107.0,1.0,3.0,0.0
0.0,0.0,487.0,236.0,562.0,1486.0,1571.0,774.0,1546.0,975.0,1431.0,89.0,405.0,102.0,109.0,21.0,190.0,3.0,13.0,0.0
0.0,0.0,280.0,133.0,264.0,1007.0,1592.0,1092.0,1454.0,1404.0,1161.0,169.0,659.0,150.0,243.0,62.0,297.0,7.0,26.0,0.0
0.0,0.0,126.0,49.0,124.0,727.0,1259.0,1417.0,1008.0,1709.0,810.0,322.0,1053.0,313.0,377.0,148.0,487.0,26.0,45.0,0.0
0.0,0.0,46.0,15.0,52.0,370.0,913.0,1630.0,673.0,1556.0,583.0,515.0,1387.0,473.0,634.0,268.0,770.0,38.0,77.0,0.0
0.0,0.0,19.0,12.0,20.0,239.0,523.0,1549.0,390.0,1138.0,299.0,774.0,1582.0,792.0,898.0,471.0,1047.0,91.0,156.0,0.0
0.0,0.0,6.0,3.0,11.0,82.0,264.0,1094.0,218.0,760.0,136.0,1189.0,1395.0,1090.0,1178.0,739.0,1363.0,168.0,304.0,0.0
0.0,0.0,2.0,1.0,4.0,38.0,173.0,731.0,115.0,516.0,95.0,1324.0,1078.0,1282.0,1349.0,1044.0,1399.0,369.0,480.0,0.0
0.0,0.0,2.0,0.0,1.0,9.0,93.0,449.0,46.0,311.0,37.0,1424.0,839.0,1437.0,1374.0,1286.0,1360.0,584.0,747.0,1.0
0.0,0.0,0.0,0.0,0.0,8.0,40.0,241.0,14.0,165.0,16.0,1445.0,576.0,1476.0,1309.0,1561.0,1157.0,900.0,1084.0,8.0
0.0,0.0,0.0,0.0,0.0,2.0,16.0,115.0,12.0,74.0,3.0,1266.0,356.0,1220.0,1193.0,1699.0,864.0,1543.0,1621.0,16.0
0.0,0.0,0.0,0.0,0.0,2.0,2.0,73.0,1.0,39.0,2.0,975.0,189.0,991.0,805.0,1572.0,624.0,2405.0,2258.0,62.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,7.0,2.0,440.0,72.0,602.0,460.0,1078.0,282.0,3684.0,3031.0,320.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,8.0,8.0,33.0,8.0,181.0,154.0,9593.0
