Millwall,West Bromwich Albion,Charlton Athletic,Wolverhampton Wanderers,Queens Park Rangers,Blackburn Rovers,Watford,Swansea City,Bolton Wanderers,Portsmouth,Middlesbrough,Cardiff City,Wrexham,Birmingham City,Sheffield United,West Ham United,Derby County,Burnley,Bristol City,Lincoln City,Preston North End,Stoke City,Norwich City,Southampton
1649.0,15.0,3.0,3180.0,3.0,1.0,0.0,32.0,138.0,0.0,647.0,75.0,39.0,14.0,40.0,1632.0,65.0,1362.0,2.0,34.0,0.0,0.0,36.0,1033.0
2360.0,94.0,6.0,1319.0,16.0,5.0,5.0,108.0,148.0,2.0,1282.0,123.0,117.0,66.0,137.0,1103.0,192.0,930.0,15.0,48.0,1.0,0.0,109.0,1814.0
1900.0,178.0,43.0,925.0,46.0,20.0,22.0,281.0,161.0,12.0,1533.0,137.0,244.0,159.0,250.0,779.0,316.0,794.0,49.0,67.0,3.0,7.0,228.0,1846.0
1404.0,305.0,90.0,645.0,108.0,46.0,45.0,439.0,183.0,35.0,1431.0,182.0,387.0,288.0,460.0,671.0,540.0,665.0,97.0,73.0,11.0,10.0,389.0,1496.0
916.0,510.0,149.0,529.0,167.0,114.0,79.0,559.0,200.0,55.0,1386.0,156.0,490.0,409.0,537.0,557.0,726.0,544.0,161.0,69.0,24.0,22.0,476.0,1165.0
630.0,603.0,231.0,424.0,241.0,141.0,110.0,687.0,217.0,88.0,1001.0,174.0,663.0,535.0,676.0,510.0,758.0,475.0,269.0,88.0,39.0,34.0,592.0,814.0
408.0,649.0,337.0,312.0,320.0,187.0,179.0,760.0,219.0,135.0,707.0,165.0,697.0,632.0,744.0,426.0,844.0,429.0,320.0,86.0,69.0,71.0,715.0,589.0
246.0,709.0,411.0,312.0,371.0,289.0,234.0,754.0,224.0,175.0,531.0,172.0,766.0,677.0,760.0,361.0,845.0,370.0,396.0,100.0,98.0,98.0,718.0,383.0
166.0,791.0,445.0,224.0,440.0,337.0,302.0,826.0,208.0,224.0,445.0,166.0,740.0,683.0,724.0,341.0,810.0,344.0,464.0,94.0,122.0,123.0,715.0,266.0
122.0,720.0,532.0,214.0,549.0,379.0,367.0,718.0,205.0,272.0,286.0,189.0,744.0,765.0,733.0,297.0,715.0,278.0,508.0,102.0,200.0,176.0,743.0,186.0
73.0,738.0,558.0,192.0,581.0,490.0,386.0,667.0,212.0,349.0,216.0,192.0,690.0,728.0,731.0,260.0,716.0,272.0,554.0,119.0,227.0,211.0,713.0,125.0
52.0,638.0,604.0,182.0,623.0,534.0,466.0,685.0,241.0,413.0,156.0,211.0,684.0,684.0,635.0,269.0,616.0,290.0,597.0,117.0,265.0,260.0,693.0,85.0
25.0,694.0,624.0,151.0,627.0,558.0,539.0,599.0,244.0,503.0,121.0,205.0,650.0,682.0,600.0,254.0,546.0,261.0,654.0,135.0,347.0,316.0,608.0,57.0
19.0,645.0,708.0,178.0,704.0,675.0,582.0,547.0,220.0,574.0,72.0,186.0,522.0,623.0,515.0,218.0,502.0,237.0,694.0,148.0,416.0,409.0,561.0,45.0
9.0,517.0,707.0,157.0,721.0,646.0,684.0,496.0,273.0,627.0,57.0,219.0,531.0,582.0,479.0,187.0,435.0,239.0,724.0,139.0,490.0,485.0,566.0,30.0
10.0,486.0,777.0,127.0,732.0,751.0,647.0,376.0,286.0,697.0,43.0,278.0,451.0,503.0,468.0,221.0,373.0,236.0,712.0,200.0,557.0,565.0,482.0,22.0
5.0,446.0,694.0,122.0,662.0,798.0,768.0,370.0,328.0,751.0,40.0,290.0,399.0,473.0,419.0,209.0,279.0,258.0,665.0,216.0,664.0,713.0,415.0,16.0
2.0,392.0,690.0,131.0,723.0,764.0,847.0,344.0,366.0,847.0,17.0,308.0,359.0,408.0,327.0,219.0,238.0,252.0,659.0,228.0,771.0,727.0,369.0,12.0
1.0,305.0,652.0,132.0,630.0,838.0,844.0,260.0,419.0,881.0,15.0,398.0,284.0,359.0,267.0,222.0,168.0,257.0,631.0,280.0,936.0,923.0,291.0,7.0
2.0,236.0,646.0,106.0,614.0,758.0,849.0,220.0,469.0,936.0,8.0,485.0,225.0,278.0,202.0,229.0,153.0,277.0,610.0,366.0,1020.0,1078.0,226.0,7.0
0.0,191.0,482.0,109.0,485.0,688.0,825.0,147.0,702.0,934.0,5.0,614.0,157.0,220.0,150.0,244.0,89.0,282.0,515.0,528.0,1263.0,1191.0,177.0,2.0
0.0,87.0,352.0,143.0,378.0,571.0,664.0,80.0,1017.0,802.0,1.0,1011.0,100.0,140.0,83.0,288.0,50.0,339.0,408.0,909.0,1196.0,1280.0,101.0,0.0
1.0,42.0,199.0,116.0,207.0,305.0,417.0,38.0,1568.0,553.0,0.0,1795.0,54.0,78.0,51.0,310.0,19.0,347.0,231.0,1769.0,902.0,938.0,60.0,0.0
0.0,9.0,60.0,70.0,52.0,105.0,139.0,7.0,1752.0,135.0,0.0,2269.0,7.0,14.0,12.0,193.0,5.0,262.0,65.0,4085.0,379.0,363.0,17.0,0.0
