Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Getafe,Real Sociedad,Athletic Club,Rayo Vallecano,Valencia,Sevilla,Osasuna,Espanyol,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8818.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1182.0,8818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8702.0,1215.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1209.0,5883.0,2426.0,59.0,238.0,26.0,18.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,89.0,2182.0,4837.0,352.0,1170.0,351.0,213.0,666.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,619.0,1253.0,1625.0,3121.0,648.0,600.0,1403.0,511.0,22.0,191.0,3.0,3.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,97.0,575.0,2015.0,1696.0,1049.0,1112.0,2016.0,654.0,101.0,534.0,63.0,77.0,11.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,443.0,1452.0,1376.0,970.0,1196.0,1959.0,932.0,179.0,689.0,346.0,387.0,67.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,1506.0,1180.0,1136.0,1092.0,1136.0,1353.0,234.0,673.0,525.0,722.0,187.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1476.0,760.0,1688.0,1355.0,763.0,1222.0,272.0,758.0,626.0,735.0,233.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1019.0,350.0,1886.0,1775.0,647.0,874.0,657.0,1137.0,685.0,800.0,155.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,96.0,1521.0,1680.0,510.0,1066.0,1387.0,1470.0,737.0,901.0,212.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,13.0,610.0,795.0,483.0,1474.0,1964.0,1333.0,1123.0,1435.0,700.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,113.0,162.0,261.0,1296.0,1432.0,1288.0,1741.0,2005.0,1696.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,439.0,2080.0,1318.0,2312.0,1499.0,2333.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1672.0,609.0,1839.0,1436.0,4405.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
