Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Red Bull Bragantino,Vasco da Gama,Coritiba,Vitória,Cruzeiro,Botafogo,Atlético-MG,Internacional,Santos,Corinthians,Grêmio,Mirassol,Remo,Chapecoense
6472.0,3282.0,157.0,64.0,20.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3025.0,5452.0,832.0,370.0,206.0,18.0,15.0,24.0,26.0,4.0,4.0,5.0,4.0,7.0,3.0,3.0,2.0,0.0,0.0,0.0
406.0,907.0,3826.0,2054.0,1368.0,238.0,226.0,216.0,278.0,49.0,76.0,59.0,49.0,112.0,73.0,33.0,29.0,1.0,0.0,0.0
68.0,240.0,2117.0,2447.0,1818.0,523.0,478.0,494.0,535.0,137.0,184.0,160.0,134.0,287.0,220.0,97.0,60.0,1.0,0.0,0.0
24.0,83.0,1201.0,1657.0,1764.0,793.0,732.0,745.0,775.0,256.0,316.0,312.0,211.0,496.0,309.0,176.0,138.0,7.0,5.0,0.0
3.0,16.0,649.0,1045.0,1244.0,977.0,911.0,980.0,940.0,407.0,388.0,446.0,346.0,634.0,485.0,302.0,212.0,10.0,5.0,0.0
2.0,12.0,448.0,655.0,947.0,1051.0,909.0,967.0,973.0,509.0,539.0,573.0,473.0,712.0,527.0,355.0,316.0,19.0,13.0,0.0
0.0,3.0,260.0,490.0,678.0,1021.0,948.0,956.0,967.0,582.0,574.0,691.0,541.0,748.0,670.0,424.0,394.0,37.0,16.0,0.0
0.0,3.0,175.0,399.0,523.0,886.0,942.0,880.0,892.0,707.0,640.0,753.0,592.0,798.0,717.0,547.0,458.0,56.0,31.0,1.0
0.0,1.0,115.0,277.0,408.0,889.0,821.0,847.0,802.0,734.0,676.0,768.0,684.0,892.0,744.0,618.0,584.0,83.0,57.0,0.0
0.0,0.0,85.0,171.0,277.0,772.0,803.0,785.0,811.0,865.0,747.0,796.0,737.0,811.0,850.0,687.0,633.0,122.0,48.0,0.0
0.0,1.0,68.0,118.0,243.0,652.0,742.0,688.0,663.0,924.0,786.0,884.0,816.0,783.0,841.0,842.0,699.0,148.0,102.0,0.0
0.0,0.0,29.0,101.0,179.0,585.0,650.0,607.0,596.0,902.0,817.0,922.0,884.0,775.0,866.0,869.0,821.0,231.0,161.0,5.0
0.0,0.0,16.0,77.0,140.0,473.0,568.0,512.0,536.0,914.0,847.0,984.0,924.0,743.0,805.0,910.0,978.0,354.0,212.0,7.0
0.0,0.0,10.0,42.0,80.0,419.0,469.0,464.0,433.0,876.0,872.0,816.0,981.0,690.0,863.0,1114.0,1023.0,490.0,339.0,19.0
0.0,0.0,7.0,19.0,65.0,314.0,353.0,393.0,360.0,821.0,858.0,728.0,988.0,638.0,784.0,1037.0,1201.0,826.0,582.0,26.0
0.0,0.0,5.0,7.0,28.0,238.0,256.0,253.0,242.0,692.0,872.0,606.0,888.0,461.0,673.0,1057.0,1254.0,1362.0,1046.0,60.0
0.0,0.0,0.0,5.0,9.0,122.0,133.0,141.0,127.0,441.0,589.0,344.0,556.0,271.0,388.0,639.0,808.0,2829.0,2299.0,299.0
0.0,0.0,0.0,2.0,3.0,28.0,41.0,44.0,39.0,161.0,198.0,145.0,182.0,128.0,170.0,268.0,351.0,2826.0,4232.0,1182.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,19.0,17.0,8.0,10.0,13.0,12.0,22.0,39.0,598.0,852.0,8401.0
