Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Coritiba,Atlético-MG,Corinthians,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
5557.0,4428.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4264.0,5386.0,154.0,109.0,82.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.0,166.0,4137.0,2964.0,1887.0,299.0,110.0,10.0,183.0,9.0,70.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,18.0,2764.0,2865.0,2441.0,748.0,333.0,34.0,448.0,66.0,253.0,0.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
2.0,2.0,1593.0,2034.0,2244.0,1427.0,663.0,100.0,992.0,212.0,660.0,5.0,41.0,9.0,8.0,1.0,7.0,0.0,0.0,0.0
0.0,0.0,723.0,1054.0,1521.0,1992.0,1187.0,253.0,1465.0,452.0,1150.0,11.0,108.0,19.0,20.0,2.0,41.0,0.0,2.0,0.0
0.0,0.0,354.0,527.0,879.0,1725.0,1539.0,494.0,1663.0,783.0,1522.0,38.0,262.0,51.0,53.0,10.0,97.0,2.0,1.0,0.0
0.0,0.0,176.0,257.0,439.0,1408.0,1549.0,793.0,1618.0,1148.0,1599.0,103.0,432.0,109.0,111.0,29.0,221.0,2.0,6.0,0.0
0.0,0.0,62.0,97.0,294.0,982.0,1537.0,1109.0,1368.0,1391.0,1492.0,164.0,678.0,183.0,229.0,58.0,328.0,4.0,24.0,0.0
0.0,0.0,21.0,57.0,126.0,618.0,1169.0,1462.0,944.0,1605.0,1204.0,333.0,988.0,339.0,371.0,146.0,544.0,22.0,51.0,0.0
0.0,0.0,4.0,23.0,51.0,405.0,812.0,1619.0,548.0,1425.0,864.0,473.0,1361.0,571.0,655.0,269.0,792.0,37.0,91.0,0.0
0.0,0.0,6.0,4.0,25.0,206.0,474.0,1431.0,394.0,1083.0,531.0,832.0,1500.0,794.0,932.0,500.0,1030.0,85.0,173.0,0.0
0.0,0.0,1.0,1.0,7.0,107.0,308.0,1022.0,210.0,788.0,305.0,1055.0,1452.0,1041.0,1217.0,699.0,1300.0,189.0,297.0,1.0
0.0,0.0,0.0,0.0,2.0,53.0,180.0,732.0,109.0,478.0,178.0,1301.0,1084.0,1361.0,1319.0,986.0,1355.0,353.0,507.0,2.0
0.0,0.0,0.0,0.0,0.0,19.0,68.0,466.0,35.0,265.0,98.0,1501.0,819.0,1396.0,1371.0,1336.0,1308.0,560.0,757.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,37.0,261.0,18.0,182.0,41.0,1486.0,627.0,1337.0,1288.0,1527.0,1150.0,954.0,1084.0,3.0
0.0,0.0,0.0,0.0,0.0,3.0,24.0,142.0,3.0,76.0,22.0,1296.0,379.0,1215.0,1122.0,1718.0,912.0,1471.0,1596.0,21.0
0.0,0.0,0.0,0.0,0.0,1.0,5.0,58.0,2.0,27.0,9.0,928.0,184.0,979.0,812.0,1634.0,642.0,2358.0,2293.0,68.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,0.0,9.0,1.0,461.0,72.0,581.0,474.0,1049.0,267.0,3753.0,2965.0,351.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,14.0,16.0,34.0,5.0,210.0,153.0,9553.0
