FC Porto,Benfica,Sporting CP,Santa Clara,Arouca,Estrela,Académico de Viseu,Braga,Gil Vicente,Maritimo,Alverca,Vitória de Guimaraes,FC Famalicao,C.D. Nacional,Moreirense,Rio Ave,Estoril,Casa Pia
3539.0,3776.0,2652.0,2.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3335.0,3228.0,3258.0,16.0,2.0,2.0,0.0,154.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2817.0,2672.0,3688.0,113.0,13.0,17.0,0.0,631.0,27.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
275.0,288.0,359.0,1913.0,508.0,365.0,33.0,4977.0,696.0,19.0,26.0,20.0,416.0,42.0,20.0,7.0,36.0,0.0
27.0,30.0,37.0,2711.0,1087.0,851.0,121.0,2014.0,1447.0,78.0,123.0,95.0,1013.0,133.0,71.0,22.0,140.0,0.0
5.0,5.0,6.0,1841.0,1360.0,1109.0,225.0,1049.0,1634.0,178.0,275.0,208.0,1383.0,251.0,157.0,64.0,246.0,4.0
1.0,0.0,0.0,1177.0,1478.0,1264.0,373.0,559.0,1468.0,273.0,436.0,318.0,1448.0,409.0,263.0,129.0,396.0,8.0
1.0,1.0,0.0,811.0,1277.0,1331.0,526.0,271.0,1270.0,415.0,555.0,479.0,1362.0,592.0,371.0,179.0,542.0,17.0
0.0,0.0,0.0,525.0,1093.0,1156.0,714.0,158.0,995.0,582.0,769.0,628.0,1170.0,699.0,523.0,285.0,687.0,16.0
0.0,0.0,0.0,336.0,870.0,1052.0,841.0,68.0,754.0,710.0,876.0,784.0,896.0,813.0,665.0,408.0,875.0,52.0
0.0,0.0,0.0,259.0,713.0,796.0,981.0,49.0,559.0,861.0,979.0,929.0,642.0,926.0,781.0,515.0,945.0,65.0
0.0,0.0,0.0,130.0,564.0,649.0,1046.0,18.0,385.0,947.0,1016.0,1033.0,527.0,1008.0,926.0,650.0,962.0,139.0
0.0,0.0,0.0,87.0,374.0,486.0,1066.0,11.0,306.0,1118.0,1057.0,1026.0,387.0,1023.0,1025.0,816.0,1011.0,207.0
0.0,0.0,0.0,40.0,289.0,380.0,1036.0,7.0,199.0,1097.0,1043.0,1133.0,297.0,1035.0,1070.0,1019.0,1049.0,306.0
0.0,0.0,0.0,26.0,179.0,252.0,1027.0,2.0,144.0,1139.0,996.0,1083.0,224.0,974.0,1223.0,1217.0,1008.0,506.0
0.0,0.0,0.0,8.0,112.0,174.0,910.0,2.0,75.0,1074.0,880.0,960.0,127.0,926.0,1252.0,1592.0,952.0,956.0
0.0,0.0,0.0,5.0,59.0,91.0,731.0,0.0,28.0,1032.0,660.0,882.0,67.0,785.0,1118.0,1892.0,745.0,1905.0
0.0,0.0,0.0,0.0,22.0,24.0,370.0,0.0,10.0,477.0,307.0,422.0,19.0,384.0,535.0,1205.0,406.0,5819.0
