PSV Eindhoven,AZ Alkmaar,Feyenoord Rotterdam,FC Twente,Ajax Amsterdam,Excelsior,Fortuna Sittard,Go Ahead Eagles,FC Groningen,NEC Nijmegen,Heerenveen,Sparta Rotterdam,Telstar,FC Utrecht,SC Cambuur,PEC Zwolle,Willem II,ADO Den Haag
7880.0,410.0,984.0,283.0,409.0,5.0,0.0,8.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1473.0,1746.0,3305.0,1359.0,1730.0,48.0,5.0,83.0,57.0,155.0,21.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0
408.0,2203.0,2353.0,1820.0,2228.0,149.0,34.0,201.0,151.0,320.0,52.0,0.0,12.0,69.0,0.0,0.0,0.0,0.0
163.0,2033.0,1516.0,2048.0,2075.0,328.0,107.0,420.0,340.0,617.0,162.0,6.0,35.0,150.0,0.0,0.0,0.0,0.0
55.0,1558.0,925.0,1824.0,1564.0,654.0,220.0,800.0,650.0,993.0,310.0,25.0,86.0,335.0,0.0,1.0,0.0,0.0
11.0,903.0,479.0,1150.0,885.0,1047.0,441.0,1216.0,1040.0,1449.0,543.0,58.0,158.0,605.0,2.0,13.0,0.0,0.0
9.0,479.0,216.0,671.0,489.0,1318.0,670.0,1289.0,1264.0,1418.0,899.0,115.0,293.0,844.0,0.0,25.0,1.0,0.0
1.0,305.0,118.0,412.0,274.0,1320.0,881.0,1265.0,1368.0,1326.0,974.0,204.0,475.0,1017.0,3.0,56.0,0.0,1.0
0.0,194.0,55.0,220.0,166.0,1215.0,1072.0,1273.0,1276.0,1123.0,1115.0,328.0,655.0,1183.0,9.0,115.0,0.0,1.0
0.0,104.0,27.0,115.0,94.0,1132.0,1235.0,1060.0,1150.0,912.0,1291.0,488.0,896.0,1306.0,21.0,159.0,4.0,6.0
0.0,39.0,15.0,50.0,53.0,1044.0,1439.0,840.0,942.0,685.0,1276.0,763.0,1113.0,1321.0,49.0,350.0,8.0,13.0
0.0,19.0,5.0,27.0,19.0,773.0,1378.0,714.0,767.0,473.0,1325.0,1115.0,1475.0,1182.0,108.0,554.0,38.0,28.0
0.0,3.0,1.0,11.0,9.0,531.0,1159.0,452.0,514.0,309.0,1011.0,1795.0,1828.0,961.0,277.0,936.0,127.0,76.0
0.0,4.0,1.0,8.0,5.0,295.0,834.0,255.0,308.0,138.0,673.0,2279.0,1574.0,645.0,665.0,1717.0,351.0,248.0
0.0,0.0,0.0,2.0,0.0,103.0,375.0,95.0,135.0,55.0,255.0,1684.0,930.0,291.0,1680.0,2670.0,990.0,735.0
0.0,0.0,0.0,0.0,0.0,36.0,127.0,26.0,25.0,13.0,74.0,781.0,326.0,60.0,2997.0,1885.0,1986.0,1664.0
0.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,7.0,0.0,16.0,286.0,109.0,14.0,2512.0,1035.0,3237.0,2760.0
0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,73.0,32.0,2.0,1677.0,484.0,3258.0,4468.0
