Lille,AS Monaco,Stade Rennais,Lyon,Paris FC,Strasbourg,Brest,Paris Saint-Germain,Lorient,Lens,Angers,Troyes,Marseille,Le Mans,AJ Auxerre,Le Havre AC,Toulouse,Nice
1809.0,1104.0,893.0,725.0,262.0,370.0,16.0,3729.0,33.0,921.0,0.0,0.0,120.0,1.0,1.0,2.0,14.0,0.0
1768.0,1388.0,1167.0,988.0,405.0,621.0,41.0,2123.0,95.0,1123.0,3.0,0.0,230.0,3.0,12.0,2.0,30.0,1.0
1516.0,1405.0,1295.0,1142.0,614.0,790.0,60.0,1399.0,155.0,1151.0,12.0,0.0,363.0,3.0,20.0,5.0,68.0,2.0
1203.0,1257.0,1208.0,1259.0,774.0,938.0,122.0,969.0,271.0,1234.0,17.0,0.0,565.0,5.0,48.0,19.0,106.0,5.0
1043.0,1197.0,1189.0,1151.0,883.0,1046.0,214.0,645.0,421.0,1187.0,34.0,0.0,699.0,11.0,60.0,45.0,169.0,6.0
812.0,965.0,1065.0,1150.0,1066.0,1096.0,283.0,424.0,554.0,1148.0,54.0,2.0,873.0,22.0,95.0,83.0,292.0,16.0
608.0,852.0,942.0,981.0,1044.0,1153.0,439.0,293.0,778.0,953.0,99.0,8.0,1040.0,52.0,190.0,113.0,416.0,39.0
469.0,640.0,767.0,849.0,1158.0,1091.0,544.0,168.0,980.0,781.0,188.0,3.0,1161.0,95.0,278.0,188.0,586.0,54.0
330.0,450.0,554.0,648.0,1088.0,916.0,855.0,133.0,1141.0,580.0,314.0,22.0,1142.0,141.0,448.0,342.0,782.0,114.0
218.0,327.0,363.0,463.0,885.0,718.0,1083.0,58.0,1240.0,340.0,498.0,45.0,1083.0,256.0,670.0,536.0,1032.0,185.0
101.0,196.0,267.0,301.0,705.0,494.0,1279.0,32.0,1197.0,253.0,723.0,101.0,905.0,392.0,807.0,748.0,1208.0,291.0
61.0,101.0,140.0,165.0,469.0,348.0,1252.0,13.0,1006.0,151.0,993.0,206.0,694.0,622.0,1063.0,993.0,1235.0,488.0
39.0,61.0,83.0,89.0,289.0,185.0,1199.0,9.0,748.0,93.0,1255.0,325.0,458.0,907.0,1205.0,1166.0,1159.0,730.0
9.0,34.0,35.0,52.0,172.0,114.0,917.0,3.0,606.0,46.0,1345.0,544.0,326.0,1224.0,1252.0,1351.0,964.0,1006.0
6.0,19.0,25.0,26.0,93.0,71.0,730.0,1.0,389.0,26.0,1388.0,870.0,189.0,1553.0,1230.0,1362.0,827.0,1195.0
6.0,4.0,4.0,7.0,61.0,29.0,504.0,0.0,240.0,7.0,1344.0,1338.0,99.0,1613.0,1129.0,1316.0,564.0,1735.0
2.0,0.0,3.0,4.0,24.0,19.0,319.0,1.0,120.0,5.0,1083.0,2195.0,42.0,1702.0,909.0,1046.0,363.0,2163.0
0.0,0.0,0.0,0.0,8.0,1.0,143.0,0.0,26.0,1.0,650.0,4341.0,11.0,1398.0,583.0,683.0,185.0,1970.0
